"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"814","B1-d48","37.02 (11/5/2009)","A","21.9","GF1","GF1","E7","4","N713","S507","stool","B1","M","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",6026962,5594756,"92.82879169","",NA,NA,NA,NA,NA,"",NA,"",""
"815","B3-d34","37.02 (11/5/2009)","A","4.39","GF1","GF1","C3","4","N711","S503","stool","B3","M","yes",NA,"34","","PBS","15","5","afterPBS","afterPBSafter","C. rodentium","5","no","",4305791,2112638,"49.06503822","",NA,NA,NA,NA,NA,"",NA,"",""
"816","B3-d40","37.02 (11/5/2009)","A","9.85","GF1","GF1","E2","4","N713","S502","stool","B3","M","yes",NA,"40","","PBS","21",NA,"afterPBS","afterPBSafter","C. rodentium","1","no","",6334386,5736102,"90.55498039","",NA,NA,NA,NA,NA,"",NA,"",""
"817","B3-d48","37.02 (11/5/2009)","A","28.2","GF1","GF1","E8","4","N713","S508","stool","B3","M","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",9710927,9100359,"93.7125673","",NA,NA,NA,NA,NA,"",NA,"",""
"818","B4-d40","37.02 (11/5/2009)","A","6.12","GF1","GF1","E3","4","N713","S503","stool","B4","M","yes",NA,"40","","PBS","21",NA,"afterPBS","afterPBSafter","C. rodentium","1","no","",3216890,2962590,"92.09484937","",NA,NA,NA,NA,NA,"",NA,"",""
"819","B4-d48","37.02 (11/5/2009)","A","18","GF1","GF1","E10","4","N713","S610","stool","B4","M","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",4348399,4067102,"93.53102142","",NA,NA,NA,NA,NA,"",NA,"",""
"820","B5-d40","37.02 (11/5/2009)","A","6","GF1","GF1","E4","4","N713","S504","stool","B5","F","yes",NA,"40","","PBS","21",NA,"afterPBS","afterPBSafter","C. rodentium","1","no","",3845836,3479604,"90.47718103","",NA,NA,NA,NA,NA,"",NA,"",""
"821","B5-d48","37.02 (11/5/2009)","A","26.1","GF1","GF1","E9","4","N713","S509","stool","B5","F","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",3647290,3402575,"93.29049788","",NA,NA,NA,NA,NA,"",NA,"",""
"822","B6-d40","37.02 (11/5/2009)","A","12.2","GF1","GF1","E5","4","N713","S505","stool","B6","F","yes",NA,"40","","PBS","21",NA,"afterPBS","afterPBSafter","C. rodentium","1","no","",5038321,4657746,"92.44639236","",NA,NA,NA,NA,NA,"",NA,"",""
"823","B6-d48","37.02 (11/5/2009)","A","25.1","GF1","GF1","E11","4","N713","S611","stool","B6","F","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",5276161,4861541,"92.1416348","",NA,NA,NA,NA,NA,"",NA,"",""
"824","B7-d40","37.02 (11/5/2009)","A","14.3","GF1","GF1","E6","4","N713","S506","stool","B7","F","yes",NA,"40","","PBS","21",NA,"afterPBS","afterPBSafter","C. rodentium","1","no","",4726510,4323136,"91.46571149","",NA,NA,NA,NA,NA,"",NA,"",""
"825","B7-d48","37.02 (11/5/2009)","A","16","GF1","GF1","E12","4","N713","S512","stool","B7","F","yes",NA,"48","","PBS","29",NA,"afterPBS","afterPBSafter","C. rodentium","9","no","",7910422,7273815,"91.9523004","",NA,NA,NA,NA,NA,"",NA,"",""
"869","gnoto1_AP1_d19_colon","37.02 (11/5/2009)","A","18.3","gnoto1","3","E10","7","AM-F0659","AM-R0659","colon","AP1","M","no","19","19","","PBS","19",NA,"afterPBS","afterPBSafter","E. coli","6","no","",1921319,383825,"19.97716152","",NA,NA,NA,NA,NA,"",NA,"",""
"870","gnoto1_AP2_d19_colon","37.02 (11/5/2009)","A","67.7","gnoto1","3","E11","7","AM-F0660","AM-R0660","colon","AP2","M","no","19","19","","PBS","19",NA,"afterPBS","afterPBSafter","E. coli","6","no","",2642143,88769,"3.359734882","",NA,NA,NA,NA,NA,"",NA,"",""
"871","gnoto1_AP3_d20_colon","37.02 (11/5/2009)","A","17.3","gnoto1","3","E12","7","AM-F0661","AM-R0661","colon","AP3","M","yes",NA,"20","","PBS","20",NA,"afterPBS","afterPBSafter","E. coli","7","no","",1254434,705246,"56.22025551","",NA,NA,NA,NA,NA,"",NA,"",""
"872","gnoto1_AP4_d20_colon","37.02 (11/5/2009)","A","7.26","gnoto1","3","F1","7","AM-F0662","AM-R0662","colon","AP4","F","yes",NA,"20","","PBS","20",NA,"afterPBS","afterPBSafter","E. coli","7","no","",1059302,430333,"40.62420348","",NA,NA,NA,NA,NA,"",NA,"",""
"886","GF10_A1_d104_colon","37.02 (11/5/2009)","A","28.4","GF10","1","E11","5","AM-F0468","AM-R0468","colon","A_3_1","M","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1127559,73956,"6.558947248","",NA,NA,NA,NA,NA,"",NA,"",""
"887","GF10_A1_d80_colon","37.02 (11/5/2009)","A","3.82","GF10","1","C6","5","AM-F0439","AM-R0439","colon","A_2_1","M","yes",NA,"80","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1091252,98831,"9.056661523","",NA,NA,NA,NA,NA,"",NA,"",""
"888","GF10_A2_d104_colon","37.02 (11/5/2009)","A","12.5","GF10","1","E12","5","AM-F0469","AM-R0469","colon","A_3_2","F","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1468788,404948,"27.57021435","",NA,NA,NA,NA,NA,"",NA,"",""
"889","GF10_A3_d104_colon","37.02 (11/5/2009)","A","6.4","GF10","1","F1","5","AM-F0470","AM-R0470","colon","A_3_3","M","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",890393,839443,"94.27780766","27",NA,NA,NA,NA,NA,"A02",1,"AM-F0027","AM-R0027"
"890","GF10_A3_d80_colon","37.02 (11/5/2009)","A","2.36","GF10","1","C8","5","AM-F0441","AM-R0441","colon","A_2_3","M","yes",NA,"80","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",918826,66688,"7.257957437","",NA,NA,NA,NA,NA,"",NA,"",""
"891","GF10_A4_d104_colon","37.02 (11/5/2009)","A","8.78","GF10","1","F2","5","AM-F0471","AM-R0471","colon","A_3_4","M","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",887634,219056,"24.67864007","",NA,NA,NA,NA,NA,"",NA,"",""
"892","GF10_A5_d104_colon","37.02 (11/5/2009)","A","61.7","GF10","1","F3","5","AM-F0472","AM-R0472","colon","A_3_5","F","no","13","104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",992879,135531,"13.65030381","",NA,NA,NA,NA,NA,"",NA,"",""
"893","GF10_A6_d104_colon","37.02 (11/5/2009)","A","2.61","GF10","1","F4","5","AM-F0473","AM-R0473","colon","A_3_6","F","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1072519,654161,"60.99295211","",NA,NA,NA,NA,NA,"",NA,"",""
"894","GF10_A7_d104_colon","37.02 (11/5/2009)","A","2.79","GF10","1","F5","5","AM-F0474","AM-R0474","colon","A_3_7","F","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",796883,79361,"9.958927471","",NA,NA,NA,NA,NA,"",NA,"",""
"895","GF10_A8_d104_colon","37.02 (11/5/2009)","A","2.1","GF10","1","F6","5","AM-F0475","AM-R0475","colon","A_3_8","M","yes",NA,"104","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",736088,643109,"87.36849398","LOW",NA,NA,NA,NA,NA,"A03",1,"AM-F0028","AM-R0028"
"920","GF24_A6_39_cwash","","A","4.430593","GF24","","D01","UDI Plate 06","AM-F0542","AM-R0542","colon","A6","F","yes","","","N/A","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",4090818,1134491,"27.73261974","",NA,NA,NA,NA,NA,"",NA,"",""
"921","GF24_A7_39_cwash","","A","3.371637","GF24","","D02","UDI Plate 06","AM-F0543","AM-R0543","colon","A7","M","yes","","","N/A","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",13551021,4202431,"31.01191416","",NA,NA,NA,NA,NA,"",NA,"",""
"952","GF7_B1_D33","37.02 (11/5/2009)","A","9.506","GF7","GF7","B8","2","N702","S620","stool","B1","M","yes",NA,"33","","probenecid","14","3","afterpro","afterpro","E. coli","-1","no","",2081502,859261,"41.28081549","",NA,NA,NA,NA,NA,"",NA,"",""
"953","GF7_B2_D34","37.02 (11/5/2009)","A","2.051","GF7","GF7","B12","2","N702","S524","stool","B2","M","yes",NA,"34","","probenecid","15",NA,"afterpro","afterpro","E. coli","0","no","",1716460,594982,"34.66331869","",NA,NA,NA,NA,NA,"",NA,"",""
"954","GF7_B3_D33","37.02 (11/5/2009)","A","12.939","GF7","GF7","B9","2","N702","S621","stool","B3",NA,"no - trauma","22","33","","probenecid","14","3","afterpro","afterpro","E. coli","-1","no","",2192512,679808,"31.00589643","",NA,NA,NA,NA,NA,"",NA,"",""
"1037","GF7_B1_COLON_D47","37.02 (11/5/2009)","A","7.451","GF7","GF7","C12","2","N703","S524","colon","B1","M","yes",NA,"47","","probenecid","28",NA,"afterpro","afterproafter","E. coli","13","no","",3252390,1403477,"43.15217425","",NA,NA,NA,NA,NA,"",NA,"",""
"1038","GF7_B1_D36","37.02 (11/5/2009)","A","26.391","GF7","GF7","C4","2","N703","S616","stool","B1","M","yes",NA,"36","","probenecid","17",NA,"afterpro","afterproafter","E. coli","2","no","",1843334,694392,"37.67043846","",NA,NA,NA,NA,NA,"",NA,"",""
"1039","GF7_B2_COLON_D47","37.02 (11/5/2009)","A","5.139","GF7","GF7","D1","2","N704","S613","colon","B2","M","yes",NA,"47","","probenecid","28",NA,"afterpro","afterproafter","E. coli","13","no","",1869478,841878,"45.03278455","",NA,NA,NA,NA,NA,"",NA,"",""
"1040","GF7_B2_D36","37.02 (11/5/2009)","A","27.414","GF7","GF7","C5","2","N703","S617","stool","B2","M","yes",NA,"36","","probenecid","17",NA,"afterpro","afterproafter","E. coli","2","no","",1756200,723214,"41.18061724","",NA,NA,NA,NA,NA,"",NA,"",""
"1041","GF7_B3_D36","37.02 (11/5/2009)","A","12.783","GF7","GF7","C6","2","N703","S618","stool","B3",NA,"no - trauma","22","36","","probenecid","17",NA,"afterpro","afterproafter","E. coli","2","no","",2200198,905355,"41.14879661","",NA,NA,NA,NA,NA,"",NA,"",""
"1042","GF7_B4_COLON_D47","37.02 (11/5/2009)","A","2.736","GF7","GF7","D2","2","N704","S514","colon","B4","F","yes",NA,"47","","probenecid","28",NA,"afterpro","afterproafter","E. coli","13","no","",1999482,300275,"15.01763957","",NA,NA,NA,NA,NA,"",NA,"",""
"1043","GF7_B4_D35","37.02 (11/5/2009)","A","16.602","GF7","GF7","C3","2","N703","S615","stool","B4","F","yes",NA,"35","","probenecid","16",NA,"afterpro","afterproafter","E. coli","1","no","",1943806,579167,"29.79551457","",NA,NA,NA,NA,NA,"",NA,"",""
"1044","GF7_B4_D36","37.02 (11/5/2009)","A","33.095","GF7","GF7","C7","2","N703","S519","stool","B4","F","yes",NA,"36","","probenecid","17",NA,"afterpro","afterproafter","E. coli","2","no","",2039090,686708,"33.67717953","",NA,NA,NA,NA,NA,"",NA,"",""
"1045","GF7_B5_COLON_D47","37.02 (11/5/2009)","A","2.395","GF7","GF7","D3","2","N704","S615","colon","B5","M","yes",NA,"47","","probenecid","28",NA,"afterpro","afterproafter","E. coli","13","no","",2111278,695189,"32.92740227","",NA,NA,NA,NA,NA,"",NA,"",""
"1046","GF7_B5_D36","37.02 (11/5/2009)","A","17.514","GF7","GF7","C9","2","N703","S621","stool","B5","M","yes",NA,"36","","probenecid","17",NA,"afterpro","afterproafter","E. coli","2","no","",5538606,2297257,"41.47716953","",NA,NA,NA,NA,NA,"",NA,"",""
"1048","GF8_B3_D46","37.02 (11/5/2009)","A","3.6","GF8","GF6-11pl1","B4","2","N702","S616","colon","B3","F","yes",NA,"46","","probenecid","28",NA,"afterpro","afterproafter","E. coli","13","no","colon",589047,87428,"14.84227914","",NA,NA,NA,NA,NA,"",NA,"",""
"1170","GF10_C2_d101","37.02 (11/5/2009)","A","15","GF10","1","D7","5","AM-F0452","AM-R0452","stool","C_4_2","F","yes",NA,"101","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1416376,741051,"52.32021723","",NA,NA,NA,NA,NA,"",NA,"",""
"1171","GF10_C3_d101","37.02 (11/5/2009)","A","12.4","GF10","1","D8","5","AM-F0453","AM-R0453","stool","C_4_3","F","no","11","101","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1886489,984405,"52.18185741","",NA,NA,NA,NA,NA,"",NA,"",""
"1172","GF10_C5_d101","37.02 (11/5/2009)","A","37.6","GF10","1","D9","5","AM-F0454","AM-R0454","stool","C_4_5",NA,"no","11","101","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1145001,253411,"22.13194574","",NA,NA,NA,NA,NA,"",NA,"",""
"1173","GF10_C6_d101","37.02 (11/5/2009)","A","12.4","GF10","1","D10","5","AM-F0455","AM-R0455","stool","C_4_6","M","no","10.66","101","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1041368,542726,"52.11663888","",NA,NA,NA,NA,NA,"",NA,"",""
"1174","GF10_C8_d101","37.02 (11/5/2009)","A","13.5","GF10","1","D11","5","AM-F0456","AM-R0456","stool","C_4_8","M","no","12.33","101","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",783195,423494,"54.07261282","",NA,NA,NA,NA,NA,"",NA,"",""
"1175","GF14_A1_d32","37.02 (11/5/2009)","A","10.6","GF14","4","B8","8","AM-F0717","AM-R0717","stool","A_1_1","M","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1442313,877949,"60.87090666","",NA,NA,NA,NA,NA,"",NA,"",""
"1176","GF14_A1_d94_stool","37.02 (11/5/2009)","A","42.8","GF14","tubes","A05","7","AM-F0606","AM-R0606","stool","A_3_1","M","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2657466,1115936,"41.99248457","",NA,NA,NA,NA,NA,"",NA,"",""
"1177","GF14_A2_d32","37.02 (11/5/2009)","A","12.6","GF14","4","B9","8","AM-F0718","AM-R0718","stool","A_1_2","M","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1211856,860151,"70.97798748","",NA,NA,NA,NA,NA,"",NA,"",""
"1178","GF14_A2_d94_stool","37.02 (11/5/2009)","A","81.3","GF14","tubes","A07","7","AM-F0608","AM-R0608","stool","A_3_2","M","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",842782,489607,"58.09414534","",NA,NA,NA,NA,NA,"",NA,"",""
"1179","GF14_A3_d32","37.02 (11/5/2009)","A","18.3","GF14","4","B10","8","AM-F0719","AM-R0719","stool","A_1_3","M","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1213970,753421,"62.06257156","",NA,NA,NA,NA,NA,"",NA,"",""
"1180","GF14_A4_d32","37.02 (11/5/2009)","A","19.2","GF14","4","B11","8","AM-F0720","AM-R0720","stool","A_1_4","F","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1025563,738783,"72.0368227","",NA,NA,NA,NA,NA,"",NA,"",""
"1181","GF14_A4_d94_stool","37.02 (11/5/2009)","A","207","GF14","tubes","A08","7","AM-F0609","AM-R0609","stool","A_3_4","F","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2214403,1543254,"69.69165053","",NA,NA,NA,NA,NA,"",NA,"",""
"1182","GF14_A5_d32","37.02 (11/5/2009)","A","20.1","GF14","4","B12","8","AM-F0721","AM-R0721","stool","A_1_5","M","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1134911,777447,"68.50290463","",NA,NA,NA,NA,NA,"",NA,"",""
"1183","GF14_A5_d94_stool","37.02 (11/5/2009)","A","57","GF14","tubes","B04","7","AM-F0617","AM-R0617","stool","A_3_5","F","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2381709,1054348,"44.26854834","",NA,NA,NA,NA,NA,"",NA,"",""
"1184","GF14_A6_d94_stool","37.02 (11/5/2009)","A","7.13","GF14","tubes","A11","6","AM-F0516","AM-R0516","stool","A_3_6","M","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2355173,1060489,"45.02807225","",NA,NA,NA,NA,NA,"",NA,"",""
"1185","GF14_A7_d32","37.02 (11/5/2009)","A","21.1","GF14","4","C1","8","AM-F0722","AM-R0722","stool","A_1_7","F","yes",NA,"32","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1153798,795731,"68.96623152","",NA,NA,NA,NA,NA,"",NA,"",""
"1186","GF14_A7_d94_stool","37.02 (11/5/2009)","A","116.879","GF14","tubes","A02","7","AM-F0603","AM-R0603","stool","A_3_7","M","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2241416,956722,"42.6838213","",NA,NA,NA,NA,NA,"",NA,"",""
"1187","GF14_A8_d94_stool","37.02 (11/5/2009)","A","136.508","GF14","tubes","A12","6","AM-F0517","AM-R0517","stool","A_3_8","M","yes",NA,"94","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",2556289,1156925,"45.25798922","",NA,NA,NA,NA,NA,"",NA,"",""
"1188","GF14_d67_A1_stool","37.02 (11/5/2009)","A","12.615","GF14","201004","D06","5","AM-F0451","AM-R0451","stool","A_2_1","M","no","10.66","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",5090414,2718525,"53.40479183","",NA,NA,NA,NA,NA,"",NA,"",""
"1190","GF14_d67_A3_stool","37.02 (11/5/2009)","A","5.986","GF14","201004","D08","5","AM-F0453","AM-R0453","stool","A_2_3","F","no","11","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1438861,415009,"28.84288336","",NA,NA,NA,NA,NA,"",NA,"",""
"1191","GF14_d67_A4_stool","37.02 (11/5/2009)","A","9.377","GF14","201004","D09","5","AM-F0454","AM-R0454","stool","A_2_4","M","no","10.66","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1191355,563271,"47.27986201","",NA,NA,NA,NA,NA,"",NA,"",""
"1192","GF14_d67_A5_stool","37.02 (11/5/2009)","A","9.02","GF14","201004","D10","5","AM-F0455","AM-R0455","stool","A_2_5","F","no","11","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",971605,202178,"20.80866196","",NA,NA,NA,NA,NA,"",NA,"",""
"1193","GF14_d67_A6_stool","37.02 (11/5/2009)","A","2.907","GF14","201004","D11","5","AM-F0456","AM-R0456","stool","A_2_6","M","no","11","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",873288,450408,"51.57611235","",NA,NA,NA,NA,NA,"",NA,"",""
"1194","GF14_d67_A7_stool","37.02 (11/5/2009)","A","7.75","GF14","201004","D12","5","AM-F0457","AM-R0457","stool","A_2_7","M","no","11","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1359475,232413,"17.09579065","",NA,NA,NA,NA,NA,"",NA,"",""
"1195","GF14_d67_A8_stool","37.02 (11/5/2009)","A","9.349","GF14","201004","E01","5","AM-F0458","AM-R0458","stool","A_2_8","F","no","10.66","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",595018,327626,"55.06152755","",NA,NA,NA,NA,NA,"",NA,"",""
"1196","GF14_d67_A9_stool","37.02 (11/5/2009)","A","21.499","GF14","201004","E02","5","AM-F0459","AM-R0459","stool","A_2_9","F","no","11","67","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",789169,163324,"20.69569382","",NA,NA,NA,NA,NA,"",NA,"",""
"1197","GF14_d89_B1_stool","37.02 (11/5/2009)","A","25.961","GF14","201004","F01","5","AM-F0470","AM-R0470","stool","B_1_1","M","yes",NA,"89","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",1233107,802569,"65.08510616","",NA,NA,NA,NA,NA,"",NA,"",""
"1198","GF14_d89_B2_stool","37.02 (11/5/2009)","A","13.5","GF14","201004","F02","5","AM-F0471","AM-R0471","stool","B_1_2","F","yes",NA,"89","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",948987,332541,"35.04168129","",NA,NA,NA,NA,NA,"",NA,"",""
"1199","GF14_d89_B3_stool","37.02 (11/5/2009)","A","4.795","GF14","201004","F03","5","AM-F0472","AM-R0472","stool","B_1_3","M","yes",NA,"89","","ampicillin","10","0","beforeamp","beforeamp",NA,NA,"no","",1191728,608226,"51.03731724","",NA,NA,NA,NA,NA,"",NA,"",""
"1236","GF24_A1_d73_stool","","A","1.97","GF24","","A01","UDI Plate 05","AM-F0410","AM-R0410","stool","A1","F","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",1951357,462854,"23.71959616","",NA,NA,NA,NA,NA,"",NA,"",""
"1237","GF24_A2_d73_stool","","A","1.39","GF24","","A02","UDI Plate 05","AM-F0411","AM-R0411","stool","A2","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",2603646,866163,"33.26731053","",NA,NA,NA,NA,NA,"",NA,"",""
"1238","GF24_C3_d85_stool","","A","5.22","GF24","","A12","UDI Plate 05","AM-F0421","AM-R0421","stool","C3","F","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",2482242,1304881,"52.5686456","",NA,NA,NA,NA,NA,"",NA,"",""
"1239","GF24_C5_d85_stool","","A","1.32","GF24","","B01","UDI Plate 05","AM-F0422","AM-R0422","stool","C5","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",3151905,1168386,"37.06920101","",NA,NA,NA,NA,NA,"",NA,"",""
"1250","Gn3_A1_Stool","","A","","gnoto3","","","","","","stool","A1","M","yes",NA,"","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",2378635,1591750,"66.9186319","",NA,NA,NA,NA,NA,"",NA,"",""
"1251","Gn3_A3_Stool_DoL10","","A","","gnoto3","","","","","","stool","A3","F","yes",NA,"","","ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",2399233,1750575,"72.96394306","",NA,NA,NA,NA,NA,"",NA,"",""
"1337","GF10_C1_d77","37.02 (11/5/2009)","A","52.3","GF10","1","B7","5","AM-F0428","AM-R0428","stool","C_3_1","F","yes",NA,"77","","ampicillin/gentamicin/probenecid","10","0","beforeampgent","beforeampgent",NA,NA,"no","",3223906,307527,"9.538956781","",NA,NA,NA,NA,NA,"",NA,"",""
"1338","GF10_C2_d77","37.02 (11/5/2009)","A","14.6","GF10","1","B8","5","AM-F0429","AM-R0429","stool","C_3_2","F","yes",NA,"77","","ampicillin/gentamicin/probenecid","10","0","beforeampgent","beforeampgent",NA,NA,"no","",1270442,1034467,"81.42575576","",NA,NA,NA,NA,NA,"",NA,"",""
"1339","GF10_C4_d77","37.02 (11/5/2009)","A","7.96","GF10","1","B9","5","AM-F0430","AM-R0430","stool","C_3_4","F","yes",NA,"77","","ampicillin/gentamicin/probenecid","10","0","beforeampgent","beforeampgent",NA,NA,"no","",1102384,778227,"70.59491067","",NA,NA,NA,NA,NA,"",NA,"",""
"1340","GF10_C5_d77","37.02 (11/5/2009)","A","16.4","GF10","1","B10","5","AM-F0431","AM-R0431","stool","C_3_5","F","no","12.66","77","","ampicillin/gentamicin/probenecid","10","0","beforeampgent","beforeampgent",NA,NA,"no","",949198,179297,"18.88931498","",NA,NA,NA,NA,NA,"",NA,"",""
"1399","C1-d33","37.02 (11/5/2009)","A","1.37","GF1","GF1","B9","4","N710","S509","stool","C1",NA,"yes",NA,"33","","meropenem","10","0","beforemero","beforemero","C. rodentium","-11","no","",3952099,3001632,"75.95032412","",NA,NA,NA,NA,NA,"",NA,"",""
"1401","C3-d33","37.02 (11/5/2009)","A","7.66","GF1","GF1","B11","4","N710","S611","stool","C3",NA,"yes",NA,"33","","meropenem","10","0","beforemero","beforemero","C. rodentium","-11","no","",8145445,4579414,"56.22055026","",NA,NA,NA,NA,NA,"",NA,"",""
"1402","C4-d33","37.02 (11/5/2009)","A","0.517","GF1","GF1","B12","4","N710","S512","stool","C4",NA,"yes",NA,"33","","meropenem","10","0","beforemero","beforemero","C. rodentium","-11","no","",9562310,1326454,"13.87169","",NA,NA,NA,NA,NA,"",NA,"",""
"1403","C6-d33","37.02 (11/5/2009)","A","0.097","GF1","GF1","C1","4","N711","S501","stool","C6",NA,"yes",NA,"33","","meropenem","10","0","beforemero","beforemero","C. rodentium","-11","no","",1591772,263423,"16.54904094","",NA,NA,NA,NA,NA,"",NA,"",""
"1404","C7-d33","37.02 (11/5/2009)","A","0.504","GF1","GF1","C2","4","N711","S502","stool","C7",NA,"yes",NA,"33","","meropenem","10","0","beforemero","beforemero","C. rodentium","-11","no","",4789817,1405724,"29.3481776","",NA,NA,NA,NA,NA,"",NA,"",""
"1464","GF24_B4_d73_stool","","A","3.13","GF24","","A03","UDI Plate 05","AM-F0412","AM-R0412","stool","A4","F","yes",NA,"","4/7/23","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2435436,860883,"35.3482087","",NA,NA,NA,NA,NA,"",NA,"",""
"1466","GF24_C5_36_stool","","A","2.643136","GF24","","B01","UDI Plate 06","AM-F0518","AM-R0518","stool","C5","F","yes","","","N/A","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2018039,1022171,"50.65169702","",NA,NA,NA,NA,NA,"",NA,"",""
"1467","GF24_C6_36_stool","","A","2.962324","GF24","","B02","UDI Plate 06","AM-F0519","AM-R0519","stool","C6","F","yes","","","N/A","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",1914833,928857,"48.50851223","",NA,NA,NA,NA,NA,"",NA,"",""
"1469","GF24_C7_d85_stool","","A","6.54","GF24","","B03","UDI Plate 05","AM-F0424","AM-R0424","stool","C7","F","yes",NA,"","4/7/23","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2790450,1561062,"55.94301994","",NA,NA,NA,NA,NA,"",NA,"",""
"1470","GF24_C8_d85_stool","","A","2.28","GF24","","B04","UDI Plate 05","AM-F0425","AM-R0425","stool","C8","M","yes",NA,"","4/7/23","meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2657794,1381601,"51.98299793","",NA,NA,NA,NA,NA,"",NA,"",""
