"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"2601","GF28_C2_d75_stool","","D","41.79","GF28","","G02","UDI Plate 05","AM-F0483","AM-R0483","stool","C2","F","yes",NA,"75",NA,"probenecid","12","2","duringpro","duringpro",NA,NA,"no","",3453797,747698,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2604","GF28_C5_d73_stool","","D","0.53","GF28","","D08","UDI Plate 05","AM-F0453","AM-R0453","stool","C5","M","yes",NA,"73",NA,"probenecid","10","0","beforepro","beforepro",NA,NA,"no","",4279408,1799363,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2908","GF13_A1_d65_colon","308.01 (5/19/12)","D","10.8","GF13","3","A12","7","AM-F0591","AM-R0613","colon","A_2_1","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",4327813,2113639,"48.83850111","",NA,NA,NA,NA,NA,"",NA,"",""
"2909","GF13_A10_d65_colon","308.01 (5/19/12)","D","20.9","GF13","3","B9","7","AM-F0605","AM-R0622","colon","A_2_10","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",2118598,995025,"46.96620123","",NA,NA,NA,NA,NA,"",NA,"",""
"2910","GF13_A2_d65_colon","308.01 (5/19/12)","D","23.1","GF13","3","B1","7","AM-F0606","AM-R0614","colon","A_2_2","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1030415,524435,"50.89551297","",NA,NA,NA,NA,NA,"",NA,"",""
"2911","GF13_A3_d65_colon","308.01 (5/19/12)","D","25.5","GF13","3","B2","7","AM-F0607","AM-R0615","colon","A_2_3","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1063561,537969,"50.58186601","",NA,NA,NA,NA,NA,"",NA,"",""
"2912","GF13_A4_d65_colon","308.01 (5/19/12)","D","10.7","GF13","3","B3","7","AM-F0601","AM-R0616","colon","A_2_4","F","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1089812,509953,"46.79274958","",NA,NA,NA,NA,NA,"",NA,"",""
"2913","GF13_A5_d65_colon","308.01 (5/19/12)","D","20.5","GF13","3","B4","7","AM-F0619","AM-R0617","colon","A_2_5","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1581230,1081529,"68.39795602","",NA,NA,NA,NA,NA,"",NA,"",""
"2914","GF13_A6_d65_colon","308.01 (5/19/12)","D","23.7","GF13","3","B5","7","AM-F0623","AM-R0618","colon","A_2_6","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1188070,784364,"66.02001566","",NA,NA,NA,NA,NA,"",NA,"",""
"2915","GF13_A7_d65_colon","308.01 (5/19/12)","D","15.4","GF13","3","B6","7","AM-F0596","AM-R0619","colon","A_2_7","F","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1426941,592726,"41.53822758","",NA,NA,NA,NA,NA,"",NA,"",""
"2916","GF13_A8_d65_colon","308.01 (5/19/12)","D","15.7","GF13","3","B7","7","AM-F0609","AM-R0620","colon","A_2_8","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",995344,423604,"42.55855262","",NA,NA,NA,NA,NA,"",NA,"",""
"2917","GF13_A9_d65_colon","308.01 (5/19/12)","D","28.4","GF13","3","B8","7","AM-F0624","AM-R0621","colon","A_2_9","M","yes",NA,"65","","none","21",NA,"none","none",NA,NA,"no","",1384486,629724,"45.48431692","",NA,NA,NA,NA,NA,"",NA,"",""
