"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"2534","GF26_A8_d63_stool","","D","7.43","GF26","","D07","UDI Plate 06","AM-F0548","AM-R0548","stool","A8","M","yes",NA,"63",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2843239,2101573,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2535","GF26_A8_d64a_stool","","D","2.35","GF26","","D09","UDI Plate 06","AM-F0550","AM-R0550","stool","A8","M","yes",NA,"64",NA,"meropenem/probenecid","11","1","duringmero","duringmero",NA,NA,"no","Maybe misdate?",2554449,687072,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2553","GF28_A1_d74_stool","","D","36.1","GF28","","G01","UDI Plate 05","AM-F0482","AM-R0482","stool","A1","M","yes",NA,"74",NA,"ampicillin/probenecid","11","1","duringamp","duringamp",NA,NA,"no","",2556090,1920403,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2554","GF28_A1_d76_Cwash","","D","5.37","GF28","","D09","UDI Plate 05","AM-F0454","AM-R0454","colon","A1","M","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",3181918,632334,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2556","GF28_A2_d39_stool","","D","62.34","GF28","","B06","UDI Plate 06","AM-F0523","AM-R0523","stool","A2","M","yes",NA,"39",NA,"meropenem/probenecid","11","1","duringmero","duringmero",NA,NA,"no","",2021287,1259493,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2557","GF28_A2_d41_Cwash","","D","1.29","GF28","","B10","UDI Plate 06","AM-F0527","AM-R0527","colon","A2","M","yes",NA,"41",NA,"meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",7046172,327131,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2558","GF28_A2_d75_stool","","D","23.45","GF28","","G03","UDI Plate 05","AM-F0484","AM-R0484","stool","A2","M","yes",NA,"75",NA,"ampicillin/probenecid","12","2","duringamp","duringamp",NA,NA,"no","",2440844,1804135,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2559","GF28_A2_d76_Cwash","","D","9.01","GF28","","D10","UDI Plate 05","AM-F0455","AM-R0455","colon","A2","M","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",5833253,260973,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2560","GF28_A3_d38_stool","","D","0.22","GF28","","B05","UDI Plate 06","AM-F0522","AM-R0522","stool","A3","F","yes",NA,"38",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",3531479,387962,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2562","GF28_A3_d74_stool","","D","20.09","GF28","","F12","UDI Plate 05","AM-F0481","AM-R0481","stool","A3","F","yes",NA,"74",NA,"ampicillin/probenecid","11","1","duringamp","duringamp",NA,NA,"no","",2261100,1290248,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2563","GF28_A3_d76_Cwash","","D","13.16","GF28","","D11","UDI Plate 05","AM-F0456","AM-R0456","colon","A3","F","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",9262243,276063,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2564","GF28_A4_d41_Cwash","","D","0.47","GF28","","B12","UDI Plate 06","AM-F0529","AM-R0529","colon","A4","M","yes",NA,"41",NA,"meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",7606479,72564,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2565","GF28_A4_d76_Cwash","","D","5.8","GF28","","D12","UDI Plate 05","AM-F0457","AM-R0457","colon","A4","M","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",6901207,236455,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2566","GF28_A5_d73_stool","","D","3.29","GF28","","D06","UDI Plate 05","AM-F0451","AM-R0451","stool","A5","M","yes",NA,"73",NA,"ampicillin/probenecid","10","0","beforeamp","beforeamp",NA,NA,"no","",3156157,2066216,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2567","GF28_A5_d76_Cwash","","D","7.9","GF28","","E01","UDI Plate 05","AM-F0458","AM-R0458","colon","A5","M","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",6427262,347969,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2568","GF28_A6_d74_stool","","D","32.14","GF28","","F11","UDI Plate 05","AM-F0480","AM-R0480","stool","A6","F","yes",NA,"74",NA,"ampicillin/probenecid","11","1","duringamp","duringamp",NA,NA,"no","",2348780,1538798,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2569","GF28_A6_d76_Cwash","","D","4.2","GF28","","E02","UDI Plate 05","AM-F0459","AM-R0459","colon","A6","F","yes",NA,"76",NA,"ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",6153518,424790,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2570","GF28_AC1_d73_Cwash","","D","1.08","GF28","","D01","UDI Plate 05","AM-F0446","AM-R0446","colon","AC1","F","yes",NA,"73",NA,NA,"10",NA,NA,NA,NA,NA,"no","8h post sacrifice",7845713,1868268,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
