"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"2242","GF21_C5_d93_stool","357.01 (11/25/12)","C","0.005","GF21","","A04","UDI plate 02","AM-F0125","AM-R0125","stool","C5","M","yes",NA,"4/22/21","6/16/23","probenecid","11","1","duringpro","duringpro",NA,NA,"no","",1125620,74120,"6.584815479","",NA,NA,NA,NA,NA,"",NA,"",""
"2243","GF21_d93_C1_Stool","357.01 (11/25/12)","C","0.687","GF21","","H04","UDI plate 01","AM-F0113","AM-R0113","stool","C1","M","yes",NA,"4/22/21","6/12/23","probenecid","11","1","duringpro","duringpro",NA,NA,"no","",1471308,733286,"49.83905477","",NA,NA,NA,NA,NA,"",NA,"",""
"2244","GF21_d93_C2_Stool","357.01 (11/25/12)","C","2.592","GF21","","H05","UDI plate 01","AM-F0114","AM-R0114","stool","C2","M","yes",NA,"4/22/21","6/12/23","probenecid","11","1","duringpro","duringpro",NA,NA,"no","",2318227,200605,"8.653380364","",NA,NA,NA,NA,NA,"",NA,"",""
"2245","GF21_d93_C3_Stool","357.01 (11/25/12)","C","0.536","GF21","","H06","UDI plate 01","AM-F0115","AM-R0115","stool","C3","M","yes",NA,"4/22/21","6/12/23","probenecid","11","1","duringpro","duringpro",NA,NA,"no","",1534404,1059070,"69.02158753","",NA,NA,NA,NA,NA,"",NA,"",""
"2246","GF21_d93_C4_Stool","357.01 (11/25/12)","C","1.28","GF21","","H07","UDI plate 01","AM-F0116","AM-R0116","stool","C4","M","yes",NA,"4/22/21","6/12/23","probenecid","11","1","duringpro","duringpro",NA,NA,"no","",1538548,1203837,"78.24500763","",NA,NA,NA,NA,NA,"",NA,"",""
"2896","GF12_A1_d76_colon","357.01 (11/25/12)","C","9.21","GF12","2","E4","6","AM-F0545","AM-R0557","colon","A_2_1","M","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",763324,411465,"53.90437088","",NA,NA,NA,NA,NA,"",NA,"",""
"2897","GF12_A2_d76_colon","357.01 (11/25/12)","C","8.93","GF12","2","E5","6","AM-F0546","AM-R0558","colon","A_2_2","F","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1107836,694397,"62.680487","",NA,NA,NA,NA,NA,"",NA,"",""
"2898","GF12_A3_d76_colon","357.01 (11/25/12)","C","2.29","GF12","2","E6","6","AM-F0552","AM-R0559","colon","A_2_3","F","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1201959,541930,"45.08722843","",NA,NA,NA,NA,NA,"",NA,"",""
"2899","GF12_A4_d76_colon","357.01 (11/25/12)","C","2.84","GF12","2","E7","6","AM-F0564","AM-R0560","colon","A_2_4","M","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1201799,111639,"9.289323755","",NA,NA,NA,NA,NA,"",NA,"",""
"2900","GF12_A5_d76_colon","357.01 (11/25/12)","C","4.04","GF12","2","E8","6","AM-F0579","AM-R0561","colon","A_2_5","M","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1005313,154163,"15.33482607","",NA,NA,NA,NA,NA,"",NA,"",""
"2901","GF12_A6_d76_colon","357.01 (11/25/12)","C","4.94","GF12","2","E9","6","AM-F0547","AM-R0562","colon","A_2_6","F","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1050110,351308,"33.45440002","",NA,NA,NA,NA,NA,"",NA,"",""
"2902","GF12_A7_d76_colon","357.01 (11/25/12)","C","17.6","GF12","2","E10","6","AM-F0553","AM-R0563","colon","A_2_7","F","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",1060263,771621,"72.77637718","",NA,NA,NA,NA,NA,"",NA,"",""
"2903","GF12_A8_d76_colon","357.01 (11/25/12)","C","4.7","GF12","2","E11","6","AM-F0566","AM-R0564","colon","A_2_7","F","yes",NA,"76","","none","21",NA,"none","none",NA,NA,"no","",212865,96168,"45.17792967","",NA,NA,NA,NA,NA,"",NA,"",""
