Sample	Family	Abundance
GF24_A1_d74_cwash	Peptostreptococcaceae	0.7034
GF24_A1_d74_cwash	Erysipelotrichaceae	0.3969
GF24_A2_36_stool	Enterobacteriaceae	92.2297
GF24_A2_36_stool	Enterococcaceae	3.12937
GF24_A2_36_stool	Clostridiaceae	2.11395
GF24_A2_36_stool	Peptostreptococcaceae	1.63314
GF24_A2_36_stool	Morganellaceae	0.89383
GF24_A2_39_cwash	Clostridiaceae	42.54257
GF24_A2_39_cwash	Enterobacteriaceae	35.23547
GF24_A2_39_cwash	Erysipelotrichaceae	17.22617
GF24_A2_39_cwash	Peptostreptococcaceae	4.59068
GF24_A2_39_cwash	Enterococcaceae	0.40511
GF24_A2_d108_cwash	Enterobacteriaceae	76.46441
GF24_A2_d108_cwash	Alcaligenaceae	18.64452
GF24_A2_d108_cwash	Clostridiaceae	2.48584
GF24_A2_d108_cwash	Erysipelotrichaceae	0.97106
GF24_A2_d108_cwash	Enterococcaceae	0.87623
GF24_A2_d108_cwash	Peptostreptococcaceae	0.55795
GF24_A2_d131_cwash	Enterobacteriaceae	95.63788
GF24_A2_d131_cwash	Alcaligenaceae	3.96875
GF24_A2_d131_cwash	Enterococcaceae	0.39337
GF24_A2_d73_stool	Enterobacteriaceae	98.62288
GF24_A2_d73_stool	Enterococcaceae	1.24658
GF24_A2_d73_stool	Peptostreptococcaceae	0.13054
GF24_A3_37_stool	Enterobacteriaceae	99.34045
GF24_A3_37_stool	Enterococcaceae	0.65955
GF24_A3_38_stool	Enterobacteriaceae	96.27519
GF24_A3_38_stool	Enterococcaceae	2.44983
GF24_A3_38_stool	Peptostreptococcaceae	0.91485
GF24_A3_38_stool	Clostridiaceae	0.28434
GF24_A3_38_stool	Peptoniphilaceae	0.07579
GF24_A3_39_cwash	Enterobacteriaceae	57.47634
GF24_A3_39_cwash	Clostridiaceae	23.33109
GF24_A3_39_cwash	Erysipelotrichaceae	19.11068
GF24_A3_39_cwash	Peptostreptococcaceae	0.08189
GF24_A3_d108_cwash	Enterobacteriaceae	85.45194
GF24_A3_d108_cwash	Clostridiaceae	10.44087
GF24_A3_d108_cwash	Alcaligenaceae	1.52126
GF24_A3_d108_cwash	Peptostreptococcaceae	1.36142
GF24_A3_d108_cwash	Erysipelotrichaceae	0.93959
GF24_A3_d108_cwash	Enterococcaceae	0.28492
GF24_A3_d131_cwash	Enterobacteriaceae	91.90315
GF24_A3_d131_cwash	Clostridiaceae	5.40634
GF24_A3_d131_cwash	Alcaligenaceae	1.34662
GF24_A3_d131_cwash	Erysipelotrichaceae	1.34389
GF24_A4_38_stool	Enterobacteriaceae	47.81437
GF24_A4_38_stool	Clostridiaceae	39.84593
GF24_A4_38_stool	Erysipelotrichaceae	6.44724
GF24_A4_38_stool	Peptostreptococcaceae	3.90359
GF24_A4_38_stool	Enterococcaceae	1.34371
GF24_A4_38_stool	Peptoniphilaceae	0.63703
GF24_A4_38_stool	Morganellaceae	0.00811
GF24_A4_39_cwash	Clostridiaceae	59.81052
GF24_A4_39_cwash	Enterobacteriaceae	19.92799
GF24_A4_39_cwash	Erysipelotrichaceae	10.21578
GF24_A4_39_cwash	Peptostreptococcaceae	7.4607
GF24_A4_39_cwash	Enterococcaceae	2.58502
GF24_A4_d108_cwash	Enterobacteriaceae	86.4956
GF24_A4_d108_cwash	Alcaligenaceae	7.54005
GF24_A4_d108_cwash	Clostridiaceae	5.96435
GF24_A4_d131_cwash	Enterobacteriaceae	91.95874
GF24_A4_d131_cwash	Alcaligenaceae	2.79728
GF24_A4_d131_cwash	Clostridiaceae	2.78975
GF24_A4_d131_cwash	Enterococcaceae	2.44073
GF24_A4_d131_cwash	Peptostreptococcaceae	0.01349
GF24_A4_d74_cwash	Enterobacteriaceae	86.70327
GF24_A4_d74_cwash	Alcaligenaceae	10.44646
GF24_A4_d74_cwash	Enterococcaceae	2.14616
GF24_A4_d74_cwash	Clostridiaceae	0.70412
GF24_A5_d108_cwash	Enterobacteriaceae	88.21968
GF24_A5_d108_cwash	Clostridiaceae	8.6685
GF24_A5_d108_cwash	Alcaligenaceae	1.45155
GF24_A5_d108_cwash	Erysipelotrichaceae	0.85849
GF24_A5_d108_cwash	Peptostreptococcaceae	0.51196
GF24_A5_d108_cwash	Enterococcaceae	0.28981
GF24_A5_d131_cwash	Enterobacteriaceae	85.1713
GF24_A5_d131_cwash	Morganellaceae	11.6068
GF24_A5_d131_cwash	Enterococcaceae	2.14237
GF24_A5_d131_cwash	Peptostreptococcaceae	0.72201
GF24_A5_d131_cwash	Alcaligenaceae	0.35751
GF24_A5_d74_cwash	Enterobacteriaceae	85.60749
GF24_A5_d74_cwash	Clostridiaceae	7.66008
GF24_A5_d74_cwash	Erysipelotrichaceae	3.65708
GF24_A5_d74_cwash	Morganellaceae	1.6214
GF24_A5_d74_cwash	Peptostreptococcaceae	1.06605
GF24_A5_d74_cwash	Enterococcaceae	0.30118
GF24_A5_d74_cwash	Alcaligenaceae	0.08672
GF24_A6_36_stool	Enterobacteriaceae	100
GF24_A6_39_cwash	Clostridiaceae	46.18992
GF24_A6_39_cwash	Enterobacteriaceae	32.67839
GF24_A6_39_cwash	Peptostreptococcaceae	12.66939
GF24_A6_39_cwash	Erysipelotrichaceae	7.09301
GF24_A6_39_cwash	Enterococcaceae	1.36928
GF24_A6_d108_cwash	Enterobacteriaceae	98.73138
GF24_A6_d108_cwash	Alcaligenaceae	1.10109
GF24_A6_d108_cwash	Clostridiaceae	0.16753
GF24_A6_d131_cwash	Enterobacteriaceae	85.83034
GF24_A6_d131_cwash	Clostridiaceae	10.87601
GF24_A6_d131_cwash	Erysipelotrichaceae	2.36883
GF24_A6_d131_cwash	Alcaligenaceae	0.92482
GF24_A6_d74_cwash	Enterobacteriaceae	96.8885
GF24_A6_d74_cwash	Alcaligenaceae	1.65675
GF24_A6_d74_cwash	Morganellaceae	1.45475
GF24_A7_36_stool	Enterobacteriaceae	100
GF24_A7_37_stool	Enterobacteriaceae	100
GF24_A7_39_cwash	Enterobacteriaceae	42.20771
GF24_A7_39_cwash	Clostridiaceae	35.27437
GF24_A7_39_cwash	Peptostreptococcaceae	12.09772
GF24_A7_39_cwash	Erysipelotrichaceae	8.4463
GF24_A7_39_cwash	Enterococcaceae	1.9739
GF24_A7_d108_cwash	Enterobacteriaceae	88.38242
GF24_A7_d108_cwash	Morganellaceae	6.23287
GF24_A7_d108_cwash	Erysipelotrichaceae	2.38316
GF24_A7_d108_cwash	Alcaligenaceae	1.64576
GF24_A7_d108_cwash	Clostridiaceae	1.20289
GF24_A7_d108_cwash	Peptostreptococcaceae	0.12484
GF24_A7_d108_cwash	Enterococcaceae	0.02807
GF24_A7_d131_cwash	Enterobacteriaceae	88.38884
GF24_A7_d131_cwash	Alcaligenaceae	10.62517
GF24_A7_d131_cwash	Clostridiaceae	0.986
GF24_A7_d74_cwash	Enterobacteriaceae	97.51367
GF24_A7_d74_cwash	Morganellaceae	2.12588
GF24_A7_d74_cwash	Alcaligenaceae	0.36045
GF24_A8_d108_cwash	Enterobacteriaceae	92.99341
GF24_A8_d108_cwash	Alcaligenaceae	7.00659
GF24_A8_d131_cwash	Enterobacteriaceae	90.52903
GF24_A8_d131_cwash	Alcaligenaceae	9.47097
GF24_A9_d108_cwash	Enterobacteriaceae	96.30511
GF24_A9_d108_cwash	Enterococcaceae	2.19589
GF24_A9_d108_cwash	Peptostreptococcaceae	0.79992
GF24_A9_d108_cwash	Clostridiaceae	0.65044
GF24_A9_d108_cwash	Alcaligenaceae	0.04864
GF24_A9_d131_cwash	Enterobacteriaceae	98.95977
GF24_A9_d131_cwash	Alcaligenaceae	0.57456
GF24_A9_d131_cwash	Enterococcaceae	0.41796
GF24_A9_d131_cwash	Peptostreptococcaceae	0.03211
GF24_A9_d131_cwash	Clostridiaceae	0.01559
GF24_Adam_d100_stool	Enterobacteriaceae	29.73491
GF24_Adam_d100_stool	Clostridiaceae	22.92362
GF24_Adam_d100_stool	Enterococcaceae	14.36591
GF24_Adam_d100_stool	Actinomycetaceae	10.66965
GF24_Adam_d100_stool	Morganellaceae	9.51886
GF24_Adam_d100_stool	Erysipelotrichaceae	6.96767
GF24_Adam_d100_stool	Peptoniphilaceae	2.92344
GF24_Adam_d100_stool	Peptostreptococcaceae	2.89595
GF24_B1_33_cwash	Enterobacteriaceae	73.67745
GF24_B1_33_cwash	Clostridiaceae	13.34926
GF24_B1_33_cwash	Erysipelotrichaceae	12.97329
GF24_B1_64_cwash	Enterobacteriaceae	35.40339
GF24_B1_64_cwash	Clostridiaceae	27.80806
GF24_B1_64_cwash	Peptostreptococcaceae	22.3587
GF24_B1_64_cwash	Erysipelotrichaceae	6.94088
GF24_B1_64_cwash	Morganellaceae	4.16312
GF24_B1_64_cwash	Enterococcaceae	3.32586
GF24_B2_33_cwash	Enterobacteriaceae	67.3625
GF24_B2_33_cwash	Clostridiaceae	18.68918
GF24_B2_33_cwash	Morganellaceae	6.15116
GF24_B2_33_cwash	Erysipelotrichaceae	5.50348
GF24_B2_33_cwash	Peptostreptococcaceae	2.1883
GF24_B2_33_cwash	Enterococcaceae	0.10538
GF24_B2_64_cwash	Clostridiaceae	31.74138
GF24_B2_64_cwash	Enterobacteriaceae	24.02561
GF24_B2_64_cwash	Peptostreptococcaceae	23.94761
GF24_B2_64_cwash	Erysipelotrichaceae	11.91985
GF24_B2_64_cwash	Morganellaceae	4.75078
GF24_B2_64_cwash	Enterococcaceae	3.61477
GF24_B2_d74_cwash	Enterobacteriaceae	88.02068
GF24_B2_d74_cwash	Clostridiaceae	7.16419
GF24_B2_d74_cwash	Enterococcaceae	2.82407
GF24_B2_d74_cwash	Peptostreptococcaceae	1.66138
GF24_B2_d74_cwash	Alcaligenaceae	0.32969
GF24_B3_33_cwash	Enterobacteriaceae	59.39177
GF24_B3_33_cwash	Clostridiaceae	18.80378
GF24_B3_33_cwash	Morganellaceae	13.13572
GF24_B3_33_cwash	Erysipelotrichaceae	6.55996
GF24_B3_33_cwash	Peptostreptococcaceae	1.69707
GF24_B3_33_cwash	Enterococcaceae	0.41171
GF24_B3_64_cwash	Clostridiaceae	34.40679
GF24_B3_64_cwash	Peptostreptococcaceae	24.75597
GF24_B3_64_cwash	Enterobacteriaceae	22.00313
GF24_B3_64_cwash	Erysipelotrichaceae	14.98928
GF24_B3_64_cwash	Morganellaceae	2.34473
GF24_B3_64_cwash	Enterococcaceae	1.5001
GF24_B3_d74_cwash	Enterobacteriaceae	98.91517
GF24_B3_d74_cwash	Enterococcaceae	0.477
GF24_B3_d74_cwash	Erysipelotrichaceae	0.38916
GF24_B3_d74_cwash	Clostridiaceae	0.21867
GF24_B4_33_cwash	Enterobacteriaceae	70.36886
GF24_B4_33_cwash	Clostridiaceae	17.25512
GF24_B4_33_cwash	Morganellaceae	5.59344
GF24_B4_33_cwash	Erysipelotrichaceae	4.49591
GF24_B4_33_cwash	Enterococcaceae	1.22202
GF24_B4_33_cwash	Peptostreptococcaceae	1.06464
GF24_B4_d73_stool	Enterobacteriaceae	99.5613
GF24_B4_d73_stool	Enterococcaceae	0.4387
GF24_B4_d74_cwash	Enterobacteriaceae	93.20183
GF24_B4_d74_cwash	Clostridiaceae	4.76904
GF24_B4_d74_cwash	Erysipelotrichaceae	0.86179
GF24_B4_d74_cwash	Enterococcaceae	0.5879
GF24_B4_d74_cwash	Peptostreptococcaceae	0.54045
GF24_B4_d74_cwash	Alcaligenaceae	0.03898
GF24_B5_33_cwash	Enterobacteriaceae	67.23931
GF24_B5_33_cwash	Erysipelotrichaceae	18.86976
GF24_B5_33_cwash	Clostridiaceae	13.89093
GF24_B6_33_cwash	Enterobacteriaceae	76.43131
GF24_B6_33_cwash	Erysipelotrichaceae	19.17581
GF24_B6_33_cwash	Clostridiaceae	3.79947
GF24_B6_33_cwash	Enterococcaceae	0.51822
GF24_B6_33_cwash	Peptostreptococcaceae	0.07519
GF24_B7_33_cwash	Enterobacteriaceae	58.00116
GF24_B7_33_cwash	Erysipelotrichaceae	26.54279
GF24_B7_33_cwash	Clostridiaceae	12.4975
GF24_B7_33_cwash	Morganellaceae	2.30438
GF24_B7_33_cwash	Peptostreptococcaceae	0.65417
GF24_Bdam_d114_stool	Clostridiaceae	36.98817
GF24_Bdam_d114_stool	Enterobacteriaceae	26.48687
GF24_Bdam_d114_stool	Enterococcaceae	18.05856
GF24_Bdam_d114_stool	Erysipelotrichaceae	9.05524
GF24_Bdam_d114_stool	Morganellaceae	6.36765
GF24_Bdam_d114_stool	Peptostreptococcaceae	1.59739
GF24_Bdam_d114_stool	Peptoniphilaceae	1.44612
GF24_C10_d86_cwash	Enterobacteriaceae	87.1993
GF24_C10_d86_cwash	Clostridiaceae	8.89789
GF24_C10_d86_cwash	Enterococcaceae	1.44544
GF24_C10_d86_cwash	Erysipelotrichaceae	1.40888
GF24_C10_d86_cwash	Peptostreptococcaceae	0.67951
GF24_C10_d86_cwash	Alcaligenaceae	0.36899
GF24_C1_37_stool	Enterobacteriaceae	96.28582
GF24_C1_37_stool	Enterococcaceae	1.70999
GF24_C1_37_stool	Peptostreptococcaceae	1.42608
GF24_C1_37_stool	Clostridiaceae	0.57811
GF24_C1_39_cwash	Enterococcaceae	91.71634
GF24_C1_39_cwash	Enterobacteriaceae	5.60992
GF24_C1_39_cwash	Erysipelotrichaceae	2.67374
GF24_C1_d108_cwash	Enterobacteriaceae	93.72884
GF24_C1_d108_cwash	Alcaligenaceae	6.27116
GF24_C1_d129_cwash	Enterobacteriaceae	98.23737
GF24_C1_d129_cwash	Alcaligenaceae	1.3381
GF24_C1_d129_cwash	Clostridiaceae	0.16442
GF24_C1_d129_cwash	Enterococcaceae	0.12746
GF24_C1_d129_cwash	Peptostreptococcaceae	0.10692
GF24_C1_d129_cwash	Erysipelotrichaceae	0.02572
GF24_C2_39_cwash	Enterococcaceae	69.26263
GF24_C2_39_cwash	Peptostreptococcaceae	16.47843
GF24_C2_39_cwash	Erysipelotrichaceae	8.57773
GF24_C2_39_cwash	Enterobacteriaceae	5.68121
GF24_C2_d108_cwash	Enterobacteriaceae	84.2684
GF24_C2_d108_cwash	Clostridiaceae	7.18368
GF24_C2_d108_cwash	Erysipelotrichaceae	6.40381
GF24_C2_d108_cwash	Enterococcaceae	0.86403
GF24_C2_d108_cwash	Alcaligenaceae	0.82947
GF24_C2_d108_cwash	Peptostreptococcaceae	0.45061
GF24_C2_d129_cwash	Enterobacteriaceae	95.66632
GF24_C2_d129_cwash	Alcaligenaceae	4.33368
GF24_C2_d86_cwash	Enterobacteriaceae	91.11717
GF24_C2_d86_cwash	Clostridiaceae	3.73471
GF24_C2_d86_cwash	Erysipelotrichaceae	2.08909
GF24_C2_d86_cwash	Enterococcaceae	1.8642
GF24_C2_d86_cwash	Peptostreptococcaceae	1.07243
GF24_C2_d86_cwash	Alcaligenaceae	0.1224
GF24_C3_37_stool	Enterobacteriaceae	96.63909
GF24_C3_37_stool	Enterococcaceae	2.39829
GF24_C3_37_stool	Peptostreptococcaceae	0.58072
GF24_C3_37_stool	Clostridiaceae	0.38191
GF24_C3_38_cwash	Enterococcaceae	90.05915
GF24_C3_38_cwash	Enterobacteriaceae	9.94085
GF24_C3_d108_cwash	Enterobacteriaceae	99.38236
GF24_C3_d108_cwash	Alcaligenaceae	0.61764
GF24_C3_d129_cwash	Enterobacteriaceae	91.14841
GF24_C3_d129_cwash	Alcaligenaceae	5.97903
GF24_C3_d129_cwash	Clostridiaceae	2.31147
GF24_C3_d129_cwash	Erysipelotrichaceae	0.40071
GF24_C3_d129_cwash	Peptostreptococcaceae	0.16038
GF24_C3_d85_stool	Enterobacteriaceae	98.7291
GF24_C3_d85_stool	Enterococcaceae	0.64769
GF24_C3_d85_stool	Peptostreptococcaceae	0.58008
GF24_C3_d85_stool	Clostridiaceae	0.04312
GF24_C3_d86_cwash	Enterobacteriaceae	80.11221
GF24_C3_d86_cwash	Clostridiaceae	12.59593
GF24_C3_d86_cwash	Enterococcaceae	4.22075
GF24_C3_d86_cwash	Peptostreptococcaceae	1.45308
GF24_C3_d86_cwash	Alcaligenaceae	0.87563
GF24_C3_d86_cwash	Erysipelotrichaceae	0.74238
GF24_C4_37_stool	Enterobacteriaceae	88.71129
GF24_C4_37_stool	Clostridiaceae	5.3666
GF24_C4_37_stool	Enterococcaceae	3.39349
GF24_C4_37_stool	Peptostreptococcaceae	2.52862
GF24_C4_38_cwash	Enterococcaceae	80.81278
GF24_C4_38_cwash	Peptostreptococcaceae	12.17629
GF24_C4_38_cwash	Enterobacteriaceae	3.56893
GF24_C4_38_cwash	Erysipelotrichaceae	3.44199
GF24_C4_38_stool	Erysipelotrichaceae	71.69424
GF24_C4_38_stool	Enterobacteriaceae	28.30576
GF24_C4_d108_cwash	Enterobacteriaceae	90.9051
GF24_C4_d108_cwash	Alcaligenaceae	7.67027
GF24_C4_d108_cwash	Clostridiaceae	1.13126
GF24_C4_d108_cwash	Erysipelotrichaceae	0.29337
GF24_C4_d129_cwash	Enterobacteriaceae	93.68476
GF24_C4_d129_cwash	Morganellaceae	2.46784
GF24_C4_d129_cwash	Alcaligenaceae	1.44216
GF24_C4_d129_cwash	Enterococcaceae	1.1517
GF24_C4_d129_cwash	Clostridiaceae	1.09939
GF24_C4_d129_cwash	Peptostreptococcaceae	0.15415
GF24_C4_d86_cwash	Enterobacteriaceae	88.93862
GF24_C4_d86_cwash	Enterococcaceae	5.44855
GF24_C4_d86_cwash	Alcaligenaceae	4.175
GF24_C4_d86_cwash	Erysipelotrichaceae	0.99128
GF24_C4_d86_cwash	Clostridiaceae	0.38348
GF24_C4_d86_cwash	Peptostreptococcaceae	0.06307
GF24_C5_36_stool	Enterobacteriaceae	99.15305
GF24_C5_36_stool	Enterococcaceae	0.84695
GF24_C5_38_stool	Enterococcaceae	81.5583
GF24_C5_38_stool	Erysipelotrichaceae	18.4417
GF24_C5_d108_cwash	Enterobacteriaceae	94.0119
GF24_C5_d108_cwash	Alcaligenaceae	5.85184
GF24_C5_d108_cwash	Enterococcaceae	0.13626
GF24_C5_d129_cwash	Enterobacteriaceae	95.28282
GF24_C5_d129_cwash	Clostridiaceae	2.23667
GF24_C5_d129_cwash	Morganellaceae	1.06939
GF24_C5_d129_cwash	Alcaligenaceae	0.91308
GF24_C5_d129_cwash	Peptostreptococcaceae	0.40503
GF24_C5_d129_cwash	Enterococcaceae	0.093
GF24_C5_d85_stool	Enterobacteriaceae	98.76096
GF24_C5_d85_stool	Enterococcaceae	0.8457
GF24_C5_d85_stool	Clostridiaceae	0.22112
GF24_C5_d85_stool	Peptostreptococcaceae	0.12435
GF24_C5_d85_stool	Alcaligenaceae	0.04787
GF24_C5_d86_cwash	Enterobacteriaceae	77.64129
GF24_C5_d86_cwash	Alcaligenaceae	19.05775
GF24_C5_d86_cwash	Erysipelotrichaceae	3.30096
GF24_C6_36_stool	Enterobacteriaceae	93.70801
GF24_C6_36_stool	Enterococcaceae	4.17908
GF24_C6_36_stool	Peptostreptococcaceae	1.74696
GF24_C6_36_stool	Clostridiaceae	0.36595
GF24_C6_37_stool	Enterobacteriaceae	89.26752
GF24_C6_37_stool	Enterococcaceae	4.91908
GF24_C6_37_stool	Clostridiaceae	4.27455
GF24_C6_37_stool	Peptostreptococcaceae	1.53885
GF24_C6_38_stool	Enterococcaceae	97.36824
GF24_C6_38_stool	Enterobacteriaceae	1.58053
GF24_C6_38_stool	Erysipelotrichaceae	1.05123
GF24_C6_d108_cwash	Enterobacteriaceae	90.97225
GF24_C6_d108_cwash	Clostridiaceae	6.45476
GF24_C6_d108_cwash	Peptostreptococcaceae	1.31306
GF24_C6_d108_cwash	Erysipelotrichaceae	0.69186
GF24_C6_d108_cwash	Alcaligenaceae	0.34618
GF24_C6_d108_cwash	Enterococcaceae	0.22189
GF24_C6_d129_cwash	Enterobacteriaceae	93.10344
GF24_C6_d129_cwash	Alcaligenaceae	5.43488
GF24_C6_d129_cwash	Clostridiaceae	1.22185
GF24_C6_d129_cwash	Enterococcaceae	0.23983
GF24_C6_d85_stool	Enterobacteriaceae	100
GF24_C6_d86_cwash	Enterobacteriaceae	89.02763
GF24_C6_d86_cwash	Clostridiaceae	5.42031
GF24_C6_d86_cwash	Erysipelotrichaceae	4.85169
GF24_C6_d86_cwash	Enterococcaceae	0.70037
GF24_C7_d108_cwash	Enterobacteriaceae	90.21535
GF24_C7_d108_cwash	Alcaligenaceae	9.78465
GF24_C7_d129_cwash	Enterobacteriaceae	97.34876
GF24_C7_d129_cwash	Alcaligenaceae	1.42329
GF24_C7_d129_cwash	Clostridiaceae	0.87242
GF24_C7_d129_cwash	Peptostreptococcaceae	0.35553
GF24_C7_d85_stool	Enterobacteriaceae	97.81491
GF24_C7_d85_stool	Enterococcaceae	1.21395
GF24_C7_d85_stool	Peptostreptococcaceae	0.61491
GF24_C7_d85_stool	Clostridiaceae	0.35624
GF24_C7_d86_cwash	Enterobacteriaceae	85.34742
GF24_C7_d86_cwash	Enterococcaceae	6.75369
GF24_C7_d86_cwash	Clostridiaceae	4.74847
GF24_C7_d86_cwash	Erysipelotrichaceae	2.51154
GF24_C7_d86_cwash	Peptostreptococcaceae	0.38985
GF24_C7_d86_cwash	Alcaligenaceae	0.24903
GF24_C8_d108_cwash	Enterobacteriaceae	98.20558
GF24_C8_d108_cwash	Alcaligenaceae	1.574
GF24_C8_d108_cwash	Enterococcaceae	0.15403
GF24_C8_d108_cwash	Clostridiaceae	0.0381
GF24_C8_d108_cwash	Peptostreptococcaceae	0.02829
GF24_C8_d85_stool	Enterobacteriaceae	96.9472
GF24_C8_d85_stool	Enterococcaceae	3.0528
GF24_C8_d86_cwash	Enterobacteriaceae	84.25248
GF24_C8_d86_cwash	Clostridiaceae	8.48524
GF24_C8_d86_cwash	Erysipelotrichaceae	3.01807
GF24_C8_d86_cwash	Peptostreptococcaceae	2.08249
GF24_C8_d86_cwash	Enterococcaceae	1.62731
GF24_C8_d86_cwash	Morganellaceae	0.33095
GF24_C8_d86_cwash	Alcaligenaceae	0.20345
GF24_C9_d108_cwash	Enterobacteriaceae	82.08981
GF24_C9_d108_cwash	Erysipelotrichaceae	8.08546
GF24_C9_d108_cwash	Alcaligenaceae	5.38156
GF24_C9_d108_cwash	Clostridiaceae	4.04313
