Sample	Family	Abundance
GF20_d0_inoc	Peptoniphilaceae	36.41927
GF20_d0_inoc	Enterococcaceae	34.77182
GF20_d0_inoc	Actinomycetaceae	13.35631
GF20_d0_inoc	Bifidobacteriaceae	6.23767
GF20_d0_inoc	Enterobacteriaceae	4.53442
GF20_d0_inoc	Streptococcaceae	2.47017
GF20_d0_inoc	Clostridiaceae	1.57718
GF20_d0_inoc	Staphylococcaceae	0.37415
GF20_d0_inoc	Veillonellaceae	0.25901
GF20_d161_b6	Enterobacteriaceae	99.94882
GF20_d161_b6	Bifidobacteriaceae	0.05118
GF20_d35_a3	Enterobacteriaceae	75.0721
GF20_d35_a3	Morganellaceae	24.68436
GF20_d35_a3	Pseudomonadaceae	0.24354
GF23_d19_dama	Clostridiaceae	59.98579
GF23_d19_dama	Peptostreptococcaceae	15.08686
GF23_d19_dama	Erysipelotrichaceae	7.55259
GF23_d19_dama	Actinomycetaceae	5.03338
GF23_d19_dama	Enterococcaceae	4.32707
GF23_d19_dama	Enterobacteriaceae	4.3
GF23_d19_dama	Morganellaceae	2.80462
GF23_d19_dama	Bifidobacteriaceae	0.47033
GF23_d19_dama	Peptoniphilaceae	0.43937
GF23_d35_c1	Enterobacteriaceae	100
GF23_d47_dama	Actinomycetaceae	50.32305
GF23_d47_dama	Clostridiaceae	14.54251
GF23_d47_dama	Enterobacteriaceae	13.18747
GF23_d47_dama	Morganellaceae	7.38367
GF23_d47_dama	Enterococcaceae	5.00091
GF23_d47_dama	Bifidobacteriaceae	3.68239
GF23_d47_dama	Erysipelotrichaceae	3.1011
GF23_d47_dama	Peptostreptococcaceae	2.56214
GF23_d47_dama	Peptoniphilaceae	0.21676
GF23_d47_damc	Actinomycetaceae	32.19154
GF23_d47_damc	Enterobacteriaceae	15.73811
GF23_d47_damc	Erysipelotrichaceae	15.43613
GF23_d47_damc	Enterococcaceae	12.68241
GF23_d47_damc	Clostridiaceae	8.37576
GF23_d47_damc	Morganellaceae	8.1858
GF23_d47_damc	Peptostreptococcaceae	3.48915
GF23_d47_damc	Bifidobacteriaceae	2.91932
GF23_d47_damc	Peptoniphilaceae	0.98178
GF23_d52_a1	Enterobacteriaceae	100
GF23_d52_a6	Enterobacteriaceae	99.61556
GF23_d52_a6	Morganellaceae	0.29416
GF23_d52_a6	Enterococcaceae	0.09027
GF23_d56_c2	Enterobacteriaceae	99.55067
GF23_d56_c2	Enterococcaceae	0.44933
GF23_d57_c4	Enterobacteriaceae	100
GF23_d57_c5	Enterobacteriaceae	100
GF23_damA_32_stool	Actinomycetaceae	46.85998
GF23_damA_32_stool	Enterobacteriaceae	19.56603
GF23_damA_32_stool	Clostridiaceae	10.89855
GF23_damA_32_stool	Morganellaceae	8.02356
GF23_damA_32_stool	Enterococcaceae	6.66451
GF23_damA_32_stool	Erysipelotrichaceae	5.40589
GF23_damA_32_stool	Peptostreptococcaceae	1.58928
GF23_damA_32_stool	Bifidobacteriaceae	0.98403
GF23_damA_32_stool	Peptoniphilaceae	0.00817
GF23_damC_10_stool	Bifidobacteriaceae	37.25817
GF23_damC_10_stool	Clostridiaceae	27.65855
GF23_damC_10_stool	Peptostreptococcaceae	20.19753
GF23_damC_10_stool	Morganellaceae	4.55674
GF23_damC_10_stool	Enterococcaceae	3.85513
GF23_damC_10_stool	Erysipelotrichaceae	3.70466
GF23_damC_10_stool	Enterobacteriaceae	2.47665
GF23_damC_10_stool	Peptoniphilaceae	0.29257
GF23_damC_32_stool	Actinomycetaceae	55.23432
GF23_damC_32_stool	Enterobacteriaceae	16.25215
GF23_damC_32_stool	Clostridiaceae	9.50382
GF23_damC_32_stool	Morganellaceae	5.75696
GF23_damC_32_stool	Erysipelotrichaceae	4.79713
GF23_damC_32_stool	Enterococcaceae	4.03709
GF23_damC_32_stool	Peptostreptococcaceae	2.37857
GF23_damC_32_stool	Bifidobacteriaceae	1.92523
GF23_damC_32_stool	Peptoniphilaceae	0.11474
GF24_A10_d131_cwash	Enterobacteriaceae	88.24783
GF24_A10_d131_cwash	Alcaligenaceae	8.53697
GF24_A10_d131_cwash	Erysipelotrichaceae	2.08378
GF24_A10_d131_cwash	Clostridiaceae	0.9635
GF24_A10_d131_cwash	Peptostreptococcaceae	0.16791
GF24_A1_36_stool	Enterobacteriaceae	98.28618
GF24_A1_36_stool	Enterococcaceae	1.02098
GF24_A1_36_stool	Clostridiaceae	0.60212
GF24_A1_36_stool	Peptostreptococcaceae	0.09073
GF24_A1_39_cwash	Enterobacteriaceae	75.44464
GF24_A1_39_cwash	Clostridiaceae	18.84996
GF24_A1_39_cwash	Erysipelotrichaceae	4.76087
GF24_A1_39_cwash	Peptostreptococcaceae	0.94453
GF24_A1_d108_cwash	Enterobacteriaceae	89.28446
GF24_A1_d108_cwash	Alcaligenaceae	10.28024
GF24_A1_d108_cwash	Erysipelotrichaceae	0.4353
GF24_A1_d131_cwash	Enterobacteriaceae	97.3517
GF24_A1_d131_cwash	Alcaligenaceae	2.06486
GF24_A1_d131_cwash	Clostridiaceae	0.58344
GF24_A1_d73_stool	Enterobacteriaceae	98.07763
GF24_A1_d73_stool	Enterococcaceae	1.66532
GF24_A1_d73_stool	Peptostreptococcaceae	0.25705
GF24_A1_d74_cwash	Enterobacteriaceae	91.09251
GF24_A1_d74_cwash	Clostridiaceae	5.80864
GF24_A1_d74_cwash	Enterococcaceae	1.27674
GF24_A1_d74_cwash	Alcaligenaceae	0.72182
