Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae
GF26_Cdam_d98_stool,5.40198,14.97965,0,0,35.0089,0,28.86729,0,0,5.03825,0,0.84793,9.83427,0.02174,0
GF27_A1_d33_cwash,0,0.11902,0,0,88.81545,0,5.63622,0,0,0,0,0.21588,3.15951,2.05392,0
GF27_A2_d33_cwash,0,0,0,0,74.93084,0,3.61181,0,0,7.5553,0,0.09547,5.34267,8.46391,0
GF27_A3_d33_cwash,0,0,0,0,84.82187,0,8.76833,0,0,0,0,0.98583,2.69095,2.73302,0
GF27_A6_d33_cwash,0,0,0,0,87.89575,0,5.72157,0,0,0.3168,0,0.21406,1.93248,3.91934,0
GF27_A7_d33_cwash,0,0,0,0,88.83009,0,4.25563,0,0,0,0,0.03793,3.08694,3.7894,0
GF27_A8_d33_cwash,0,0,0,0,80.90197,0,5.52246,0,0,4.48541,0,0.14527,1.05191,7.89298,0
GF27_GF27_Inoc,0,29.34148,0.03931,0,38.76834,0.12803,0.99441,26.29843,3.021,0.06071,0,0.95278,0.39551,0,0
Gn3_6B_dam_210806,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Gn3_6B_dam_210818,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Gn4_G_Innoc,0,0,0,0,6.5465,0,0,93.4535,0,0,0,0,0,0,0
