Sample	Species	Abundance
GF23_damC_10_stool	Anaerococcus_hydrogenalis	0.07523
GF23_damC_32_stool	Varibaculum_cambriense	55.23432
GF23_damC_32_stool	Escherichia_coli	10.33187
GF23_damC_32_stool	Clostridium_perfringens	8.58195
GF23_damC_32_stool	Morganella_morganii	5.09226
GF23_damC_32_stool	Clostridium_innocuum	4.79713
GF23_damC_32_stool	Enterococcus_faecalis	4.03709
GF23_damC_32_stool	Citrobacter_freundii	3.12153
GF23_damC_32_stool	Klebsiella_oxytoca	2.65017
GF23_damC_32_stool	Clostridioides_difficile	2.37857
GF23_damC_32_stool	Bifidobacterium_breve	1.92523
GF23_damC_32_stool	Clostridium_neonatale	0.90862
GF23_damC_32_stool	Proteus_mirabilis	0.6647
GF23_damC_32_stool	Klebsiella_michiganensis	0.14858
GF23_damC_32_stool	Finegoldia_magna	0.11474
GF23_damC_32_stool	Clostridium_paraputrificum	0.01325
GF24_A10_d131_cwash	Klebsiella_aerogenes	86.28401
GF24_A10_d131_cwash	Achromobacter_xylosoxidans	8.53697
GF24_A10_d131_cwash	Clostridium_innocuum	2.08378
GF24_A10_d131_cwash	Klebsiella_pneumoniae	1.96383
GF24_A10_d131_cwash	Clostridium_paraputrificum	0.91636
GF24_A10_d131_cwash	Clostridioides_difficile	0.16791
GF24_A10_d131_cwash	Clostridium_sp_7_2_43FAA	0.04714
GF24_A1_36_stool	Klebsiella_aerogenes	96.5201
GF24_A1_36_stool	Klebsiella_pneumoniae	1.33588
GF24_A1_36_stool	Enterococcus_faecalis	1.02098
GF24_A1_36_stool	Clostridium_perfringens	0.60212
GF24_A1_36_stool	Escherichia_coli	0.4302
GF24_A1_36_stool	Clostridioides_difficile	0.09073
GF24_A1_39_cwash	Klebsiella_aerogenes	47.62522
GF24_A1_39_cwash	Escherichia_coli	27.81943
GF24_A1_39_cwash	Clostridium_sp_7_2_43FAA	10.61872
GF24_A1_39_cwash	Clostridium_perfringens	7.78337
GF24_A1_39_cwash	Clostridium_innocuum	4.76087
GF24_A1_39_cwash	Clostridioides_difficile	0.94453
GF24_A1_39_cwash	Clostridium_neonatale	0.44787
GF24_A1_d108_cwash	Klebsiella_aerogenes	85.37359
GF24_A1_d108_cwash	Achromobacter_xylosoxidans	10.28024
GF24_A1_d108_cwash	Klebsiella_pneumoniae	3.91087
GF24_A1_d108_cwash	Clostridium_innocuum	0.4353
GF24_A1_d131_cwash	Klebsiella_aerogenes	95.11029
GF24_A1_d131_cwash	Klebsiella_pneumoniae	2.24141
GF24_A1_d131_cwash	Achromobacter_xylosoxidans	2.06486
GF24_A1_d131_cwash	Clostridium_paraputrificum	0.45851
GF24_A1_d131_cwash	Clostridium_sp_7_2_43FAA	0.12494
GF24_A1_d73_stool	Klebsiella_aerogenes	95.60837
GF24_A1_d73_stool	Klebsiella_pneumoniae	2.46927
GF24_A1_d73_stool	Enterococcus_faecalis	1.66532
GF24_A1_d73_stool	Clostridioides_difficile	0.25705
GF24_A1_d74_cwash	Klebsiella_aerogenes	87.82293
GF24_A1_d74_cwash	Clostridium_sp_7_2_43FAA	2.61396
GF24_A1_d74_cwash	Klebsiella_pneumoniae	2.36822
GF24_A1_d74_cwash	Clostridium_paraputrificum	1.66267
GF24_A1_d74_cwash	Clostridium_perfringens	1.53201
GF24_A1_d74_cwash	Enterococcus_faecalis	1.27674
GF24_A1_d74_cwash	Escherichia_coli	0.90137
