Sample,taxa,abundance
B4-d48,Peptoniphilaceae,0.07253
B5-d29,Enterobacteriaceae,99.92019
B5-d29,Enterococcaceae,0.07981
b5-d33,Enterobacteriaceae,82.14489
b5-d33,Clostridiaceae,8.8299
b5-d33,Enterococcaceae,5.5417
b5-d33,Peptostreptococcaceae,3.04019
b5-d33,Morganellaceae,0.24548
b5-d33,Erysipelotrichaceae,0.19784
B5-d39,Clostridiaceae,43.95828
B5-d39,Erysipelotrichaceae,26.53742
B5-d39,Enterobacteriaceae,14.03008
B5-d39,Peptostreptococcaceae,8.3774
B5-d39,Veillonellaceae,3.94144
B5-d39,Enterococcaceae,1.69305
B5-d39,Morganellaceae,1.01437
B5-d39,Peptoniphilaceae,0.41259
B5-d39,Bacillales_unclassified,0.03105
B5-d39,Actinomycetaceae,0.00433
B5-d40,Clostridiaceae,56.72546
B5-d40,Erysipelotrichaceae,18.33341
B5-d40,Enterobacteriaceae,10.5428
B5-d40,Peptostreptococcaceae,9.74765
B5-d40,Enterococcaceae,2.2501
B5-d40,Veillonellaceae,1.24048
B5-d40,Morganellaceae,1.1601
B5-d48,Clostridiaceae,61.52039
B5-d48,Erysipelotrichaceae,13.26462
B5-d48,Peptostreptococcaceae,8.12539
B5-d48,Enterobacteriaceae,6.89329
B5-d48,Veillonellaceae,5.3786
B5-d48,Peptoniphilaceae,1.37723
B5-d48,Campylobacteraceae,1.26579
B5-d48,Enterococcaceae,1.13386
B5-d48,Morganellaceae,0.57914
B5-d48,Actinomycetaceae,0.32423
B5-d48,Bacillales_unclassified,0.13746
B6-d29,Enterobacteriaceae,99.06419
B6-d29,Enterococcaceae,0.93581
b6-d33,Enterobacteriaceae,84.77094
b6-d33,Clostridiaceae,6.9501
b6-d33,Enterococcaceae,5.50935
b6-d33,Peptostreptococcaceae,2.16397
b6-d33,Erysipelotrichaceae,0.4913
b6-d33,Morganellaceae,0.11435
B6-d34,Enterobacteriaceae,59.05408
B6-d34,Clostridiaceae,24.94452
B6-d34,Erysipelotrichaceae,9.25291
B6-d34,Enterococcaceae,3.20839
B6-d34,Peptostreptococcaceae,2.86974
B6-d34,Peptoniphilaceae,0.61529
B6-d34,Morganellaceae,0.05507
B6-d39,Clostridiaceae,54.93361
B6-d39,Erysipelotrichaceae,24.60738
B6-d39,Peptostreptococcaceae,8.58325
B6-d39,Enterobacteriaceae,8.39632
B6-d39,Enterococcaceae,2.37694
B6-d39,Morganellaceae,0.85528
B6-d39,Veillonellaceae,0.24722
B6-d40,Clostridiaceae,52.67065
B6-d40,Erysipelotrichaceae,17.52628
B6-d40,Enterobacteriaceae,13.42402
B6-d40,Peptostreptococcaceae,8.81944
B6-d40,Veillonellaceae,3.91026
B6-d40,Enterococcaceae,2.57808
B6-d40,Morganellaceae,1.07128
B6-d48,Clostridiaceae,58.19296
B6-d48,Erysipelotrichaceae,16.60002
B6-d48,Peptostreptococcaceae,7.24616
B6-d48,Veillonellaceae,6.37887
B6-d48,Enterobacteriaceae,5.07816
B6-d48,Peptoniphilaceae,1.85976
B6-d48,Campylobacteraceae,1.53435
B6-d48,Enterococcaceae,1.36818
B6-d48,Morganellaceae,0.81078
B6-d48,Actinomycetaceae,0.79154
B6-d48,Bacillales_unclassified,0.13922
B7-d29,Enterobacteriaceae,99.59761
B7-d29,Enterococcaceae,0.40239
b7-d33,Enterobacteriaceae,77.81216
b7-d33,Clostridiaceae,14.25428
b7-d33,Enterococcaceae,5.27567
b7-d33,Peptostreptococcaceae,2.11734
b7-d33,Erysipelotrichaceae,0.54056
B7-d40,Clostridiaceae,36.50636
B7-d40,Erysipelotrichaceae,25.2548
B7-d40,Enterobacteriaceae,19.03296
B7-d40,Peptostreptococcaceae,9.64702
B7-d40,Enterococcaceae,4.71936
B7-d40,Veillonellaceae,4.06799
B7-d40,Morganellaceae,0.77151
B7-d48,Clostridiaceae,54.88173
B7-d48,Erysipelotrichaceae,19.04269
B7-d48,Peptostreptococcaceae,7.71774
B7-d48,Veillonellaceae,6.16162
B7-d48,Enterobacteriaceae,4.70235
B7-d48,Peptoniphilaceae,2.27787
B7-d48,Actinomycetaceae,1.8771
B7-d48,Campylobacteraceae,1.45257
B7-d48,Enterococcaceae,1.17204
B7-d48,Morganellaceae,0.71429
C1,Clostridiaceae,75.98501
C1,Enterobacteriaceae,12.71412
C1,Erysipelotrichaceae,6.0592
C1,Peptostreptococcaceae,3.74031
C1,Enterococcaceae,1.257
C1,Veillonellaceae,0.14154
C1,Morganellaceae,0.10282
C1-d33,Enterobacteriaceae,96.69348
C1-d33,Enterococcaceae,3.19563
C1-d33,Peptostreptococcaceae,0.11089
C1-d44,Clostridiaceae,57.65121
C1-d44,Erysipelotrichaceae,17.6158
C1-d44,Enterobacteriaceae,14.52072
C1-d44,Peptostreptococcaceae,8.60713
C1-d44,Enterococcaceae,1.26775
C1-d44,Morganellaceae,0.33739
C1-d45,Clostridiaceae,67.75241
C1-d45,Peptostreptococcaceae,18.1058
C1-d45,Erysipelotrichaceae,9.9528
C1-d45,Enterobacteriaceae,3.74931
C1-d45,Enterococcaceae,0.43969
C1-d53,Clostridiaceae,58.00655
C1-d53,Erysipelotrichaceae,16.9789
C1-d53,Peptostreptococcaceae,9.53333
C1-d53,Enterobacteriaceae,7.30562
C1-d53,Veillonellaceae,5.88135
C1-d53,Enterococcaceae,1.46484
C1-d53,Morganellaceae,0.82942
C19,Clostridiaceae,66.49619
C19,Erysipelotrichaceae,14.51288
C19,Peptostreptococcaceae,6.22421
C19,Veillonellaceae,3.66717
C19,Enterobacteriaceae,3.2253
C19,Peptoniphilaceae,1.58305
C19,Enterococcaceae,1.54636
C19,Campylobacteraceae,1.11509
C19,Actinomycetaceae,0.91754
C19,Morganellaceae,0.71221
C2-colon,Clostridiaceae,65.17113
C2-colon,Erysipelotrichaceae,15.92951
C2-colon,Peptostreptococcaceae,9.24325
C2-colon,Veillonellaceae,4.34394
C2-colon,Enterobacteriaceae,3.8752
C2-colon,Enterococcaceae,0.80869
C2-colon,Morganellaceae,0.57164
C2-colon,Actinomycetaceae,0.05664
C2-d33,Enterobacteriaceae,100
C2-d37,Enterobacteriaceae,69.08031
C2-d37,Enterococcaceae,11.64609
C2-d37,Clostridiaceae,11.06001
C2-d37,Erysipelotrichaceae,4.3921
C2-d37,Peptostreptococcaceae,3.82149
C2-d44,Clostridiaceae,66.08278
C2-d44,Erysipelotrichaceae,13.46237
C2-d44,Enterobacteriaceae,10.55184
C2-d44,Peptostreptococcaceae,7.84836
C2-d44,Enterococcaceae,1.43903
C2-d44,Morganellaceae,0.61562
C2-d45,Clostridiaceae,44.67912
C2-d45,Erysipelotrichaceae,33.57691
C2-d45,Peptostreptococcaceae,9.29811
C2-d45,Enterobacteriaceae,8.581
C2-d45,Enterococcaceae,3.23379
C2-d45,Morganellaceae,0.63107
C2-d49,Clostridiaceae,58.36206
C2-d49,Erysipelotrichaceae,23.59549
C2-d49,Enterobacteriaceae,9.2586
C2-d49,Peptostreptococcaceae,2.96095
C2-d49,Veillonellaceae,2.61558
C2-d49,Enterococcaceae,1.92929
C2-d49,Morganellaceae,1.27804
C2-d53,Clostridiaceae,58.11037
C2-d53,Erysipelotrichaceae,16.25061
C2-d53,Peptostreptococcaceae,11.58651
C2-d53,Enterobacteriaceae,6.22239
C2-d53,Veillonellaceae,5.69433
C2-d53,Enterococcaceae,1.16338
C2-d53,Morganellaceae,0.97241
C3,Clostridiaceae,52.88168
C3,Enterobacteriaceae,16.43715
C3,Erysipelotrichaceae,12.8492
C3,Peptostreptococcaceae,11.02796
C3,Morganellaceae,3.14687
C3,Enterococcaceae,2.04457
C3,Veillonellaceae,1.61258
C3-colon,Clostridiaceae,63.23505
C3-colon,Erysipelotrichaceae,18.51596
C3-colon,Peptostreptococcaceae,11.57998
C3-colon,Veillonellaceae,3.17716
C3-colon,Enterobacteriaceae,2.28081
C3-colon,Enterococcaceae,1.16085
C3-colon,Morganellaceae,0.05019
C3-d33,Enterobacteriaceae,97.0409
C3-d33,Enterococcaceae,2.77912
C3-d33,Peptostreptococcaceae,0.13239
C3-d33,Clostridiaceae,0.04759
C3-d44,Clostridiaceae,61.01174
C3-d44,Erysipelotrichaceae,19.78618
C3-d44,Enterobacteriaceae,9.68663
C3-d44,Peptostreptococcaceae,8.04556
C3-d44,Enterococcaceae,1.1243
C3-d44,Morganellaceae,0.34559
C3-d45,Clostridiaceae,58.7867
C3-d45,Erysipelotrichaceae,16.33307
C3-d45,Enterobacteriaceae,11.98153
C3-d45,Peptostreptococcaceae,10.86022
C3-d45,Enterococcaceae,1.22467
C3-d45,Morganellaceae,0.8138
C3-d53,Clostridiaceae,54.66751
C3-d53,Erysipelotrichaceae,20.6894
C3-d53,Peptostreptococcaceae,10.22784
C3-d53,Veillonellaceae,6.45614
C3-d53,Enterobacteriaceae,6.14464
C3-d53,Enterococcaceae,1.13475
C3-d53,Morganellaceae,0.67973
C4-d33,Enterobacteriaceae,53.83426
C4-d33,Enterococcaceae,39.26759
C4-d33,Clostridiaceae,4.84584
C4-d33,Morganellaceae,1.3009
C4-d33,Peptostreptococcaceae,0.75141
C4-d44,Clostridiaceae,65.18005
C4-d44,Erysipelotrichaceae,15.82774
C4-d44,Enterobacteriaceae,9.2715
