Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF3_C4_day30,0,0,0,0,0,80.92795,0,0,0,0,19.07205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C4_day32,0.61253,2.0604,0,0,0.86586,69.7463,2.41722,0,6.37454,0,16.10367,1.81948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C4_day34,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C4_day38,9.44117,24.48624,4.03835,9.30464,6.44704,4.92275,28.42703,10.26008,0.59111,0,0.07273,1.86236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14651
GF3_C4_day39,8.22699,14.14403,12.34238,6.70394,3.97022,3.44161,16.77408,14.3384,0.98076,0,0.02057,2.46849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58853
GF3_C4_day40,4.40695,13.5601,6.82868,15.60395,4.1381,3.27549,28.54303,14.27993,0.30588,0,0.13639,2.28335,0.65798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98018
GF3_C4_day41,3.72617,11.25432,5.27855,13.68189,3.989,1.74062,26.63138,19.97766,1.01458,0,0.02729,1.7146,0.26816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69577
GF3_C4_day42,3.29714,11.23028,5.20521,16.10778,5.13945,2.29685,28.40479,18.19972,1.35147,0,0.01725,1.27821,0.60702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86484
GF3_C4_day45,2.72133,11.48541,9.2229,18.59983,2.59476,1.02321,22.94649,21.96734,1.68139,0,0.11297,0,5.18475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45963
GF3_C5_day30,0,0,0,0,0,69.89234,3.15858,0,2.25387,0,24.69522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C5_day39,7.46594,21.12305,5.37353,8.35102,2.75886,8.43948,33.56195,4.5147,1.53656,0,0,2.69571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1792
GF3_C5_day41,2.85065,11.34424,3.37468,15.1771,0.67971,4.41633,45.28798,12.4299,2.22002,0,0.47667,1.74271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C5_day42,2.93097,13.78617,4.60825,18.999,1.73725,2.14535,29.89556,19.65203,3.71795,0,1.03822,1.20534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28391
GF3_C5_day45,1.26606,9.7164,5.85159,15.58125,2.05863,1.18085,40.90052,20.50388,2.8576,0,0.03904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04417
GF3_C6_day30,0.16898,0.05266,0,0,0.5805,54.18129,4.33232,0,19.60901,0,13.01936,8.05589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C6_day35,0,0,0,0,0,0,0.16246,11.12231,88.71523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF3_C6_day38,6.93799,14.08307,5.16852,8.94896,3.55555,3.67588,48.37412,7.68245,0.46253,0,0.03853,1.0724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
