Sample	p__Actinobacteria	p__Bacteroidetes	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
GF14_d67_A9_stool	0	0	0	0	100	0
GF14_d68_A1_colon	0	0	0	0	100	0
GF14_d68_A10_colon	0	0	0.73926	0	99.26074	0
GF14_d68_A2_colon	0	0	0	0	100	0
GF14_d68_A3_colon	0	0	0	0	100	0
GF14_d68_A4_colon	0	0	1.28748	0	98.71252	0
GF14_d68_A5_colon	0	0	0	0	100	0
GF14_d68_A6_colon	0	0	0	0	100	0
GF14_d68_A7_colon	0	0	0	0	100	0
GF14_d68_A8_colon	0	0	0	0	100	0
GF14_d68_A9_colon	0	0	0	0	100	0
GF14_d89_B1_stool	0	0	3.98961	0	96.01039	0
GF14_d89_B2_stool	0	0	2.43418	0	97.56582	0
GF14_d89_B3_stool	0	0	2.52327	0	97.47673	0
GF14_d90_B2_stool	0	0	4.42844	0	95.57156	0
GF14_d90_B3_stool	0	0	4.78069	0	95.21931	0
GF14_d91_B2_stool	0	0	1.53307	0	98.46693	0
GF14_INOC	0.07584	0	33.22695	0	66.69721	0
GF15_A_Dam_d0	0	0	0	0	0	0
GF15_A_Dam_d21	69.24741	0	28.39211	0	2.36049	0
GF15_a1_d106_stool	2.36014	0	5.13931	0	92.50055	0
GF15_A1_d108_colon	0	0	0	0	100	0
GF15_A1_d32	0	0	0	0	0	0
GF15_A1_d35_colon	0	0	0	0	100	0
GF15_A1_d72_stool	1.83142	0	12.75018	0	85.4184	0
GF15_a1_d74_colon	0	0	0	0	0	0
GF15_a2_d105_stool	9.05494	0	9.68665	0	81.25841	0
GF15_a2_d106_stool	5.92582	0	26.98904	0	67.08513	0
GF15_A2_d108_colon	0.99325	0	0	0	99.00675	0
GF15_A2_d32	0	0	0	0	100	0
GF15_a3_d105_stool	11.68336	0	3.36545	0	84.95119	0
GF15_A3_d108_colon	1.71166	0	0	0	98.28834	0
GF15_A3_d32	0	0	0	0	100	0
GF15_A3_d33	0	0	0	0	0	0
GF15_A3_d35_colon	100	0	0	0	0	0
GF15_a3_d74_colon	0	0	0	0	0	0
GF15_a4_d105_stool	0.77304	0	0.51238	0	98.71458	0
GF15_A4_d108_colon	1.39055	0	0	0	98.60945	0
GF15_A4_d32	2.47262	0	5.22053	0	92.30685	0
GF15_a5_d105_stool	2.12712	0	15.23353	0	82.63935	0
GF15_A5_d108_colon	1.34013	0	0	0	98.65987	0
GF15_A5_d32	1.40356	0	2.97346	0	95.62298	0
GF15_A5_d35_colon	0	0	100	0	0	0
GF15_a5_d71_colon	0	0	0	0	0	0
GF15_a6_d105_stool	0.57734	0	5.10244	0	94.32022	0
GF15_A6_d108_colon	0	0	0	0	100	0
GF15_A6_d32_colon	0	0	0	0	100	0
GF15_a6_d74_colon	0	0	0	0	0	0
GF15_A7_d108_colon	5.3241	0	0	0	94.6759	0
GF15_a7_d74_colon	100	0	0	0	0	0
GF15_a8_d105_stool	0.48668	0	13.70005	0	85.81328	0
GF15_A8_d108_colon	1.24545	0	0	0	98.75455	0
GF15_a8_d74_colon	0	0	0	0	0	0
GF15_a9_d105_stool	0.425	0	2.21925	0	97.35575	0
GF15_a9_d106_stool	2.18737	0	15.25278	0	82.55986	0
GF15_A9_d108_colon	1.29161	0	0	0	98.70839	0
GF15_adam_d11_stool	82.60084	0	14.67236	0	2.72679	0
GF15_adam_d18_stool	75.45995	0	20.97248	0	3.56757	0
GF15_Adam_d5_stool	80.99398	0	15.16711	0	3.83891	0
GF15_b_d5_stool	100	0	0	0	0	0
GF15_B1_d32	2.61814	0	7.94493	0	89.43693	0
GF15_B1_d35_colon	0	0	0	0	100	0
GF15_B1_d94_stool	0.12142	0	0.96787	0	98.91072	0
GF15_b1_d97_colon	0	0	0	0	100	0
GF15_b10_d94_stool	0	0	0	0	100	0
GF15_B10_d97_colon	0	0	0	0	100	0
GF15_B2_d32	2.10322	0	5.98682	0	91.90997	0
GF15_B2_d33	2.97421	0	6.91896	0	90.10683	0
GF15_B2_d35_colon	0	0	0	0	100	0
GF15_b2_d94_stool	0.30691	0	3.97744	0	95.71565	0
GF15_b2_d95_stool	1.10231	0	18.43296	0	80.46473	0
GF15_b2_d97_colon	0	0	0	0	100	0
GF15_B3_d34	0	0	0	0	100	0
GF15_B3_d35_colon	0	0	0	0	100	0
GF15_b3_d94_stool	0	0	0.09261	0	99.90739	0
GF15_b3_d97_colon	0	0	0	0	100	0
GF15_b4_d106_stool	1.63526	0	17.02664	0	81.3381	0
GF15_B4_d32	1.20736	0	6.10432	0	92.68832	0
GF15_B4_d33	1.44397	0	6.42663	0	92.1294	0
GF15_B4_d34	0	0	0	0	100	0
GF15_B4_d35_colon	0.09888	0	0	0	99.90112	0
GF15_b4_d96_stool	0	0	0.33864	0	99.66136	0
GF15_b4_d97_colon	0	0	51.62486	0	48.37514	0
GF15_b5_d107_stool	1.71679	0	7.76997	0	90.51324	0
GF15_B5_d32	1.35107	0	0.50869	0	98.14024	0
GF15_B5_d35_colon	0	0	0	0	100	0
GF15_b5_d94_stool	0.13788	0	0.06894	0	99.79318	0
GF15_b5_d95_stool	0.99496	0	9.96499	0	89.04004	0
GF15_b5_d97_colon	0	0	0	0	100	0
GF15_B6_d32	0.11474	0	0	0	99.88526	0
GF15_B6_d34_colon	0	0	0	0	100	0
GF15_b6_d94_stool	0.1402	0	0.11953	0	99.74027	0
GF15_b6_d95_stool	0.13277	0	0.76838	0	99.09885	0
GF15_b6_d97_colon	0	0	0	0	100	0
GF15_B7_d32	0	0	0	0	100	0
GF15_B7_d33	0	0	0	0	0	0
GF15_B7_d35_colon	0	0	0	0	100	0
GF15_b7_d97_colon	0	0	0	0	100	0
GF15_b8_d94_stool	1.79888	0	0.69763	0	97.50349	0
GF15_b8_d97_colon	0	0	0	0	100	0
GF15_b9_d106_stool	1.33937	0	0.09641	0	98.56422	0
GF15_b9_d94_stool	1.27245	0	3.03297	0	95.69458	0
GF15_B9_d97_colon	0	0	0	0	100	0
GF15_bdam_d18_stool	65.74315	0	29.83756	0	4.41929	0
GF15_c_d18_stool	72.98868	0	23.21837	0	3.79295	0
GF15_c1_d105_stool	0	0	1.8283	0	98.1717	0
GF15_c1_d108_colon	0.75489	0	0.20128	0	99.04383	0
GF15_C1_d36	0.57349	0	42.93361	0	56.4929	0
GF15_C1_d37	2.13341	0	11.87903	0	85.98756	0
GF15_C1_d39_colon	0	0	0	0	100	0
GF15_c1_d74_colon	0	0	0	0	100	0
GF15_c2_d105_stool	0.0782	0	4.48893	0	95.43287	0
GF15_c2_d108_colon	1.03642	0	0.1436	0	98.81998	0
GF15_C2_d36	0	0	9.21021	0	90.78979	0
GF15_C2_d37	1.27179	0	9.15402	0	89.57418	0
GF15_C2_d39_colon	0	0	0	0	100	0
GF15_c2_d73_16_stool	0	0	0	0	100	0
GF15_c2_d74_colon	0	0	0	0	100	0
GF15_c3_d108_colon	0.82048	0	0	0	99.17952	0
GF15_C3_d36	0.62802	0	7.48336	0	91.88862	0
GF15_C3_d39_colon	0	0	0	0	100	0
GF15_c4_d105_stool	0.41471	0	13.386	0	86.1993	0
GF15_c4_d108_colon	0.90803	0	0.01964	0	99.07233	0
GF15_C4_d36	0.59226	0	2.46018	0	96.94756	0
GF15_C4_d37	1.42075	0	2.42882	0	96.15042	0
GF15_C4_d38	0	0	0	0	100	0
GF15_C4_d39_colon	0	0	0	0	100	0
GF15_c4_d73_stool	0.0756	0	0.25995	0	99.66445	0
GF15_c4_d74_colon	0	0	0	0	100	0
GF15_c5_d105_stool	1.3294	0	6.26884	0	92.40176	0
GF15_c5_d108_colon	2.02025	0	0	0	97.97975	0
GF15_C5_d36	0.10864	0	29.15074	0	70.74062	0
GF15_C5_d37	0.8768	0	20.72677	0	78.39643	0
GF15_C5_d39_colon	0	0	0	0	100	0
GF15_c5_d71_stool	73.15538	0	6.76672	0	20.0779	0
GF15_c5_d74_colon	0	0	0	0	100	0
GF15_c6_d105_stool	0.1158	0	5.4137	0	94.4705	0
GF15_c6_d108_colon	2.58141	0	0	0	97.41859	0
GF15_C6_d36	0.3967	0	8.03343	0	91.56987	0
GF15_C6_d39_colon	0	0	0	0	100	0
GF15_c6_d71_stool	2.43546	0	0.38699	0	97.17756	0
GF15_C6_d72_stool	1.17734	0	0.74597	0	98.0767	0
GF15_c6_d74_colon	0	0	0	0	100	0
GF15_c7_d105_stool	0	0	0.67866	0	99.32134	0
GF15_c7_d108_colon	1.99122	0	0	0	98.00878	0
GF15_c7_d72_stool	2.12828	0	0.6453	0	97.22642	0
GF15_c7_d74_colon	0	0	0	0	100	0
GF15_c8_d108_colon	0.63461	0	0	0	99.36539	0
GF15_c8_d74_colon	0	0	0	0	100	0
GF15_c9_d108_colon	0.24938	0	16.14859	0	83.60203	0
GF15_cdam_d11_stool	78.81169	0	17.77769	0	3.41062	0
GF15_cdam_d23_stool	82.26897	0	16.94438	0	0.78665	0
GF15_cdam_d5_stool	75.3763	0	16.55165	0	8.07205	0
GF15_cdam_d59_stool	46.15229	0	48.35148	0	5.49624	0
GF15_d67_B1_stool	0.31414	0	4.45422	0	95.23164	0
GF15_d67_B2_stool	0.68199	0	0.04833	0	99.26968	0
GF15_d67_B3_stool	1.7919	0	2.64366	0	95.56444	0
GF15_d67_B4_stool	0.91866	0	0	0	99.08134	0
GF15_d67_B5_stool	1.91235	0	0.44765	0	97.64	0
GF15_d67_B6_stool	0.09244	0	0	0	99.90756	0
GF15_d67_B7_stool	0	0	0.0882	0	99.9118	0
GF15_d67_B8_stool	0.25129	0	0.32873	0	99.41998	0
GF15_d68_B1_colon	0	0	5.09173	0	94.90827	0
GF15_d68_B2_stool	0.44779	0	0.05543	0	99.49678	0
GF15_d68_B5_colon	0	0	0	0	100	0
GF15_d68_B8_stool	0.40566	0	1.54621	0	98.04813	0
GF15_d69_B2_stool	0	0	0	0	100	0
GF15_d69_B9_stool	0	0	0	0	100	0
GF15_d70_B2_colon	0	0	0	0	100	0
GF15_d70_B4_colon	0	0	0	0	100	0
GF15_d70_B6_colon	0	0	0	0	100	0
GF15_d70_B7_colon	0	0	0	0	100	0
GF15_d70_B8_colon	0	0	0	0	100	0
GF15_d70_B9_colon	0	0	0	0	100	0
GF15_d71_A1_stool	0.68593	0	0.11866	0	99.19541	0
GF15_d71_A3_stool	0.89046	0	11.51468	0	87.59486	0
GF15_d71_A4_stool	0	0	0	0	100	0
GF15_d71_A5_stool	0	0	0	0	100	0
GF15_d71_A6_stool	0.83377	0	1.37374	0	97.7925	0
GF15_d71_A7_stool	0.72189	0	0.711	0	98.56711	0
GF15_d71_A8_stool	2.3082	0	2.48143	0	95.21037	0
GF15_d71_C2_stool	0.73952	0	8.23437	0	91.02612	0
GF15_d71_C3_stool	0.56724	0	16.75145	0	82.68131	0
GF15_d71_C4_stool	0.22622	0	0	0	99.77378	0
GF15_INOC	28.1213	0	68.22772	0	3.65098	0
GF16_A1_d32	0	0	51.40762	0	48.59238	0
GF16_A1_d35_colon	100	0	0	0	0	0
GF16_A2_d32	0	0	100	0	0	0
GF16_A2_d35_colon	0	0	56.05929	0	43.94071	0
GF16_A3_d32	0	0	89.10817	0	10.89183	0
GF16_A3_d34	0	0	84.80141	0	15.19859	0
GF16_A3_d35_colon	0	0	100	0	0	0
GF16_a4_d100_stool	0	0	66.42964	0	33.57036	0
GF16_A4_d32	0	0	58.63305	0	41.36695	0
GF16_A4_d35_colon	0	0	0	0	0	0
GF16_A5_d32	0	0	100	0	0	0
GF16_A5_d35_colon	0	0	0	0	0	0
GF16_A6_d32	0	0	79.46103	0	20.53897	0
GF16_A6_d33	0	0	87.17244	0	12.82756	0
GF16_A6_d35_colon	0	0	100	0	0	0
GF16_A7_d32	0	0	73.01374	0	26.98626	0
GF16_A7_d34	0	0	96.46847	0	3.53153	0
GF16_A7_d35_colon	0	0	0	0	0	0
GF16_Adam_d21	0.88331	5.53117	93.58552	0	0	0
GF16_ADam_do	0	0	0	0	0	0
GF16_B1_d32	0	0	100	0	0	0
GF16_B1_d34	0	0	0	0	0	0
GF16_B1_d35_colon	0	0	0	0	0	0
GF16_B2_d32	0	0	100	0	0	0
GF16_B2_d34	4.09511	0	28.19028	0	67.71461	0
GF16_B3_d35_colon	0	0	0	0	0	0
GF16_B4_d35_colon	0	0	0	0	0	0
GF16_B5_d32	0	0	55.60949	0	44.39051	0
GF16_B5_d33_colon	0	0	70.72955	0	29.27045	0
GF16_B5_d33	0	0	0	0	0	0
GF16_B6_d32	0	0	82.83627	0	17.16373	0
GF16_B6_d35_colon	0	0	0	0	0	0
GF16_c1_d105_stool	0	0	99.5368	0	0.4632	0
GF16_C1_d34	0	0	100	0	0	0
GF16_C1_d35_colon	0	0	98.72347	0	1.27653	0
GF16_c1_d67_stool	0	0	58.2325	0	41.7675	0
GF16_c1_d69_stool	4.94169	0	95.05831	0	0	0
GF16_c10_d105_stool	0	0	100	0	0	0
GF16_c10_d106_stool	0	0	100	0	0	0
GF16_c2_d105_stool	0	0	100	0	0	0
GF16_C2_d32	0	0	94.1463	0	5.8537	0
GF16_C2_d35_colon	0	0	62.66687	0	37.33313	0
GF16_c2_d67_stool	0	0.12507	52.2654	0	47.60953	0
GF16_c2_d68_stool	0	0	65.62456	0	34.37544	0
GF16_c2_d69_stool	0	1.57038	76.46044	0	21.96918	0
GF16_c3_d105_stool	0	0.64712	93.24067	0	6.11221	0
GF16_C3_d32	0	0	70.86863	0	29.13137	0
GF16_C3_d33	0	0	50.02693	0	49.97307	0
GF16_C3_d35_colon	0	0	47.67286	0	52.32714	0
GF16_c3_d67_stool	0	0	30.65628	0	69.34372	0
GF16_c4_d105_stool	0	0	100	0	0	0
GF16_C4_d33	0	3.76533	86.25797	0	9.9767	0
GF16_C4_d34	0	0	100	0	0	0
GF16_C4_d35_colon	0	0	49.77859	0	50.22141	0
GF16_c4_d67_stool	0	0	44.4813	0	55.5187	0
GF16_c4_d69_stool	0	0	48.35033	0	51.64967	0
GF16_c5_d105_stool	0	0	100	0	0	0
GF16_C5_d32	0	0	83.41843	0	16.58157	0
GF16_C5_d35_colon	0	0	53.1508	0	46.8492	0
GF16_c5_d67_stool	0	0	64.27033	0	35.72967	0
GF16_c5_d68_stool	0	0	66.7494	0	33.2506	0
GF16_c6_d105_stool	0	0	97.11774	0	2.88226	0
GF16_c7_d105_stool	0	0	100	0	0	0
GF16_inoc_200622	2.06586	12.1128	85.82134	0	0	0
GF17_a1_d31_stool	0	0	1.19288	0	98.80712	0
GF17_a2_d31_stool	0	0	4.00741	0	95.99259	0
GF17_a3_d31_stool	0	0	1.50538	0	98.49462	0
GF17_a4_d31_stool	0	0	0.13742	0	99.86258	0
GF17_a5_d31_stool	0	0	0.35013	0	99.64987	0
GF17_a6_d31_stool	0	0	1.75527	0	98.24473	0
GF17_a7_d31_stool	0	0	0	0	100	0
GF17_b2_d31_stool	0	0	0.33582	0	99.66418	0
GF17_b3_d31_stool	0	0	0	0	100	0
GF17_b6_d31_stool	0	0	0.08218	0	99.91782	0
GF17_inoc_200903	1.26851	0	32.4877	0	66.24378	0
GF18_a1_d32_stool	0	0	2.08751	0	97.91249	0
GF18_a1_d33_stool	0	0	46.90977	0	53.09023	0
GF18_a1_d35_colon	0	0	100	0	0	0
GF18_a2_d33_stool	0	0	0.10537	0	99.89463	0
GF18_a2_d35_colon	90.00249	0	9.99751	0	0	0
GF18_a2_d54_colon	0	0	30.8562	0	69.1438	0
GF18_a3_d35_colon	0	0	31.4095	0	68.5905	0
GF18_a3_d54_colon	0	0	25.6658	0	74.3342	0
GF18_a4_d32_stool	0	0	1.68698	0	98.31302	0
GF18_a4_d33_stool	0	0	50.8927	0	49.1073	0
GF18_a4_d35_colon	0	0	100	0	0	0
GF18_a4_d54_colon	0.46864	0	1.29312	0	98.23824	0
GF18_a5_d54_colon	0	0	17.51872	0	82.48128	0
GF18_adam_d33_stoolsoln	0.13864	0	99.8014	0	0.05997	0
GF18_b1_d35_colon	0	0	0	0	0	0
GF18_b3_d32_stool	0	0	0.14947	0	99.85053	0
GF18_b3_d33_stool	0	0	12.16215	0	87.83785	0
GF18_b3_d35_colon	0	0	0	0	100	0
GF18_b4_d32_stool	0	0	1.80819	0	98.19181	0
GF18_b4_d35_colon	0	0	0.33294	0	99.66706	0
GF18_bdam_d33_stoolsoln	0	0	9.26088	0	90.73912	0
GF18_d0_innoculum	0	0	74.0706	0	25.9294	0
GF2_A_dam_d33	82.89008	0	17.10992	0	0	0
GF2_A_dam_day19	24.11772	0	72.04431	0	3.83797	0
GF2_A_dam_day29	50.71415	0	49.28585	0	0	0
GF2_A_day1_dad	0	0	78.60633	0	21.39367	0
GF2_A_day1_mom	0	0	55.76609	0	44.23391	0
GF2_A0	0	0	0	0	0	0
GF2_A1_d37	34.88534	0	61.82238	0	3.29228	0
GF2_A1_d39	0.25451	0	73.77395	0	25.97154	0
GF2_A1_day28	0	0	0.13491	0	99.86509	0
GF2_A1_day29	0.67832	0	2.76797	0	96.55371	0
GF2_A1_day30	0	0	0	0	100	0
GF2_A1_day31	11.84523	0	65.37927	0	22.77549	0
GF2_A1_day32	1.65389	0	7.43609	0	90.91001	0
GF2_A1_day41	7.67627	0	57.65977	0	34.66396	0
GF2_A1_day42	1.79555	0	26.16589	0	72.03856	0
GF2_A1_day44	1.2568	0	3.19177	0	95.55142	0
GF2_A1_Liver	0	0	0	0	0	0
GF2_A1_Spleen	0	0	0	0	0	0
GF2_A2_Colon	16.37148	0	12.29145	0	71.33706	0
GF2_A2_d36	1.69692	0	86.85608	0	11.447	0
GF2_A2_D37	2.30283	0	87.42191	0	10.27526	0
GF2_A2_d39	0.1319	0	86.55818	0	13.30992	0
GF2_A2_day28	0	0	0	0	100	0
GF2_A2_day29	0.16344	0	0.36273	0	99.47382	0
GF2_A2_day30	43.81059	0	45.72234	0	10.46707	0
GF2_A2_day31	0.34451	0	2.30904	0	97.34645	0
GF2_A2_day32	46.64562	0	46.73122	0	6.62315	0
GF2_A2_day34	31.52028	0	63.58295	0	4.89677	0
GF2_A2_day41	1.50241	0	69.74003	0	28.75756	0
GF2_A2_day42	3.20625	0	27.35096	0	69.44279	0
GF2_A2_day44	21.93835	0	27.95327	0	50.10838	0
GF2_A2_Liver	0	0	0	0	0	0
GF2_A2_Spleen	0	0	0	0	0	0
GF2_A25_N713	3.34193	0	91.5121	0	5.14597	0
GF2_A3_Colon	31.27407	0	25.51203	0	43.2139	0
GF2_A3_d37	14.38746	0	77.79282	0	7.81972	0
GF2_A3_d39	29.92258	0	55.96691	0	14.11051	0
GF2_A3_day28	0	0	0	0	100	0
GF2_A3_day30	41.36087	0	44.6795	0	13.95962	0
GF2_A3_day32	64.03964	0	27.84009	0	8.12027	0
GF2_A3_day41	48.09963	0	39.10805	0	12.79232	0
GF2_A3_day42	0.90822	0	5.37912	0	93.71266	0
GF2_A3_Liver	0	0	0	0	0	0
GF2_A3_Spleen	0	0	0	0	0	0
GF2_A4_Colon	2.84825	0	12.282	0	84.86975	0
GF2_A4_d36	55.64148	0	40.14715	0	4.21137	0
GF2_A4_d37	0.48198	0	82.13713	0	17.38089	0
GF2_A4_D39	0.4855	0	76.12085	0	23.39365	0
GF2_A4_day28	0	0	0.17214	0	99.82786	0
GF2_A4_day29	0.59705	0	2.64055	0	96.7624	0
GF2_A4_day30	52.73717	0	36.81647	0	10.44636	0
GF2_A4_day31	0	0	1.78832	0	98.21168	0
GF2_A4_day32	49.99856	0	40.97644	0	9.025	0
GF2_A4_day41	48.43964	0	47.67142	0	3.88894	0
GF2_A4_day42	11.27871	0	13.47251	0	75.24878	0
GF2_A4_day44	3.29974	0	9.88655	0	86.81371	0
GF2_A4_Liver	0	0	0	0	0	0
GF2_A4_Spleen	0	0	0	0	0	0
GF2_A5_Colon	5.69294	0	3.87004	0	90.43702	0
GF2_A5_d39	39.16276	0	47.654	0	13.18324	0
GF2_A5_day28	0	0	0	0	100	0
GF2_A5_day31	0.79856	0	19.41273	0	79.78871	0
GF2_A5_day32	0.59193	0	9.78022	0	89.62785	0
GF2_A5_day42	24.67441	0	28.57901	0	46.74658	0
GF2_A5_Liver	0	0	0	0	0	0
GF2_A5_Spleen	0	0	0	0	0	0
GF2_A6_Colon	0	0	22.5806	0	77.4194	0
GF2_A6_d33	36.69335	0	58.95339	0	4.35326	0
GF2_A6_d36	44.50396	0	52.51129	0	2.98475	0
GF2_A6_d37	4.17614	0	87.70529	0	8.11857	0
GF2_A6_D39	0.27811	0	82.83052	0	16.89137	0
GF2_A6_day28	0	0	0.75846	0	99.24154	0
GF2_A6_day29	1.29099	0	2.14621	0	96.5628	0
GF2_A6_day30	51.53101	0	35.96564	0	12.50334	0
GF2_A6_day31	17.27904	0	42.78957	0	39.93139	0
GF2_A6_day32	0	0	10.49628	0	89.50372	0
GF2_A6_day44	12.89691	0	72.87317	0	14.22992	0
GF2_A6_Liver	0	0	0	0	0	0
GF2_A6_Spleen	0	0	0	0	0	0
GF2_B_dam_d33	49.40654	0	48.02864	0	2.56482	0
GF2_B_dam_day19	43.99358	0	54.91695	0	1.08947	0
GF2_B_dam_day37	38.13328	0	61.00693	0	0.85979	0
GF2_B_day1_dad	0	0	84.33682	0	15.66318	0
GF2_B_day1_mom	0	0	68.1098	0	31.8902	0
GF2_B_Sire_day23	41.65161	0	56.84153	0	1.50686	0
GF2_B0	0	0	0	0	0	0
GF2_B1_d34	52.42429	0	43.16536	0	4.41035	0
GF2_B1_d35	9.99139	0	86.79632	0	3.21229	0
GF2_B1_day29	33.43889	0	43.27786	0	23.28325	0
GF2_B1_day32	41.43498	0	52.92582	0	5.63919	0
GF2_B1_day37	50.66664	0	47.45749	0	1.87587	0
GF2_B1_day41	48.14428	0	42.92635	0	8.92937	0
GF2_B1_day44	22.46866	0	60.41169	0	17.11965	0
GF2_B1_Liver	0	0	0	0	0	0
GF2_B1_Spleen	0	0	0	0	0	0
GF2_B2_d35	37.26765	0	58.44345	0	4.2889	0
GF2_B2_day27	1.27159	0	3.65297	0	95.07544	0
GF2_B2_day28	1.18433	0	4.67404	0	94.14163	0
GF2_B2_day29	2.22375	0	31.95907	0	65.81719	0
GF2_B2_day30	2.26456	0	77.71084	0	20.02459	0
GF2_B2_day31	0.56887	0	96.67588	0	2.75525	0
GF2_B2_day37	48.0216	0	48.95967	0	3.01872	0
GF2_B2_day41	20.51453	0	26.42921	0	53.05626	0
GF2_B2_day44	39.32985	0	45.20794	0	15.4622	0
GF2_B2_Liver	0	0	0	0	0	0
GF2_B2_Spleen	0	0	0	0	0	0
GF2_B3_COLON	0	0	0	0	0	0
GF2_B3_d35	0.5903	0	90.37602	0	9.03369	0
GF2_B3_day27	1.19857	0	3.88734	0	94.91409	0
GF2_B3_day28	1.11578	0	15.50388	0	83.38033	0
GF2_B3_day31	0.90685	0	92.74387	0	6.34928	0
GF2_B3_day37	46.57987	0	51.42264	0	1.99749	0
GF2_B3_day41	54.65444	0	39.2263	0	6.11926	0
GF2_B3_day44	1.55405	0	65.54383	0	32.90212	0
GF2_B3_Liver	0	0	0	0	0	0
GF2_B3_Spleen	0	0	0	0	0	0
GF2_B4_d35	0	0	92.88223	0	7.11777	0
GF2_B4_day27	1.42458	0	2.97998	0	95.59544	0
GF2_B4_day28	48.09335	0	44.57955	0	7.32709	0
GF2_B4_day29	2.83389	0	33.17895	0	63.98716	0
GF2_B4_day32	26.4753	0	70.71611	0	2.80859	0
GF2_B4_day37	38.95564	0	60.29339	0	0.75097	0
GF2_B4_day41	0	0	0.02233	0	99.97767	0
GF2_B5_d34	49.23939	0	48.36896	0	2.39165	0
GF2_B5_d35	36.78445	0	60.04452	0	3.17103	0
GF2_B5_day27	43.15546	0	48.26363	0	8.58092	0
GF2_B5_day28	1.59401	0	19.92412	0	78.48187	0
GF2_B5_day29	6.68135	0	43.64123	0	49.67742	0
GF2_B5_day30	0.55838	0	87.21844	0	12.22318	0
GF2_B5_day31	0.22288	0	93.94821	0	5.82891	0
GF2_B5_day37	55.30461	0	41.24701	0	3.44838	0
GF2_B5_day41	22.38218	0	27.37456	0	50.24326	0
GF2_B5_day44	54.47174	0	41.62771	0	3.90055	0
GF2_B5_Spleen	0	0	0	0	0	0
GF2_colon_A1_day45	5.00538	0	8.2424	0	86.75222	0
GF2_colon_B1_day44	7.3654	0	81.32045	0	11.31415	0
GF2_colon_B2_day44	8.5868	0	78.86131	0	12.55188	0
GF2_colon_B3_day44	34.56595	0	22.15732	0	43.27673	0
GF2_colon_B5_day44	9.78818	0	77.85961	0	12.3522	0
GF2_Inoc	23.96745	0	69.04384	0	6.98871	0
GF20_d0_inoc	20.16001	0	78.61499	0	1.225	0
GF20_d123_b10	0	0	0	0	0	0
GF20_d127_a1	0	0	0	0	100	0
GF20_d127_a2	0	0	0	0	100	0
GF20_d127_a3	0	0	0	0	100	0
GF20_d127_a4	0	0	0	0	0	0
GF20_d127_a5	0	0	0	0	100	0
GF20_d127_a6	0	0	0	0	100	0
GF20_d127_a7	0	0	0	0	100	0
GF20_d127_a8	0	0	0	0	0	0
GF20_d127_a9	0	0	0	0	100	0
GF20_d127_b1	0	0	0	0	0	0
GF20_d127_b2	0	0	0	0	0	0
GF20_d127_b5	0	0	0	0	0	0
GF20_d127_b6	0	0	0	0	0	0
GF20_d127_b8	0	0	0	0	0	0
GF20_d140_c1	0	0	0	0	0	0
GF20_d140_c3	0	0	0	0	0	0
GF20_d140_c5	0	0	0	0	0	0
GF20_d140_c6	0	0	0	0	0	0
GF20_d140_c7	0	0	0	0	0	0
GF20_d140_c8	0	0	0	0	100	0
GF20_d140_c9	0	0	0	0	0	0
GF20_d161_b2	0.03116	0	0.13114	0	99.8377	0
GF20_d161_b4	1.12052	0	1.08975	0	97.78972	0
GF20_d161_b6	0	0	0	0	100	0
GF20_d161_b8	0.06769	0	0.36998	0	99.56232	0
GF20_d164_b1	0	0	1.65474	0	98.34526	0
GF20_d164_b2	0	0	0	0	100	0
GF20_d164_b3	0	0	0	0	100	0
GF20_d164_b4	0	0	0	0	100	0
GF20_d164_b5	0	0	0	0	100	0
GF20_d164_b6	0	0	0	0	100	0
GF20_d164_b7	0	0	0	0	100	0
GF20_d164_b8	0	0	0	0	100	0
GF20_d164_b9	0	0	0	0	100	0
GF20_d167_damb	0	0	1.15517	0	98.84483	0
GF20_d170_c1	0	0	0	0	100	0
GF20_d170_c2	0	0	0	0	100	0
GF20_d170_c5	0	0	0	0	100	0
GF20_d170_c6	0	0	0	0	100	0
GF20_d170_c7	0	0	0	0	100	0
GF20_d170_c8	0	0	0	0	100	0
GF20_d170_c9	0	0	0	0	100	0
GF20_d33_a3	1.27753	0	91.24164	0	7.48083	0
GF20_d33_a4	1.38273	0	3.14646	0	95.47082	0
GF20_d33_a5	1.64774	0	2.40853	0	95.94373	0
GF20_d33_b2	0.106	0	13.47497	0	86.41904	0
GF20_d33_b3	0	0	0.52866	0	99.47134	0
GF20_d33_b4	0.51042	0	7.7848	0	91.70478	0
GF20_d34_a2	0	0	0	0	100	0
GF20_d34_a4	1.12183	0	2.86262	0	96.01555	0
GF20_d34_b3	0.94969	0	1.12054	0	97.92976	0
GF20_d35_a2	0.2797	0	0	0	99.7203	0
GF20_d35_a3	0	0	0	0	100	0
GF20_d35_b5	0	0	0	0	0	0
GF20_d36_a1	0	0	0	0	100	0
GF20_d36_a2	0	0	0	0	100	0
GF20_d36_a3	0	0	0	0	100	0
GF20_d36_a4	0	0	0	0	100	0
GF20_d36_a5	0	0	0	0	100	0
GF20_d36_b1	0	0	0	0	0	0
GF20_d36_b3	0	0	0	0	0	0
GF20_d36_b4	0	0	0	0	0	0
GF20_d36_b5	0	0	0	0	100	0
GF20_d39_dama	59.35703	0	36.65362	0	3.98936	0
