Sample,Enterococcus_faecalis,Anaerococcus_vaginalis,Varibaculum_cambriense,Finegoldia_magna,Bifidobacterium_breve,Escherichia_coli,Streptococcus_thermophilus,Citrobacter_freundii,Clostridium_neonatale,Streptococcus_gordonii,Clostridium_paraputrificum,Staphylococcus_aureus,Veillonella_parvula,Anaerococcus_hydrogenalis,Morganella_morganii,Pseudomonas_aeruginosa_group,Clostridium_perfringens,Clostridioides_difficile,Clostridium_innocuum,Proteus_mirabilis,Clostridium_sp_7_2_43FAA,Clostridium_butyricum,Klebsiella_oxytoca,Klebsiella_aerogenes,Klebsiella_pneumoniae,Klebsiella_michiganensis,Achromobacter_xylosoxidans,Achromobacter_insuavis,Enterobacter_cloacae_complex,Streptococcus_salivarius,Klebsiella_variicola,Klebsiella_quasipneumoniae,Dermabacter_hominis,Staphylococcus_epidermidis,Staphylococcus_warneri
GF24_A2_d73_stool,1.24658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13054,0,0,0,0,0,97.30069,1.32219,0,0,0,0,0,0,0,0,0,0
GF24_A3_37_stool,0.65955,0,0,0,0,0.22657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59838,4.5155,0,0,0,0,0,0,0,0,0,0
GF24_A3_38_stool,2.44983,0,0,0.07579,0,23.52833,0,0,0,0,0.28434,0,0,0,0,0,0,0.91485,0,0,0,0,0,68.34402,4.40284,0,0,0,0,0,0,0,0,0,0
GF24_A3_39_cwash,0,0,0,0,0,50.96611,0,0,0,0,13.65195,0,0,0,0,0,6.83074,0.08189,19.11068,0,2.84841,0,0,6.51023,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_d108_cwash,0.28492,0,0,0,0,0,0,0,0.45631,0,1.81058,0,0,0,0,0,0,1.36142,0.93959,0,8.17398,0,1.99851,76.76431,6.68912,0,1.52126,0,0,0,0,0,0,0,0
GF24_A3_d131_cwash,0,0,0,0,0,0,0,0,0,0,3.64743,0,0,0,0,0,0,0,1.34389,0,1.75891,0,15.61607,70.67993,5.60715,0,1.34662,0,0,0,0,0,0,0,0
GF24_A4_38_stool,1.34371,0,0,0.63703,0,2.30292,0,0,1.64863,0,7.26705,0,0,0,0,0,28.61162,3.90359,6.44724,0.00811,2.31863,0,0,44.60982,0.90164,0,0,0,0,0,0,0,0,0,0
GF24_A4_39_cwash,2.58502,0,0,0,0,10.61904,0,0,8.58368,0,2.61503,0,0,0,0,0,29.18608,7.4607,10.21578,0,19.42573,0,0.25817,8.63122,0.41957,0,0,0,0,0,0,0,0,0,0
GF24_A4_d108_cwash,0,0,0,0,0,0,0,0,0,0,5.96435,0,0,0,0,0,0,0,0,0,0,0,0,86.4956,0,0,2.98611,4.55394,0,0,0,0,0,0,0
GF24_A4_d131_cwash,2.44073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01349,0,0,2.78975,0,0,89.29939,2.65934,0,2.79728,0,0,0,0,0,0,0,0
GF24_A4_d74_cwash,2.14616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70412,0,0,0,0,0,0,85.60211,1.10116,0,10.44646,0,0,0,0,0,0,0,0
GF24_A5_d108_cwash,0.28981,0,0,0,0,0,0,0,0,0,3.1316,0,0,0,0,0,0.21067,0.51196,0.85849,0,5.32624,0,54.38174,30.91014,2.92781,0,1.45155,0,0,0,0,0,0,0,0
GF24_A5_d131_cwash,2.14237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72201,0,11.6068,0,0,0,83.10128,2.07002,0,0.19608,0.16143,0,0,0,0,0,0,0
GF24_A5_d74_cwash,0.30118,0,0,0,0,0,0,0,0,0,2.48982,0,0,0,0,0,4.56152,1.06605,3.65708,1.6214,0.60875,0,0,84.6125,0.99499,0,0,0.08672,0,0,0,0,0,0,0
GF24_A6_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_39_cwash,1.36928,0,0,0,0,32.67839,0,0,6.04566,0,8.29752,0,0,0,0,0,0,12.66939,7.09301,0,31.84675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A6_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16753,0,1.21295,91.23954,6.27888,0,1.10109,0,0,0,0,0,0,0,0
GF24_A6_d131_cwash,0,0,0,0,0,0,0,0,0,0,6.4562,0,0,0,0,0,0,0,2.36883,0,4.41981,0,0,83.87189,1.95845,0,0.92482,0,0,0,0,0,0,0,0
GF24_A6_d74_cwash,0,0,0,0,0,36.18061,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45475,0,0,21.87041,34.96412,3.87336,0,1.65675,0,0,0,0,0,0,0,0
GF24_A7_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_37_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
GF24_A7_39_cwash,1.9739,0,0,0,0,4.86083,0,0,0.22508,0,6.48908,0,0,0,0,0,0,12.09772,8.4463,0,28.56021,0,6.14309,29.89815,1.30564,0,0,0,0,0,0,0,0,0,0
GF24_A7_d108_cwash,0.02807,0,0,0,0,0,0,0,0,0,0.18287,0,0,0,0,0,0,0.12484,2.38316,6.23287,1.02002,0,3.53708,75.20615,9.63918,0,1.64576,0,0,0,0,0,0,0,0
GF24_A7_d131_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0,85.67159,2.71724,0,10.62517,0,0,0,0,0,0,0,0
GF24_A7_d74_cwash,0,0,0,0,0,60.62201,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12588,0,0,9.28554,26.50522,1.1009,0,0.36045,0,0,0,0,0,0,0,0
GF24_A8_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.27211,2.7213,0,7.00659,0,0,0,0,0,0,0,0
GF24_A8_d131_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.94106,8.58798,0,9.47097,0,0,0,0,0,0,0,0
GF24_A9_d108_cwash,2.19589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79992,0,0,0.65044,0,1.69342,90.0175,4.5942,0,0.04102,0.00762,0,0,0,0,0,0,0
GF24_A9_d131_cwash,0.41796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453,0.03211,0,0,0.01106,0,0,97.04592,1.91385,0,0.57456,0,0,0,0,0,0,0,0
GF24_Adam_d100_stool,14.36591,0,10.66965,2.92344,0,8.11377,0,0.61991,5.23313,0,0.18438,0,0,0,0,0,17.50611,2.89595,6.96767,9.51886,0,0,15.63016,5.37106,0,0,0,0,0,0,0,0,0,0,0
GF24_B1_33_cwash,0,0,0,0,0,17.35613,0,0,1.10172,0,8.8006,0,0,0,0,0,0.16901,0,12.97329,0,3.27793,0,0,55.50582,0.81549,0,0,0,0,0,0,0,0,0,0
GF24_B1_64_cwash,3.32586,0,0,0,0,7.53504,0,9.97438,3.73943,0,16.66124,0,0,0,0,0,1.38534,22.3587,6.94088,4.16312,6.02205,0,15.94432,0.76387,0,1.18577,0,0,0,0,0,0,0,0,0
GF24_B2_33_cwash,0.10538,0,0,0,0,0,0,0,0.79281,0,11.58222,0,0,0,0,0,6.31416,2.1883,5.50348,6.15116,0,0,0,64.3655,2.997,0,0,0,0,0,0,0,0,0,0
GF24_B2_64_cwash,3.61477,0,0,0,0,4.49026,0,5.86667,0.91685,0,16.2394,0,0,0,0,0,6.55469,23.94761,11.91985,4.75078,8.03044,0,9.0131,0.10451,0,3.16255,0,0,1.38851,0,0,0,0,0,0
GF24_B2_d74_cwash,2.82407,0,0,0,0,0.61315,0,0,0,0,1.99123,0,0,0,0,0,1.97503,1.66138,0,0,3.19792,0,0,80.54576,6.86177,0,0,0.32969,0,0,0,0,0,0,0
GF24_B3_33_cwash,0.41171,0,0,0,0,0,0,0,1.76325,0,8.13544,0,0,0,0,0,2.45415,1.69707,6.55996,13.13572,6.45094,0,0,58.77691,0.61485,0,0,0,0,0,0,0,0,0,0
GF24_B3_64_cwash,1.5001,0,0,0,0,4.46656,0,4.12557,1.98708,0,17.42769,0,0,0,0,0,10.91123,24.75597,14.98928,2.34473,4.08079,0,3.91865,0.95533,0.07661,8.39946,0,0,0.06096,0,0,0,0,0,0
GF24_B3_d74_cwash,0.477,0,0,0,0,0.78631,0,0,0,0,0,0,0,0,0,0,0,0,0.38916,0,0.21867,0,0,92.16328,5.96558,0,0,0,0,0,0,0,0,0,0
GF24_B4_33_cwash,1.22202,0,0,0,0,0,0,0,0.55134,0,2.56656,0,0,0,0,0,11.95434,1.06464,4.49591,5.59344,2.18288,0,0,70.36886,0,0,0,0,0,0,0,0,0,0,0
GF24_B4_d73_stool,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.71743,0.84388,0,0,0,0,0,0,0,0,0,0
GF24_B4_d74_cwash,0.5879,0,0,0,0,0.90935,0,0,0.55192,0,2.03581,0,0,0,0,0,0.48793,0.54045,0.86179,0,1.69339,0,0,88.84303,3.44945,0,0,0.03898,0,0,0,0,0,0,0
GF24_B5_33_cwash,0,0,0,0,0,0.59813,0,0,1.14939,0,10.02289,0,0,0,0,0,2.71866,0,18.86976,0,0,0,0,66.64117,0,0,0,0,0,0,0,0,0,0,0
GF24_B6_33_cwash,0.51822,0,0,0,0,0,0,0,0,0,2.42365,0,0,0,0,0,1.37583,0.07519,19.17581,0,0,0,0,72.4218,4.00951,0,0,0,0,0,0,0,0,0,0
GF24_B7_33_cwash,0,0,0,0,0,0.46241,0,0,0.99356,0,6.00882,0,0,0,0,0,5.18322,0.65417,26.54279,2.30438,0.3119,0,0,57.53876,0,0,0,0,0,0,0,0,0,0,0
GF24_Bdam_d114_stool,18.05856,0,0,1.44612,0,4.91304,0,4.43316,2.23933,0,0.63949,0,0,0,0,0,34.10935,1.59739,9.05524,6.36765,0,0,4.68511,12.45556,0,0,0,0,0,0,0,0,0,0,0
GF24_C10_d86_cwash,1.44544,0,0,0,0,0.8445,0,0,0,0,5.75266,0,0,0,0,0,3.14522,0.67951,1.40888,0,0,0,5.54503,75.85698,4.95279,0,0.36899,0,0,0,0,0,0,0,0
GF24_C1_37_stool,1.70999,0,0,0,0,42.7093,0,0,0,0,0,0,0,0,0,0,0.57811,1.42608,0,0,0,0,0,51.03376,2.54276,0,0,0,0,0,0,0,0,0,0
GF24_C1_39_cwash,91.71634,0,0,0,0,5.60992,0,0,0,0,0,0,0,0,0,0,0,0,2.67374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C1_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.86195,5.86688,0,6.27116,0,0,0,0,0,0,0,0
GF24_C1_d129_cwash,0.12746,0,0,0,0,55.25404,0,0,0,0,0,0,0,0,0,0,0,0.10692,0.02572,0,0.16442,0,4.62592,36.13739,2.22003,0,1.3381,0,0,0,0,0,0,0,0
GF24_C2_39_cwash,69.26263,0,0,0,0,5.68121,0,0,0,0,0,0,0,0,0,0,0,16.47843,8.57773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C2_d108_cwash,0.86403,0,0,0,0,0,0,0,0,0,3.2983,0,0,0,0,0,0,0.45061,6.40381,0,3.88538,0,2.76245,75.90488,5.60106,0,0.82947,0,0,0,0,0,0,0,0
GF24_C2_d129_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21113,83.41627,11.03891,0,4.33368,0,0,0,0,0,0,0,0
GF24_C2_d86_cwash,1.8642,0,0,0,0,78.37529,0,0,0,0,2.75065,0,0,0,0,0,0.22047,1.07243,2.08909,0,0.7636,0,0,11.7173,1.02458,0,0,0.1224,0,0,0,0,0,0,0
GF24_C3_37_stool,2.39829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38191,0.58072,0,0,0,0,0,95.40089,1.2382,0,0,0,0,0,0,0,0,0,0
GF24_C3_38_cwash,90.05915,0,0,0,0,9.94085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.49066,42.32375,0.56795,0,0.61764,0,0,0,0,0,0,0,0
GF24_C3_d129_cwash,0,0,0,0,0,0,0,0,0,0,1.59361,0,0,0,0,0,0,0.16038,0.40071,0,0.71785,0,25.04127,63.1806,2.92654,0,5.97903,0,0,0,0,0,0,0,0
GF24_C3_d85_stool,0.64769,0,0,0,0,0.66991,0,0,0,0,0.04312,0,0,0,0,0,0,0.58008,0,0,0,0,28.08054,66.40641,3.57224,0,0,0,0,0,0,0,0,0,0
GF24_C3_d86_cwash,4.22075,0,0,0,0,0,0,0,0,0,10.8554,0,0,0,0,0,1.713,1.45308,0.74238,0,0.02754,0,9.77208,65.54701,4.79313,0,0.46867,0.40696,0,0,0,0,0,0,0
GF24_C4_37_stool,3.39349,0,0,0,0,0.09748,0,0,0.09113,0,4.11284,0,0,0,0,0,1.16263,2.52862,0,0,0,0,0.10892,86.89866,1.60624,0,0,0,0,0,0,0,0,0,0
GF24_C4_38_cwash,80.81278,0,0,0,0,3.56893,0,0,0,0,0,0,0,0,0,0,0,12.17629,3.44199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_38_stool,0,0,0,0,0,28.30576,0,0,0,0,0,0,0,0,0,0,0,0,71.69424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_d108_cwash,0,0,0,0,0,0,0,0,0.7018,0,0,0,0,0,0,0,0,0,0.29337,0,0.42946,0,0,87.50024,3.40487,0,7.67027,0,0,0,0,0,0,0,0
GF24_C4_d129_cwash,1.1517,0,0,0,0,78.20194,0,0,0,0,0,0,0,0,0,0,0,0.15415,0,2.46784,1.09939,0,0.46265,14.07047,0.94971,0,1.44216,0,0,0,0,0,0,0,0
GF24_C4_d86_cwash,5.44855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06307,0.99128,0,0.38348,0,21.52091,62.0917,5.32601,0,4.175,0,0,0,0,0,0,0,0
GF24_C5_36_stool,0.84695,0,0,0,0,80.12739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11907,0.9066,0,0,0,0,0,0,0,0,0,0
GF24_C5_38_stool,81.5583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C5_d108_cwash,0.13626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35797,86.36673,7.2872,0,5.85184,0,0,0,0,0,0,0,0
GF24_C5_d129_cwash,0.093,0,0,0,0,0,0,0,0.08331,0,0.95225,0,0,0,0,0,0,0.40503,0,1.06939,1.20111,0,26.4482,59.5929,9.24172,0,0.12518,0.7879,0,0,0,0,0,0,0
GF24_C5_d85_stool,0.8457,0,0,0,0,0,0,0,0,0,0.22112,0,0,0,0,0,0,0.12435,0,0,0,0,23.3146,71.29823,4.14812,0,0.04787,0,0,0,0,0,0,0,0
GF24_C5_d86_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30096,0,0,0,27.61058,47.66011,2.3706,0,19.05775,0,0,0,0,0,0,0,0
GF24_C6_36_stool,4.17908,0,0,0,0,1.33152,0,0,0,0,0,0,0,0,0,0,0.36595,1.74696,0,0,0,0,0,87.1415,5.23499,0,0,0,0,0,0,0,0,0,0
GF24_C6_37_stool,4.91908,0,0,0,0,0.2098,0,0,0,0,0.22594,0,0,0,0,0,4.0486,1.53885,0,0,0,0,0.19075,85.69174,3.17523,0,0,0,0,0,0,0,0,0,0
GF24_C6_38_stool,97.36824,0,0,0,0,1.58053,0,0,0,0,0,0,0,0,0,0,0,0,1.05123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d108_cwash,0.22189,0,0,0,0,0,0,0,1.41704,0,1.4879,0,0,0,0,0,1.01851,1.31306,0.69186,0,2.53131,0,5.85532,82.25033,2.86659,0,0.34618,0,0,0,0,0,0,0,0
GF24_C6_d129_cwash,0.23983,0,0,0,0,51.59529,0,0,0,0,0.69285,0,0,0,0,0,0,0,0,0,0.529,0,0,38.47097,3.03718,0,5.43488,0,0,0,0,0,0,0,0
GF24_C6_d85_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
GF24_C6_d86_cwash,0.70037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85169,0,5.42031,0,36.97272,52.0549,0,0,0,0,0,0,0,0,0,0,0
GF24_C7_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.52641,69.64486,3.04408,0,9.78465,0,0,0,0,0,0,0,0
GF24_C7_d129_cwash,0,0,0,0,0,45.61454,0,0,0,0,0.64182,0,0,0,0,0,0,0.35553,0,0,0.2306,0,17.78465,31.56296,2.38661,0,1.42329,0,0,0,0,0,0,0,0
GF24_C7_d85_stool,1.21395,0,0,0,0,0.38402,0,0,0,0,0.13169,0,0,0,0,0,0.22455,0.61491,0,0,0,0,27.76704,65.96759,3.69626,0,0,0,0,0,0,0,0,0,0
GF24_C7_d86_cwash,6.75369,0,0,0,0,0,0,0,0,0,1.9052,0,0,0,0,0,0.26864,0.38985,2.51154,0,2.57462,0,16.41812,64.40818,4.52112,0,0.24903,0,0,0,0,0,0,0,0
GF24_C8_d108_cwash,0.15403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02829,0,0,0.0381,0,0,95.90078,2.3048,0,1.574,0,0,0,0,0,0,0,0
GF24_C8_d85_stool,3.0528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.35212,54.46812,3.12696,0,0,0,0,0,0,0,0,0,0
GF24_C8_d86_cwash,1.62731,0,0,0,0,1.78725,0,0,0.3722,0,3.68717,0,0,0,0,0,1.38789,2.08249,3.01807,0.33095,3.03798,0,33.26181,44.04073,5.16269,0,0.20345,0,0,0,0,0,0,0,0
GF24_C9_d108_cwash,0.40003,0,0,0,0,0,0,0,0,0,0.44036,0,0,0,0,0,0.56012,0,8.08546,0,3.04266,0,0,79.16145,2.92836,0,5.38156,0,0,0,0,0,0,0,0
GF24_C9_d85_stool,1.66079,0,0,0,0,0,0,0,0,0,0.00925,0,0,0,0,0,0.05049,1.07031,0,0.08277,0,0,20.54507,73.65492,2.92639,0,0,0,0,0,0,0,0,0,0
GF24_C9_d86_cwash,3.74869,0,0,0,0,1.73504,0,0,0,0,3.37308,0,0,0,0,0,2.8937,1.17872,5.87031,0,4.10355,0,20.18318,54.02096,2.06005,0,0.83271,0,0,0,0,0,0,0,0
GF24_Cdam_d108_stool,12.76876,0,14.28209,0,0,7.61672,0,3.92857,6.12267,0,0,0,0,0,0,0,21.77613,3.36885,18.60214,3.42095,0,0,0,6.45223,0.17137,1.48951,0,0,0,0,0,0,0,0,0
GF24_damA_18_stool,17.73209,0,24.07472,0.19872,0,6.59684,0,7.6446,4.32674,0,1.01147,0,0,0,0,0,18.21016,1.95433,6.60057,2.23089,0,0,9.41886,0,0,0,0,0,0,0,0,0,0,0,0
GF24_damA_3_stool,7.59921,0,0,0,0,3.79768,0,2.89345,5.62294,0,2.1976,0,0,0,0,0,11.30186,7.37651,17.96868,8.71908,0,0,24.63671,7.18317,0.7031,0,0,0,0,0,0,0,0,0,0
