Sample,Enterococcus_faecalis,Anaerococcus_vaginalis,Varibaculum_cambriense,Finegoldia_magna,Bifidobacterium_breve,Escherichia_coli,Streptococcus_thermophilus,Citrobacter_freundii,Clostridium_neonatale,Streptococcus_gordonii,Clostridium_paraputrificum,Staphylococcus_aureus,Veillonella_parvula,Anaerococcus_hydrogenalis,Morganella_morganii,Pseudomonas_aeruginosa_group,Clostridium_perfringens,Clostridioides_difficile,Clostridium_innocuum,Proteus_mirabilis,Clostridium_sp_7_2_43FAA,Clostridium_butyricum,Klebsiella_oxytoca,Klebsiella_aerogenes,Klebsiella_pneumoniae,Klebsiella_michiganensis,Achromobacter_xylosoxidans,Achromobacter_insuavis,Enterobacter_cloacae_complex,Streptococcus_salivarius,Klebsiella_variicola,Klebsiella_quasipneumoniae,Dermabacter_hominis,Staphylococcus_epidermidis,Staphylococcus_warneri
GF24_damA_8_stool,8.91771,0,9.39399,1.32385,0,7.79834,0,5.54911,9.06392,0,1.7242,0,0,0,0,0,2.61537,7.6229,19.16549,7.08664,0,0,17.86085,1.70946,0.16817,0,0,0,0,0,0,0,0,0,0
GF24_damB_3_stool,2.77366,0,0,0,0,0.71875,0,1.38798,6.16954,0,3.34358,0,0,0,0,0,57.958,10.32229,4.86025,4.4086,0.04834,0,7.24064,0.68293,0.05739,0.01786,0,0,0.01017,0,0,0,0,0,0
GF24_damB_8_stool,11.09428,0,19.66932,0,0,5.76233,0,4.96616,1.72112,0,0,0,0,0,0,0,12.26092,0.28971,28.20472,2.7619,0,0,13.26953,0,0,0,0,0,0,0,0,0,0,0,0
GF24_damC_30_stool,3.42561,0,39.39149,0.03711,0,9.07969,0,8.38378,1.02071,0,0.03707,0,0,0,0,0,5.85111,1.16753,6.12858,1.39748,0,0,1.15416,13.2612,0.42437,8.99609,0,0,0.24403,0,0,0,0,0,0
GF24_damC_3_stool,4.12662,0,0,0,0,0.70718,0,0.67333,10.60111,0,3.51533,0,0,0,0,0,39.99704,11.29807,8.52129,8.59389,0.0104,0,10.39974,1.42014,0.03714,0.09871,0,0,0,0,0,0,0,0,0
GF24_damC_51_stool,25.71135,0,0,0,0,6.15013,0,0,13.59141,0,0.90351,0,0,0,0,0,11.84366,8.36784,18.95702,4.91077,0.17906,0,4.58549,1.75191,0,2.76829,0,0,0.27956,0,0,0,0,0,0
GF24_Inoc_0,7.01883,0,0.04989,0,0,0.13668,0,0.0503,3.73174,0,0.85446,0,9.03552,0,0,0,2.70375,3.0071,2.21149,0.2995,0,0,0.24734,68.29492,2.08031,0,0,0,0,0.27815,0,0,0,0,0
GF26_A1_d101_cwash,0,0,0,0,0,1.57297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.29276,0,0.58342,0,0,0,14.83241,3.71844,0,0,0
GF26_A1_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
GF26_A2_d101_cwash,0,0,0,0,0,58.95254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33203,0,0.50298,0,0,0,4.83619,1.37627,0,0,0
GF26_A2_d149_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.01255,0,0,0,0,0,8.98745,0,0,0,0
GF26_A3_d101_cwash,0,0,0,0,0,0.50808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.94642,0,0.32624,0,0,0,15.12082,2.09844,0,0,0
GF26_A3_d149_cwash,0,0,0,0,0,0,0,98.86013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13987,0,0,0,0,0,0,0,0,0,0
GF26_A4_d101_cwash,0,0,0,0,0,0.17417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.90228,0,0.05365,0.04297,0,0,13.94018,2.88676,0,0,0
GF26_A4_d146_stool,0,0,0,0,0,4.62663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.23327,0,0,0,0,0,12.51751,2.62259,0,0,0
GF26_A4_d147_stool,0,0,0,0,0,4.19587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.08452,0,0,0,0,0,15.96511,1.7545,0,0,0
GF26_A4_d148_stool,0,0,0,0,0,0.7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.52082,0,0,0,0,0,14.45425,2.25183,0,0,0
GF26_A4_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
GF26_A5_d101_cwash,0,0,0,0,0,0.22163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.60077,0,0.21013,0,0,0,13.77875,3.18871,0,0,0
GF26_A7_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
GF26_A9_d149_cwash,0,0,0,0,0,0,0,44.50616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.04434,0,1.33428,0,0,0,10.51842,1.5968,0,0,0
GF26_Adam_d148_stool,0,0,0,0,0,6.80516,0,1.72608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.09126,0,0,0,0,0,14.18584,2.64418,0.54748,0,0
GF26_Adam_d98_stool,0,0,0,0,0,36.39138,0,2.98327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.12177,0,0.0569,0,0,0,8.60642,1.7059,2.13436,0,0
GF26_Bdam_d133_stool,0,0,0,0,0,24.9951,0,5.08578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.70097,0,0,0,0,0,9.71755,1.22552,2.27508,0,0
GF26_Bdam_d85_stool,0,0,0,0,0,9.39585,0,3.76597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.92864,0,0,0,0,0,12.06573,2.31816,1.52564,0,0
GF26_Bdam_d91_stool,0,0,0,0,0,16.39283,0,4.86243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.23283,0,0,0,0,0,10.63763,2.04324,2.83105,0,0
GF26_Cdam_d98_stool,14.97965,0,0,5.40198,0,2.94427,0,2.16953,2.89643,0,0.26094,0,0,0,0,0,25.70991,0.84793,9.83427,5.03825,0,0,11.99781,16.72097,0.90958,0.22359,0.02174,0,0.04314,0,0,0,0,0,0
GF27_A1_d33_cwash,0.11902,0,0,0,0,0,0,0,0,0,4.23615,0,0,0,0,0,1.30782,0.21588,3.15951,0,0.09225,0,0,83.93119,4.88426,0,2.05392,0,0,0,0,0,0,0,0
GF27_A2_d33_cwash,0,0,0,0,0,0,0,0,0,0,2.91825,0,0,0,0,0,0.69356,0.09547,5.34267,7.5553,0,0,0,72.95344,1.97741,0,8.46391,0,0,0,0,0,0,0,0
GF27_A3_d33_cwash,0,0,0,0,0,0,0,0,0,0,5.9483,0,0,0,0,0,2.34732,0.98583,2.69095,0,0.47271,0,0,82.75478,2.06709,0,2.73302,0,0,0,0,0,0,0,0
GF27_A6_d33_cwash,0,0,0,0,0,0,0,0,0,0,2.35805,0,0,0,0,0,3.36353,0.21406,1.93248,0.3168,0,0,0,82.83296,5.06279,0,3.91934,0,0,0,0,0,0,0,0
GF27_A7_d33_cwash,0,0,0,0,0,0,0,0,0,0,3.25677,0,0,0,0,0,0.74253,0.03793,3.08694,0,0.25633,0,11.1401,68.12133,9.56867,0,3.7894,0,0,0,0,0,0,0,0
GF27_A8_d33_cwash,0,0,0,0,0,0.54539,0,0,0,0,2.57509,0,0,0,0,0,2.89258,0.14527,1.05191,4.48541,0.05479,0,0,76.61184,3.74474,0,7.89298,0,0,0,0,0,0,0,0
GF27_GF27_Inoc,29.34148,0,0.03931,0,0,0,0,0,0.77853,0,0,0,3.021,0,0,0,0.21587,0.95278,0.39551,0.06071,0,0,0.12613,37.72369,0.91852,0,0,0,0,0.12803,0,0,0,25.82652,0.47192
Gn3_6B_dam_210806,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn3_6B_dam_210818,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gn4_G_Innoc,0,0,0,0,0,6.5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4535,0
