Sample	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Coriobacteriia	c__Epsilonproteobacteria	c__Erysipelotrichia	c__Fusobacteriia	c__Gammaproteobacteria	c__Negativicutes	c__Proteobacteria_unclassified	c__Tissierellia	c__Verrucomicrobiae
C5-d34	0	0	71.29989	0	0	10.99422	0	0	0.24155	0	17.46433	0	0	0	0
C5-d44	0	0	1.6703	0	0	71.48558	0	0	19.02976	0	7.81436	0	0	0	0
C5-d45	0	0	1.57584	0	0	76.69648	0	0	16.02173	0	5.70595	0	0	0	0
C5-d53	0	0	1.21093	0	0	71.1498	0	0	15.24924	0	6.60598	5.78406	0	0	0
C6-d33	0	0	86.44359	0	0	0.10102	0	0	0	0	13.45539	0	0	0	0
C6-d37	0	0	34.09464	0	0	4.7698	0	0	0.98104	0	60.15451	0	0	0	0
C6-d44	0	0	2.72121	0	0	53.23836	0	0	22.64526	0	21.39518	0	0	0	0
C6-d49	0	0	1.30648	0	0	75.09269	0	0	15.67005	0	3.84863	4.08214	0	0	0
C6-d53	0	0	1.14587	0	0	75.19974	0	0	12.22493	0	5.92764	5.34375	0	0.15807	0
C7-d33	0	0	58.84773	0	0	1.37995	0	0	0	0	39.77232	0	0	0	0
C7-d38	0	0	16.63315	0	0	11.42444	0	0	9.16195	0	62.78046	0	0	0	0
C7-d44	0	0	1.52403	0	0	62.99491	0	0	20.0141	0	15.46695	0	0	0	0
C7-d45	0	0	1.58762	0	0	73.35022	0	0	15.03512	0	10.02705	0	0	0	0
C7-d53	0.07964	0	1.79079	0	0	61.6641	0	0	19.81234	0	10.62078	6.03236	0	0	0
C8-d35	0	0	5.67263	0	0	1.27668	0	0	0	0	93.05069	0	0	0	0
C8-d38	0	0	21.67674	0	0	38.32331	0	0	20.88168	0	19.11827	0	0	0	0
C8-d44	0	0	4.1065	0	0	58.50809	0	0	25.0592	0	12.32621	0	0	0	0
C8-d45	0	0	2.49721	0	0	69.05419	0	0	22.60384	0	5.84475	0	0	0	0
C8-d53	0	0	1.12861	0	0	71.73469	0	0	15.57288	0	5.85754	5.70629	0	0	0
CONV_MERO1_COLON	0	0	51.80815	32.01625	0	16.1756	0	0	0	0	0	0	0	0	0
CONV_MERO1_D0	0	0	44.97985	5.81218	0	5.59076	0	0	0	0	0	0	0	0	43.61721
CONV_MERO1_D1	0	0	89.60055	0.26921	0	0.33459	0	0	0	0	0	0	0	0	9.79566
