Sample,Clostridiales,Enterobacterales,Erysipelotrichales,Lactobacillales,Veillonellales,Tissierellales,Campylobacterales,Actinomycetales,Bacillales,Bacteroidales,Verrucomicrobiales,Burkholderiales,Proteobacteria_unclassified,Sphingomonadales,Bifidobacteriales,Corynebacteriales,Micrococcales,Eggerthellales,Propionibacteriales,Fusobacteriales,Pseudomonadales,Sphingobacteriales
GF10_C6_d55,62.74187,5.80822,0,1.17972,0,0,0,0,0,0,0,0,0,0,30.27019,0,0,0,0,0,0,0
GF10_C7_COLON_D55,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_C8_COLON_D55,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_C8_d101,0.77434,97.86169,0,1.36398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_C8_d103,24.72295,22.64917,22.60431,30.02357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_C8_d55,58.85031,10.28977,7.26789,2.73095,1.74869,0.7529,0.08552,0.35672,0,0,0,0,0,0,17.91725,0,0,0,0,0,0,0
GF10_C9_COLON_D55,0,92.80029,0,7.19971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_Cdam_d0,54.52009,1.13896,0,0.71078,7.12766,0,0,0,0,0,0,0,0,0,36.5025,0,0,0,0,0,0,0
GF10_Cdam_d1,51.5471,19.53674,24.87042,4.04574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_Cdam_d20,69.83318,7.89841,14.23004,4.20382,0,0,0,3.83456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_INOC,14.96434,64.26206,4.22671,8.12138,8.42551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_A_DAM_D0,1.25527,42.37855,1.41866,20.90831,0,21.04298,0,9.26366,0,0,0,0,0,0,3.73258,0,0,0,0,0,0,0
GF11_A1_COLON_D38,0.17126,34.36322,0,31.35805,0.21529,15.65889,0,11.4148,0,0,0,0,0,0,6.81848,0,0,0,0,0,0,0
GF11_A1_D35,0,81.86477,0,12.27589,0,1.24905,0,0.73699,0,0,0,0,0,0,3.8733,0,0,0,0,0,0,0
GF11_A1_D37,2.52819,72.08355,0,23.62206,0,0.04235,0,0.00754,0,0,0,0,0,0,1.71629,0,0,0,0,0,0,0
GF11_A2_COLON_D38,0,49.544,0,27.48098,0,13.12471,0,5.22326,0,0,0,0,0,0,4.62706,0,0,0,0,0,0,0
GF11_A2_D35,0.03536,72.46512,0,25.64749,0,0.05126,0,0,0,0,0,0,0,0,1.80078,0,0,0,0,0,0,0
GF11_A2_D36,0,75.87948,0,24.12052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_A3_D36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_A4_COLON_D38,0.23427,49.99287,0,23.42302,0,13.75181,0,8.72893,0,0,0,0,0,0,3.8691,0,0,0,0,0,0,0
GF11_A4_D37,0.28289,94.92198,0,4.02981,0,0,0,0,0,0,0,0,0,0,0.76533,0,0,0,0,0,0,0
GF11_A5_D35,0,81.1804,0,3.30513,0,0,0,0,0,0,0,0,0,0,15.51447,0,0,0,0,0,0,0
GF11_B_dam_d111,34.20913,1.88577,0,2.63994,0.39513,2.15331,0,5.64371,0,0,0,0,0,0,53.07301,0,0,0,0,0,0,0
GF11_B_dam_d20,22.36994,2.26508,0,3.17522,0.34625,3.43502,0,6.92397,0,0,0,0,0,0,61.48453,0,0,0,0,0,0,0
GF11_B_dam_d7,14.25798,5.46181,0,1.2033,0.5896,1.22914,0,5.33435,0,0,0,0,0,0,71.92382,0,0,0,0,0,0,0
GF11_B1_COLON_D38,0,52.51032,0,28.32483,0,9.60069,0,6.28498,0,0,0,0,0,0,3.27918,0,0,0,0,0,0,0
GF11_B1_d105_colon,16.70478,27.69693,53.12622,2.47207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B1_D36,0.62378,45.29342,0,29.64617,0,14.33068,0,6.68558,0,0,0,0,0,0,3.42038,0,0,0,0,0,0,0
GF11_B1_d71,0.01545,98.23761,0,0,0,0,0,0,0,0,0,0,0,0,1.74694,0,0,0,0,0,0,0
GF11_B2_COLON_D38,0,84.46688,0,11.59457,0,2.03955,0,1.33587,0,0,0,0,0,0,0.56313,0,0,0,0,0,0,0
GF11_B2_d105_colon,47.29495,6.77331,0,3.43635,0,0,0,2.17978,0,0,0,0,0,0,40.31561,0,0,0,0,0,0,0
GF11_B2_D36,0,50.02991,0,23.18796,0,13.2581,0,9.15645,0,0,0,0,0,0,4.36759,0,0,0,0,0,0,0
GF11_B2_d71,0.21354,88.35331,0,9.41894,0,0,0,0,0,0,0,0,0,0,2.01421,0,0,0,0,0,0,0
GF11_B2_d73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B3_COLON_D38,0,92.3649,0,7.6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B3_d105_colon,34.98183,6.56476,0,1.22637,0,0,0,0,0,0,0,0,0,0,57.22703,0,0,0,0,0,0,0
GF11_B3_D35,0,95.32235,0,4.01707,0,0,0,0,0,0,0,0,0,0,0.66057,0,0,0,0,0,0,0
GF11_B3_D37,0,99.47595,0,0.52405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B3_d71,0,98.13924,0,1.86076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B4_COLON_D38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B4_d105_colon,20.36537,4.07333,0,1.92354,0,0,0,0,0,0,0,0,0,0,73.63776,0,0,0,0,0,0,0
GF11_B4_D35,0,83.36123,0,13.79192,0,0,0,0,0,0,0,0,0,0,2.84686,0,0,0,0,0,0,0
GF11_B4_D37,0,97.16661,0,2.83339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B4_d72,0,99.81081,0,0,0,0,0,0,0,0,0,0,0,0,0.18919,0,0,0,0,0,0,0
GF11_B4_d73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B4_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B5_COLON_D38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B5_d105_colon,65.35374,5.17004,0,2.52186,0,0,0,2.88031,0,0,0,0,0,0,24.07404,0,0,0,0,0,0,0
GF11_B5_D35,0,98.80579,0,1.19421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B5_D37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B5_d71,0.02208,76.95051,0,22.21839,0,0,0,0,0,0,0,0,0,0,0.80902,0,0,0,0,0,0,0
GF11_B5_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B6_d105_colon,38.29623,3.40061,0,1.74762,0,0,0,0.55401,0,0,0,0,0,0,56.00153,0,0,0,0,0,0,0
GF11_B6_d71,0,99.21371,0,0.35668,0,0,0,0,0,0,0,0,0,0,0.4296,0,0,0,0,0,0,0
GF11_B7_d105_colon,9.68508,16.1258,0,5.63129,0,0,0,1.92648,0,0,0,0,0,0,66.63134,0,0,0,0,0,0,0
GF11_B7_d71,0,92.28739,0,5.95436,0,0,0,0,0,0,0,0,0,0,1.75825,0,0,0,0,0,0,0
GF11_B7_d73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B7_d74_colon,37.22395,25.05766,24.99584,12.47745,0.2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_B8_d105_colon,32.38108,4.52683,0,1.34003,0,0,0,0.80243,0,0,0,0,0,0,60.94963,0,0,0,0,0,0,0
GF11_C1_COLON_D38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C1_D36,0,75.44759,0,14.37393,0,5.64989,0,3.55819,0,0,0,0,0,0,0.97039,0,0,0,0,0,0,0
GF11_C1_d71,0,92.49122,0,6.26949,0,0,0,0,0,0,0,0,0,0,1.23929,0,0,0,0,0,0,0
GF11_C1_d74_colon,7.93397,29.21727,21.69726,41.15151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C2_D37,0,94.47195,0,5.52805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C2_d71,0,96.70592,0,2.49355,0,0,0,0,0,0,0,0,0,0,0.80053,0,0,0,0,0,0,0
GF11_C2_d72,0,96.52259,0,3.21062,0,0,0,0,0,0,0,0,0,0,0.26679,0,0,0,0,0,0,0
GF11_C2_d74_colon,1.26017,9.27528,5.74365,83.7209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C3_COLON_D38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C3_D35,0,98.16839,0,1.35672,0,0,0,0,0,0,0,0,0,0,0.47489,0,0,0,0,0,0,0
GF11_C3_D36,0,77.48079,0,11.45507,0,5.97877,0,2.7557,0,0,0,0,0,0,2.32967,0,0,0,0,0,0,0
GF11_C3_d71,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C3_d74_colon,45.69769,33.14277,0,21.15954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C4_COLON_D38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C4_D35,0,84.2828,0,12.65621,0,0,0,0,0,0,0,0,0,0,3.06099,0,0,0,0,0,0,0
GF11_C4_D36,0,87.32986,0,8.96435,0,1.18642,0,0.28275,0,0,0,0,0,0,2.23663,0,0,0,0,0,0,0
GF11_C4_d74_colon,50.33621,49.66379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C5_D37,0,92.46429,0,7.53571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C5_d71,0,79.56955,0,20.43045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C5_d72,0,77.38586,0,21.75682,0,0,0,0,0,0,0,0,0,0,0.85732,0,0,0,0,0,0,0
GF11_C5_d74_colon,16.58783,39.71988,37.94387,3.71313,1.85633,0.17896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C6_d71,2.43377,91.50065,0,2.09429,0,0,0,0,0,0,0,0,0,0,3.97129,0,0,0,0,0,0,0
GF11_C6_d72,0.59243,95.28705,0,2.26374,0,0,0,0,0,0,0,0,0,0,1.85678,0,0,0,0,0,0,0
GF11_C6_d74_colon,73.15042,20.31609,0,6.53349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF11_C7_d71,0,96.4883,0,1.52821,0,0,0,0,0,0,0,0,0,0,1.9835,0,0,0,0,0,0,0
GF11_C7_d72_colon,0,97.55676,0,0,0,0,0,0,0,0,0,0,0,0,2.44324,0,0,0,0,0,0,0
GF11_INOC,2.21814,27.72136,0,28.97205,0,26.61076,0,10.13899,0,0,0,0,0,0,4.33869,0,0,0,0,0,0,0
GF12_A_dam_d21,0,0,0,71.86348,0,0,0,0,19.1027,0,0,0,0,0,0,9.03382,0,0,0,0,0,0
GF12_A_Dam_d85,75.73554,0,23.15062,1.11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A1_d31,0,0,0,1.20815,0,0,0,0,98.79185,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A1_d76_colon,76.74234,0,23.21206,0.0456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A2_d32,0,0,0,59.44316,0,0,0,0,40.55684,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A2_d34_colon,0.8049,92.50334,0,5.49987,1.19189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A2_d76_colon,78.22508,0,21.24882,0.52611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A3_d31,2.40912,0,0.74951,90.69378,0,0,0,0,6.14758,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A3_d76_colon,56.10351,0,43.02776,0.86874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A4_d31,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A4_d32,0,0,0,93.84476,0,0,0,0,6.15524,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A4_d34_colon,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A4_d76_colon,38.92728,0,61.07272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A5_d34_colon,87.57546,0,12.42454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A5_d76_colon,87.24954,0,12.75046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A6_d76_colon,82.20646,0,17.16753,0.62601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A7_d76_colon,80.45466,0,19.01448,0.53086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_A8_d76_colon,79.59319,0,20.40681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B1_d79,1.23828,0,0,86.45192,0,0,0,0,12.30979,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B2_d32,0,0,0,99.94988,0,0,0,0,0.05012,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B2_d79,5.3466,0,0.03945,0.35482,0,0,0,0,94.25914,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B2_d81,0,0,4.17418,0,0,0,0,0,95.82582,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B2_d82_colon,57.31438,0,0,28.43125,0,0,0,0,14.25437,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B3_d31,0,0,0,0.97743,0,0,0,0,99.02257,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B3_d80,2.18231,0,0,92.92868,0,0,0,0,4.88901,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B4_d31,0,0,0,97.76713,0,0,0,0,2.23287,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B4_d79,2.75292,0,0,35.98468,0,0,0,0,61.2624,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_B5_d79,3.0277,0,0,84.08879,0,0,0,0,12.88351,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C1_d79,0.77006,0,0,99.22994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C1_d82_colon,55.22981,0,37.97854,6.79165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C2_d31,0,0,0,13.87093,0,0,0,0,86.12907,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C2_d79,1.26378,0,0,98.73622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C3_d31,0,0,0,98.93088,0,0,0,0,1.06912,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C3_d79,0,0,0,75.96874,0,0,0,0,24.03126,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C3_d80_colon,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C4_d31,0,0,0,73.62729,0,0,0,0,26.37271,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_C5_d79,0.9328,0,0,0.06961,0,0,0,0,98.99758,0,0,0,0,0,0,0,0,0,0,0,0,0
GF12_Inoc,0,0,0,59.98855,0,0,0,0,40.01145,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A1_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A1_d34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A1_d65_colon,30.01398,36.36306,33.62296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A10_d65_colon,39.18474,27.90222,32.91305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A2_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A2_d65_colon,28.23194,36.26585,35.50221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A3_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A3_d65_colon,47.36334,21.61079,31.02587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A4_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A4_d65_colon,29.08427,25.20506,45.71067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A5_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A5_d65_colon,49.36361,23.69892,26.93747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A6_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A6_d34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A6_d65_colon,39.87668,31.90866,28.21466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A7_d65_colon,45.14103,25.25803,29.60094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A8_d65_colon,36.74051,26.15014,37.10935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_A9_d65_colon,43.70125,22.04369,34.25505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B1_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B1_d65_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B2_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B2_d35_colon,44.17088,43.89604,11.93308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B3_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B3_d34,5.27489,94.72511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B3_d35_colon,63.95822,18.29547,17.74631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B3_d65_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B4_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B4_d35_colon,40.01181,41.61567,18.37252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B5_d32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B5_d35_colon,32.49507,65.2892,2.21573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B5_d65_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B8_d65_colon,3.79619,96.20381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_B9_d65_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF13_inoc_200118,0,28.08557,0,0,0,0,0,0,66.7195,0,0,0,0,0,0,0,5.19493,0,0,0,0,0
GF14_A_d66_stool,59.15956,7.91636,17.46406,7.49888,0,0.50445,0,7.4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A_Dam_d21,65.81548,8.63122,22.30588,3.24742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A1_d32,3.32998,93.18453,0.76575,2.71973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A1_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A1_d94_stool,1.68715,95.31421,0,2.99274,0,0.00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A1_d95_stool,5.63364,90.83359,0.4889,2.80689,0,0.23698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a1_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A2_d32,2.29768,94.46657,0,3.23575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A2_d33,3.19899,93.91418,0,2.88683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A2_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A2_d94_stool,0,99.91506,0,0.08494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A2_d96_16_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a2_d97_colon,0,99.89767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10233,0,0,0,0,0,0
GF14_A3_d32,5.38992,90.86312,0.28614,3.46083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A3_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a3_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d32,0.44768,98.89417,0,0.65815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d34,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d94_stool,0.17085,99.27111,0,0.55803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A4_d95_stool,0.91725,97.19489,0,1.88787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a4_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A5_d32,0.91964,97.01045,0,2.06992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A5_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A5_d94_stool,0.05525,99.47523,0,0.46952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A5_d96_16_stool,3.81846,93.47314,0,2.7084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A5_d96_stool,1.16136,95.12579,0,3.71285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a5_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A6_d34_colon,0.29983,97.5659,2.13427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A6_d94_stool,0.31496,99.48072,0,0.20431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A6_d95_stool,3.08725,91.58897,0,5.30356,0,0.02022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A6_d96_16_stool,6.07806,86.65079,0,7.27114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a6_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A7_d32,0.80171,97.37702,0,1.82126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A7_d34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A7_d35_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A7_d94_stool,0.23331,98.2903,0,1.47639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A7_d95_stool,0.43687,95.99543,0,3.49862,0,0.06908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a7_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A8_d94_stool,0.8657,97.91688,0,1.21742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A8_d96_16_stool,6.10381,88.138,0,5.75819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_A8_d96_stool,1.84434,92.983,0,4.85701,0,0.31565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_a8_d97_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d18_stool,47.3835,18.04677,26.91145,6.77855,0,0.87973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d5_stool,63.85,13.98707,16.39493,5.1,0,0.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d51_stool,53.68442,12.65497,27.62716,6.03345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d59_stool,63.12104,12.19352,18.08584,6.21892,0,0.38067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d78_stool,46.97657,11.44346,35.02377,6.5562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Adam_d9_stool,50.98979,27.52934,17.95051,3.52683,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_B_d66_stool,48.22223,10.79638,35.24264,5.73874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_B_d78_stool,47.64134,8.44021,39.48616,4.43228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_b1_d95_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_b2_d95_colon,23.8633,32.49755,37.69838,5.94076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_b3_d95_colon,43.13747,48.2305,8.63203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Bdam_d18_stool,51.4952,15.28068,23.43233,9.03343,0,0.75837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Bdam_d5_stool,32.78175,29.91546,30.35385,6.94894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF14_Bdam_d51_stool,45.94174,18.14939,28.53039,7.37848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
