Sample	Order	Abundance
GF21_B3_d91_stool	o__Bacillales	84.3997
GF21_B3_d91_stool	o__Lactobacillales	15.41695
GF21_B3_d91_stool	o__Burkholderiales	0.18335
GF21_B4_d91_stool	o__Lactobacillales	95.89362
GF21_B4_d91_stool	o__Burkholderiales	4.10638
GF21_B6_d93_stool	o__Bacillales	96.05721
GF21_B6_d93_stool	o__Lactobacillales	3.94279
GF21_B7_d94_stool	o__Lactobacillales	100.0
GF21_B9_d93_stool	o__Bacillales	94.47885
GF21_B9_d93_stool	o__Lactobacillales	5.52115
GF21_C1_d116_stool	o__Bacillales	100.0
GF21_C1_d91_stool	o__Lactobacillales	98.2256
GF21_C1_d91_stool	o__Bacillales	1.5876
GF21_C1_d91_stool	o__Burkholderiales	0.1868
GF21_C2_d115_stool	o__Burkholderiales	100.0
GF21_C2_d118_cwash	o__Burkholderiales	97.54296
GF21_C2_d118_cwash	o__Clostridiales	2.45704
GF21_C2_d91_stool	o__Bacillales	82.95751
GF21_C2_d91_stool	o__Lactobacillales	17.02576
GF21_C2_d91_stool	o__Burkholderiales	0.01674
GF21_C3_d116_stool	o__Lactobacillales	100.0
GF21_C3_d117_stool	o__Bacillales	77.76605
GF21_C3_d117_stool	o__Burkholderiales	22.23395
GF21_C3_d118_cwash	o__Burkholderiales	100.0
GF21_C3_d91_stool	o__Bacillales	97.6639
GF21_C3_d91_stool	o__Lactobacillales	2.3361
GF21_C4_d118_cwash	o__Bacillales	100.0
GF21_C5_d117_stool	o__Bacillales	74.54455
GF21_C5_d117_stool	o__Lactobacillales	25.45545
GF21_C5_d93_stool	o__Lactobacillales	98.57744
GF21_C5_d93_stool	o__Burkholderiales	1.42256
GF21_C7_d115_stool	o__Bacillales	97.37554
GF21_C7_d115_stool	o__Lactobacillales	2.62446
GF21_C7_d118_cwash	o__Burkholderiales	100.0
GF21_C8_d115_stool	o__Bacillales	99.86106
GF21_C8_d115_stool	o__Lactobacillales	0.13894
GF21_C9_d94_stool	o__Bacillales	100.0
GF21_Cdam_d113_stool	o__Lactobacillales	81.27365
GF21_Cdam_d113_stool	o__Bacillales	10.43267
GF21_Cdam_d113_stool	o__Corynebacteriales	8.20252
GF21_Cdam_d113_stool	o__Burkholderiales	0.09116
GF21_d0_Adam_Stool	o__Burkholderiales	100.0
GF21_d0_INOC_INOC	o__Lactobacillales	63.10216
GF21_d0_INOC_INOC	o__Bacillales	36.63463
GF21_d0_INOC_INOC	o__Burkholderiales	0.26321
GF21_d115_C1_Stool	o__Bacillales	99.23138
GF21_d115_C1_Stool	o__Lactobacillales	0.73115
GF21_d115_C1_Stool	o__Burkholderiales	0.03747
GF21_d115_C3_Stool	o__Bacillales	98.72354
GF21_d115_C3_Stool	o__Lactobacillales	1.27646
GF21_d115_C5_Stool	o__Bacillales	87.75177
GF21_d115_C5_Stool	o__Lactobacillales	6.15095
GF21_d115_C5_Stool	o__Burkholderiales	6.09729
GF21_d1_Bdam_Stool	o__Lactobacillales	96.86142
GF21_d1_Bdam_Stool	o__Bacillales	2.52475
GF21_d1_Bdam_Stool	o__Burkholderiales	0.61383
GF21_d35_A1_cwash	o__Burkholderiales	98.27433
GF21_d35_A1_cwash	o__Bacillales	1.72567
GF21_d35_A2_cwash	o__Burkholderiales	100.0
GF21_d35_A3_cwash	o__Burkholderiales	100.0
GF21_d35_A4_cwash	o__Burkholderiales	100.0
GF21_d35_A5_cwash	o__Burkholderiales	100.0
GF21_d35_A6_cwash	o__Burkholderiales	100.0
GF21_d35_A7_cwash	o__Burkholderiales	84.83688
GF21_d35_A7_cwash	o__Lactobacillales	15.16312
GF21_d35_B1_cwash	o__Burkholderiales	52.74155
GF21_d35_B1_cwash	o__Lactobacillales	47.25845
GF21_d35_B2_cwash	o__Burkholderiales	100.0
GF21_d35_B3_cwash	o__Burkholderiales	66.9711
GF21_d35_B3_cwash	o__Lactobacillales	33.0289
GF21_d35_B4_cwash	o__Burkholderiales	88.56925
GF21_d35_B4_cwash	o__Lactobacillales	11.43075
GF21_d35_B5_cwash	o__Burkholderiales	97.65725
GF21_d35_B5_cwash	o__Bacillales	2.34275
GF21_d35_B6_cwash	o__Burkholderiales	99.00413
GF21_d35_B6_cwash	o__Bacillales	0.99587
GF21_d35_B7_cwash	o__Burkholderiales	69.20169
GF21_d35_B7_cwash	o__Lactobacillales	30.79831
GF21_d35_B8_cwash	o__Burkholderiales	89.72685
GF21_d35_B8_cwash	o__Bacillales	7.11483
GF21_d35_B8_cwash	o__Lactobacillales	3.15832
GF21_d36_Bdam_Stool	o__Lactobacillales	76.81229
GF21_d36_Bdam_Stool	o__Bacillales	18.8015
GF21_d36_Bdam_Stool	o__Corynebacteriales	4.3263
GF21_d36_Bdam_Stool	o__Burkholderiales	0.05992
GF21_d58_A10_cwash	o__Burkholderiales	100.0
GF21_d58_A1_cwash	o__Burkholderiales	96.14495
GF21_d58_A1_cwash	o__Lactobacillales	3.85505
GF21_d58_A2_cwash	o__Burkholderiales	100.0
GF21_d58_A3_cwash	o__Burkholderiales	99.53283
GF21_d58_A3_cwash	o__Bacillales	0.46717
GF21_d58_A4_cwash	o__Burkholderiales	93.26009
GF21_d58_A4_cwash	o__Lactobacillales	6.73991
GF21_d58_A5_cwash	o__Burkholderiales	100.0
GF21_d58_A6_cwash	o__Burkholderiales	100.0
GF21_d58_A7_cwash	o__Burkholderiales	100.0
GF21_d58_A8_cwash	o__Lactobacillales	63.84757
GF21_d58_A8_cwash	o__Burkholderiales	36.15243
GF21_d58_A9_cwash	o__Burkholderiales	98.11273
GF21_d58_A9_cwash	o__Bacillales	1.88727
GF21_d58_B1_cwash	o__Lactobacillales	50.23557
GF21_d58_B1_cwash	o__Burkholderiales	49.76443
GF21_d58_B2_cwash	o__Burkholderiales	95.24443
GF21_d58_B2_cwash	o__Bacillales	4.75557
GF21_d58_B3_cwash	o__Burkholderiales	100.0
GF21_d58_B4_cwash	o__Burkholderiales	66.18172
GF21_d58_B4_cwash	o__Lactobacillales	33.81828
GF21_d58_B5_cwash	o__Bacillales	67.81318
GF21_d58_B5_cwash	o__Burkholderiales	32.18682
GF21_d58_B6_cwash	o__Burkholderiales	100.0
GF21_d58_B7_cwash	o__Lactobacillales	84.50306
GF21_d58_B7_cwash	o__Burkholderiales	15.49694
GF21_d58_B8_cwash	o__Lactobacillales	49.75951
GF21_d58_B8_cwash	o__Burkholderiales	49.12506
GF21_d58_B8_cwash	o__Bacillales	1.11543
GF21_d58_B9_cwash	o__Lactobacillales	64.73226
GF21_d58_B9_cwash	o__Burkholderiales	35.26774
GF21_d62_Bdam_Stool	o__Lactobacillales	59.14708
GF21_d62_Bdam_Stool	o__Bacillales	35.95822
GF21_d62_Bdam_Stool	o__Corynebacteriales	4.87622
GF21_d62_Bdam_Stool	o__Burkholderiales	0.01849
GF21_d66_C1_cwash	o__Burkholderiales	83.50278
GF21_d66_C1_cwash	o__Lactobacillales	16.49722
GF21_d66_C2_cwash	o__Burkholderiales	100.0
GF21_d66_C3_cwash	o__Burkholderiales	91.24318
GF21_d66_C3_cwash	o__Lactobacillales	8.75682
GF21_d66_C4_cwash	o__Burkholderiales	96.80316
GF21_d66_C4_cwash	o__Lactobacillales	3.19684
GF21_d66_C5_cwash	o__Burkholderiales	100.0
GF21_d66_C6_cwash	o__Burkholderiales	95.64999
GF21_d66_C6_cwash	o__Lactobacillales	4.35001
GF21_d66_C7_cwash	o__Burkholderiales	96.17826
GF21_d66_C7_cwash	o__Lactobacillales	3.82174
GF21_d82_A10_Stool	o__Bacillales	50.839
GF21_d82_A10_Stool	o__Lactobacillales	45.64736
GF21_d82_A10_Stool	o__Burkholderiales	3.51365
