TaxonomicLevel	Sample	taxa	abundance
phyla	C5-d53	p__Firmicutes	93.39402
phyla	C5-d53	p__Proteobacteria	6.60598
phyla	C6-d33	p__Firmicutes	86.54461
phyla	C6-d33	p__Proteobacteria	13.45539
phyla	C6-d37	p__Proteobacteria	60.15451
phyla	C6-d37	p__Firmicutes	39.84549
phyla	C6-d44	p__Firmicutes	78.60482
phyla	C6-d44	p__Proteobacteria	21.39518
phyla	C6-d49	p__Firmicutes	96.15137
phyla	C6-d49	p__Proteobacteria	3.84863
phyla	C6-d53	p__Firmicutes	94.07236
phyla	C6-d53	p__Proteobacteria	5.92764
phyla	C7-d33	p__Firmicutes	60.22768
phyla	C7-d33	p__Proteobacteria	39.77232
phyla	C7-d38	p__Proteobacteria	62.78046
phyla	C7-d38	p__Firmicutes	37.21954
phyla	C7-d44	p__Firmicutes	84.53305
phyla	C7-d44	p__Proteobacteria	15.46695
phyla	C7-d45	p__Firmicutes	89.97295
phyla	C7-d45	p__Proteobacteria	10.02705
phyla	C7-d53	p__Firmicutes	89.29959
phyla	C7-d53	p__Proteobacteria	10.62078
phyla	C7-d53	p__Actinobacteria	0.07964
phyla	C8-d35	p__Proteobacteria	93.05069
phyla	C8-d35	p__Firmicutes	6.94931
phyla	C8-d38	p__Firmicutes	80.88173
phyla	C8-d38	p__Proteobacteria	19.11827
phyla	C8-d44	p__Firmicutes	87.67379
phyla	C8-d44	p__Proteobacteria	12.32621
phyla	C8-d45	p__Firmicutes	94.15525
phyla	C8-d45	p__Proteobacteria	5.84475
phyla	C8-d53	p__Firmicutes	94.14246
phyla	C8-d53	p__Proteobacteria	5.85754
phyla	CONV_MERO1_COLON	p__Firmicutes	67.98375
phyla	CONV_MERO1_COLON	p__Bacteroidetes	32.01625
phyla	CONV_MERO1_D0	p__Firmicutes	50.57061
phyla	CONV_MERO1_D0	p__Verrucomicrobia	43.61721
phyla	CONV_MERO1_D0	p__Bacteroidetes	5.81218
phyla	CONV_MERO1_D1	p__Firmicutes	89.93513
phyla	CONV_MERO1_D1	p__Verrucomicrobia	9.79566
phyla	CONV_MERO1_D1	p__Bacteroidetes	0.26921
phyla	CONV_MERO1_D3	p__Firmicutes	100
phyla	CONV_MERO2_COLON	p__Firmicutes	85.42865
phyla	CONV_MERO2_COLON	p__Bacteroidetes	14.57135
phyla	CONV_MERO2_D0	p__Verrucomicrobia	48.21463
phyla	CONV_MERO2_D0	p__Firmicutes	40.93682
phyla	CONV_MERO2_D0	p__Bacteroidetes	10.64572
phyla	CONV_MERO2_D0	p__Proteobacteria	0.20283
phyla	CONV_MERO2_D3	p__Firmicutes	100
phyla	CONV_MERO3_COLON	p__Bacteroidetes	94.05712
phyla	CONV_MERO3_COLON	p__Firmicutes	5.94288
phyla	CONV_MERO3_D1	p__Firmicutes	73.58482
phyla	CONV_MERO3_D1	p__Bacteroidetes	26.41518
phyla	CONV_MERO3_D3	p__Bacteroidetes	90.40058
phyla	CONV_MERO3_D3	p__Firmicutes	9.59942
phyla	CONV_MERO4_COLON	p__Firmicutes	75.83537
phyla	CONV_MERO4_COLON	p__Bacteroidetes	24.16463
phyla	CONV_MERO4_D0	p__Bacteroidetes	77.75885
phyla	CONV_MERO4_D0	p__Firmicutes	13.21011
phyla	CONV_MERO4_D0	p__Verrucomicrobia	7.97338
phyla	CONV_MERO4_D0	p__Proteobacteria	1.05766
phyla	CONV_MERO4_D1	p__Firmicutes	100
phyla	CONV_MERO4_D3	p__Firmicutes	100
phyla	CONV_PBS1_COLON	p__Firmicutes	56.15009
phyla	CONV_PBS1_COLON	p__Bacteroidetes	33.8989
phyla	CONV_PBS1_COLON	p__Verrucomicrobia	7.51078
phyla	CONV_PBS1_COLON	p__Proteobacteria	2.44024
phyla	CONV_PBS1_D0	p__Verrucomicrobia	74.77864
phyla	CONV_PBS1_D0	p__Firmicutes	23.87555
phyla	CONV_PBS1_D0	p__Bacteroidetes	1.34581
phyla	CONV_PBS1_D3	p__Bacteroidetes	70.6241
phyla	CONV_PBS1_D3	p__Verrucomicrobia	13.09525
phyla	CONV_PBS1_D3	p__Firmicutes	13.06424
phyla	CONV_PBS1_D3	p__Proteobacteria	3.21642
phyla	CONV_PBS2_COLON	p__Bacteroidetes	60.23488
phyla	CONV_PBS2_COLON	p__Firmicutes	31.18069
phyla	CONV_PBS2_COLON	p__Verrucomicrobia	6.6942
phyla	CONV_PBS2_COLON	p__Proteobacteria	1.89022
phyla	CONV_PBS2_D1	p__Bacteroidetes	51.79965
phyla	CONV_PBS2_D1	p__Verrucomicrobia	21.99303
phyla	CONV_PBS2_D1	p__Firmicutes	21.46851
phyla	CONV_PBS2_D1	p__Proteobacteria	4.73881
phyla	CONV_PBS2_D3	p__Bacteroidetes	74.31692
phyla	CONV_PBS2_D3	p__Verrucomicrobia	12.72496
phyla	CONV_PBS2_D3	p__Firmicutes	10.80575
phyla	CONV_PBS2_D3	p__Proteobacteria	2.15237
phyla	CONV_PBS3_COLON	p__Bacteroidetes	47.30147
phyla	CONV_PBS3_COLON	p__Firmicutes	46.59387
phyla	CONV_PBS3_COLON	p__Verrucomicrobia	5.25609
phyla	CONV_PBS3_COLON	p__Proteobacteria	0.84857
phyla	CONV_PBS3_D1	p__Firmicutes	68.68289
phyla	CONV_PBS3_D1	p__Bacteroidetes	13.9034
phyla	CONV_PBS3_D1	p__Verrucomicrobia	11.0466
phyla	CONV_PBS3_D1	p__Proteobacteria	6.36711
phyla	CONV_PBS4_COLON	p__Bacteroidetes	54.79447
phyla	CONV_PBS4_COLON	p__Firmicutes	29.27232
phyla	CONV_PBS4_COLON	p__Verrucomicrobia	13.50345
phyla	CONV_PBS4_COLON	p__Proteobacteria	2.42976
phyla	CONV_PBS4_D0	p__Bacteroidetes	76.86505
phyla	CONV_PBS4_D0	p__Verrucomicrobia	14.99767
phyla	CONV_PBS4_D0	p__Firmicutes	6.75133
phyla	CONV_PBS4_D0	p__Proteobacteria	1.38596
phyla	CONV_PBS4_D1	p__Bacteroidetes	63.7768
