TaxonomicLevel	Sample	taxa	abundance
order	GF6_A3_COLON_D54	o__Enterobacterales	16.87236
order	GF6_A3_COLON_D88	o__Enterobacterales	93.91764
order	GF6_A3_COLON_D88	o__Clostridiales	5.58514
order	GF6_A3_COLON_D88	o__Veillonellales	0.49722
order	GF6_A3_D51	o__Enterobacterales	82.11532
order	GF6_A3_D51	o__Bifidobacteriales	11.91587
order	GF6_A3_D51	o__Lactobacillales	5.82206
order	GF6_A3_D51	o__Clostridiales	0.14675
order	GF6_A3_D52	o__Enterobacterales	74.44219
order	GF6_A3_D52	o__Lactobacillales	14.92847
order	GF6_A3_D52	o__Clostridiales	9.82215
order	GF6_A3_D52	o__Bifidobacteriales	0.80719
order	GF6_A3_D53	o__Enterobacterales	64.46915
order	GF6_A3_D53	o__Clostridiales	27.44678
order	GF6_A3_D53	o__Lactobacillales	3.46347
order	GF6_A3_D53	o__Tissierellales	2.40551
order	GF6_A3_D53	o__Bifidobacteriales	2.21508
order	GF6_A3_D87	o__Enterobacterales	100
order	GF6_A4_COLON_D105	o__Clostridiales	70.27924
order	GF6_A4_COLON_D105	o__Bifidobacteriales	22.21706
order	GF6_A4_COLON_D105	o__Veillonellales	5.65256
order	GF6_A4_COLON_D105	o__Enterobacterales	0.959
order	GF6_A4_COLON_D105	o__Erysipelotrichales	0.89214
order	GF6_A4_COLON_D54	o__Clostridiales	54.95815
order	GF6_A4_COLON_D54	o__Enterobacterales	44.39342
order	GF6_A4_COLON_D54	o__Tissierellales	0.64843
order	GF6_A4_D51	o__Enterobacterales	71.26042
order	GF6_A4_D51	o__Lactobacillales	28.73958
order	GF6_A4_D53	o__Enterobacterales	75.42938
order	GF6_A4_D53	o__Clostridiales	14.04911
order	GF6_A4_D53	o__Lactobacillales	7.85671
order	GF6_A4_D53	o__Bifidobacteriales	2.50157
order	GF6_A4_D53	o__Tissierellales	0.16322
order	GF6_A4_D93	o__Clostridiales	79.62738
order	GF6_A4_D93	o__Enterobacterales	17.16456
order	GF6_A4_D93	o__Bifidobacteriales	1.94222
order	GF6_A4_D93	o__Lactobacillales	1.26584
order	GF6_A5_COLON_D105	o__Clostridiales	57.84564
order	GF6_A5_COLON_D105	o__Bifidobacteriales	27.7575
order	GF6_A5_COLON_D105	o__Veillonellales	12.85455
order	GF6_A5_COLON_D105	o__Enterobacterales	1.5423
order	GF6_A5_D51	o__Enterobacterales	83.02469
order	GF6_A5_D51	o__Lactobacillales	16.97531
order	GF6_A5_D87	o__Enterobacterales	93.52004
order	GF6_A5_D87	o__Propionibacteriales	6.47996
order	GF6_A5_D90	o__Enterobacterales	47.57398
order	GF6_A5_D90	o__Bifidobacteriales	32.65667
order	GF6_A5_D90	o__Clostridiales	14.82383
order	GF6_A5_D90	o__Lactobacillales	4.94552
order	GF6_A5_D91	o__Enterobacterales	44.20969
order	GF6_A5_D91	o__Clostridiales	36.20611
order	GF6_A5_D91	o__Lactobacillales	11.98946
order	GF6_A5_D91	o__Bifidobacteriales	7.51813
order	GF6_A5_D91	o__Actinomycetales	0.07662
order	GF6_A6_COLON_D105	o__Clostridiales	77.05547
order	GF6_A6_COLON_D105	o__Bifidobacteriales	13.38067
order	GF6_A6_COLON_D105	o__Veillonellales	7.73277
order	GF6_A6_COLON_D105	o__Enterobacterales	1.74764
order	GF6_A6_COLON_D105	o__Lactobacillales	0.08344
order	GF6_A6_COLON_D54	o__Clostridiales	83.50187
order	GF6_A6_COLON_D54	o__Enterobacterales	15.96755
order	GF6_A6_COLON_D54	o__Bifidobacteriales	0.42237
order	GF6_A6_COLON_D54	o__Lactobacillales	0.1082
order	GF6_A6_D53	o__Enterobacterales	74.89439
order	GF6_A6_D53	o__Lactobacillales	12.12825
order	GF6_A6_D53	o__Clostridiales	12.06425
order	GF6_A6_D53	o__Bifidobacteriales	0.91311
order	GF6_A6_D87	o__Enterobacterales	93.49071
order	GF6_A6_D87	o__Lactobacillales	6.50929
order	GF6_A6_D88	o__Enterobacterales	89.91839
order	GF6_A6_D88	o__Lactobacillales	10.08161
order	GF6_A6_D91	o__Clostridiales	58.6872
order	GF6_A6_D91	o__Enterobacterales	26.04317
order	GF6_A6_D91	o__Lactobacillales	13.9797
order	GF6_A6_D91	o__Bifidobacteriales	1.27025
order	GF6_A6_D91	o__Actinomycetales	0.01969
order	GF6_A7_D87	o__Enterobacterales	100
order	GF6_A8_COLON_D105	o__Clostridiales	80.18757
order	GF6_A8_COLON_D105	o__Bifidobacteriales	16.7386
order	GF6_A8_COLON_D105	o__Enterobacterales	1.19521
order	GF6_A8_COLON_D105	o__Veillonellales	0.96988
order	GF6_A8_COLON_D105	o__Lactobacillales	0.90874
order	GF6_A8_COLON_D54	o__Clostridiales	93.15302
order	GF6_A8_COLON_D54	o__Enterobacterales	6.84698
order	GF6_A8_D51	o__Enterobacterales	92.30057
order	GF6_A8_D51	o__Lactobacillales	5.99787
order	GF6_A8_D51	o__Bifidobacteriales	1.70156
order	GF6_A8_D52	o__Enterobacterales	92.35105
order	GF6_A8_D52	o__Lactobacillales	7.64895
order	GF6_A8_D53	o__Clostridiales	53.69317
order	GF6_A8_D53	o__Enterobacterales	37.52928
order	GF6_A8_D53	o__Lactobacillales	5.11683
order	GF6_A8_D53	o__Bifidobacteriales	3.66071
order	GF6_A8_D89	o__Clostridiales	51.83931
order	GF6_A8_D89	o__Enterobacterales	43.71378
order	GF6_A8_D89	o__Lactobacillales	3.93474
order	GF6_A8_D89	o__Bifidobacteriales	0.51218
order	GF6_A8_D91	o__Clostridiales	74.61944
order	GF6_A8_D91	o__Bifidobacteriales	13.16728
order	GF6_A8_D91	o__Enterobacterales	9.57233
order	GF6_A8_D91	o__Veillonellales	2.64095
order	GF6_A8_D93	o__Clostridiales	64.91453
order	GF6_A8_D93	o__Enterobacterales	19.59721
order	GF6_A8_D93	o__Veillonellales	11.8122
order	GF6_A8_D93	o__Bifidobacteriales	2.82614
order	GF6_A8_D93	o__Lactobacillales	0.84992
order	GF6_ADAM_D0	o__Erysipelotrichales	55.28347
order	GF6_ADAM_D0	o__Enterobacterales	31.16246
order	GF6_ADAM_D0	o__Clostridiales	11.7107
order	GF6_ADAM_D0	o__Propionibacteriales	1.84337
order	GF6_ASIRE_D57	o__Bifidobacteriales	53.3466
order	GF6_ASIRE_D57	o__Clostridiales	22.03958
order	GF6_ASIRE_D57	o__Actinomycetales	7.55492
order	GF6_ASIRE_D57	o__Tissierellales	5.53985
order	GF6_ASIRE_D57	o__Veillonellales	5.02526
order	GF6_ASIRE_D57	o__Enterobacterales	4.29702
order	GF6_ASIRE_D57	o__Lactobacillales	2.19677
order	GF6_B_DAM_D22	o__Bifidobacteriales	55.45101
order	GF6_B_DAM_D22	o__Clostridiales	35.8891
order	GF6_B_DAM_D22	o__Enterobacterales	4.50849
order	GF6_B_DAM_D22	o__Lactobacillales	4.0977
order	GF6_B_DAM_D22	o__Actinomycetales	0.05371
order	GF6_B1_D63	o__Enterobacterales	96.77514
order	GF6_B1_D63	o__Bifidobacteriales	1.85168
order	GF6_B1_D63	o__Lactobacillales	1.37318
order	GF6_B1_D64	o__Enterobacterales	95.31826
order	GF6_B1_D64	o__Lactobacillales	1.95817
order	GF6_B1_D64	o__Bifidobacteriales	1.91589
order	GF6_B1_D64	o__Clostridiales	0.76184
order	GF6_B1_D64	o__Tissierellales	0.04584
order	GF6_B1_D66	o__Clostridiales	100
order	GF6_B1_D87	o__Enterobacterales	100
order	GF6_B1_D89	o__Bifidobacteriales	58.22707
order	GF6_B1_D89	o__Clostridiales	21.54105
order	GF6_B1_D89	o__Lactobacillales	14.01609
order	GF6_B1_D89	o__Enterobacterales	6.2158
order	GF6_B1_D91	o__Clostridiales	53.95432
order	GF6_B1_D91	o__Bifidobacteriales	22.20171
order	GF6_B1_D91	o__Lactobacillales	17.47679
order	GF6_B1_D91	o__Enterobacterales	6.36718
order	GF6_B1_D93	o__Enterobacterales	56.01103
order	GF6_B1_D93	o__Clostridiales	36.03877
order	GF6_B1_D93	o__Lactobacillales	5.77667
order	GF6_B1_D93	o__Bifidobacteriales	2.17353
order	GF6_B10_D63	o__Enterobacterales	98.54032
order	GF6_B10_D63	o__Lactobacillales	1.18549
order	GF6_B10_D63	o__Bifidobacteriales	0.27419
order	GF6_B10_D64	o__Enterobacterales	91.96378
order	GF6_B10_D64	o__Lactobacillales	4.50205
order	GF6_B10_D64	o__Clostridiales	2.58487
order	GF6_B10_D64	o__Bifidobacteriales	0.87194
order	GF6_B10_D64	o__Tissierellales	0.07735
order	GF6_B2_COLON_D105	o__Clostridiales	73.94068
order	GF6_B2_COLON_D105	o__Bifidobacteriales	22.18197
order	GF6_B2_COLON_D105	o__Enterobacterales	2.71364
order	GF6_B2_COLON_D105	o__Lactobacillales	1.06454
order	GF6_B2_COLON_D105	o__Veillonellales	0.09916
order	GF6_B2_D63	o__Enterobacterales	55.57515
order	GF6_B2_D63	o__Lactobacillales	39.53474
order	GF6_B2_D63	o__Clostridiales	4.03343
order	GF6_B2_D63	o__Bifidobacteriales	0.72208
order	GF6_B2_D63	o__Propionibacteriales	0.13461
order	GF6_B2_D66	o__Enterobacterales	78.40132
order	GF6_B2_D66	o__Clostridiales	19.73244
order	GF6_B2_D66	o__Lactobacillales	1.86624
order	GF6_B2_D87	o__Enterobacterales	83.4369
order	GF6_B2_D87	o__Lactobacillales	10.63204
order	GF6_B2_D87	o__Clostridiales	5.93106
order	GF6_B2_D89	o__Bifidobacteriales	69.18771
order	GF6_B2_D89	o__Lactobacillales	30.81229
order	GF6_B3_COLON_D105	o__Clostridiales	72.3354
order	GF6_B3_COLON_D105	o__Bifidobacteriales	24.89896
order	GF6_B3_COLON_D105	o__Enterobacterales	1.93885
order	GF6_B3_COLON_D105	o__Lactobacillales	0.82679
order	GF6_B3_D63	o__Enterobacterales	94.90952
order	GF6_B3_D63	o__Lactobacillales	3.86507
order	GF6_B3_D63	o__Bifidobacteriales	1.22541
order	GF6_B3_D66	o__Clostridiales	78.20998
order	GF6_B3_D66	o__Enterobacterales	16.32973
order	GF6_B3_D66	o__Lactobacillales	3.53474
order	GF6_B3_D66	o__Tissierellales	1.62569
order	GF6_B3_D66	o__Bifidobacteriales	0.29986
order	GF6_B3_D87	o__Enterobacterales	70.74205
order	GF6_B3_D87	o__Clostridiales	15.61827
order	GF6_B3_D87	o__Lactobacillales	11.55034
order	GF6_B3_D87	o__Bifidobacteriales	1.53608
order	GF6_B3_D87	o__Tissierellales	0.55326
order	GF6_B3_D89	o__Enterobacterales	100
order	GF6_B3_D91	o__Clostridiales	75.63249
order	GF6_B3_D91	o__Bifidobacteriales	12.54179
order	GF6_B3_D91	o__Lactobacillales	11.82573
order	GF6_B3_D93	o__Bifidobacteriales	48.41796
order	GF6_B3_D93	o__Clostridiales	44.57561
order	GF6_B3_D93	o__Enterobacterales	4.27411
order	GF6_B3_D93	o__Lactobacillales	2.73232
order	GF6_B4_COLON_D105	o__Clostridiales	66.86026
order	GF6_B4_COLON_D105	o__Bifidobacteriales	28.72467
order	GF6_B4_COLON_D105	o__Enterobacterales	2.54208
order	GF6_B4_COLON_D105	o__Veillonellales	0.98963
order	GF6_B4_COLON_D105	o__Lactobacillales	0.88337
order	GF6_B4_D64	o__Enterobacterales	91.69195
order	GF6_B4_D64	o__Lactobacillales	3.892
order	GF6_B4_D64	o__Clostridiales	2.26869
order	GF6_B4_D64	o__Bifidobacteriales	2.14736
order	GF6_B4_D66	o__Clostridiales	100
order	GF6_B4_D87	o__Enterobacterales	73.18462
order	GF6_B4_D87	o__Clostridiales	12.70367
order	GF6_B4_D87	o__Lactobacillales	12.38831
order	GF6_B4_D87	o__Bifidobacteriales	1.53934
order	GF6_B4_D87	o__Tissierellales	0.18406
order	GF6_B4_D89	o__Lactobacillales	59.1325
order	GF6_B4_D89	o__Bifidobacteriales	40.8675
order	GF6_B4_D93	o__Clostridiales	59.87706
order	GF6_B4_D93	o__Bifidobacteriales	28.33239
order	GF6_B4_D93	o__Enterobacterales	10.36886
order	GF6_B4_D93	o__Lactobacillales	1.42168
order	GF6_B5_COLON_D105	o__Clostridiales	70.33156
order	GF6_B5_COLON_D105	o__Bifidobacteriales	25.708
order	GF6_B5_COLON_D105	o__Enterobacterales	2.89932
order	GF6_B5_COLON_D105	o__Lactobacillales	1.06112
order	GF6_B5_D66	o__Clostridiales	100
order	GF6_B5_D90	o__Bifidobacteriales	56.18828
order	GF6_B5_D90	o__Lactobacillales	34.8996
order	GF6_B5_D90	o__Propionibacteriales	8.91212
order	GF6_B5_D91	o__Bifidobacteriales	67.8098
order	GF6_B5_D91	o__Lactobacillales	32.1902
order	GF6_B6_COLON_D105	o__Clostridiales	70.34222
order	GF6_B6_COLON_D105	o__Bifidobacteriales	25.53486
order	GF6_B6_COLON_D105	o__Enterobacterales	3.20878
order	GF6_B6_COLON_D105	o__Lactobacillales	0.91414
order	GF6_B6_D63	o__Enterobacterales	91.59195
order	GF6_B6_D63	o__Lactobacillales	7.34992
order	GF6_B6_D63	o__Bifidobacteriales	1.05813
order	GF6_B6_D64	o__Enterobacterales	90.47678
order	GF6_B6_D64	o__Lactobacillales	6.04352
order	GF6_B6_D64	o__Clostridiales	1.98019
order	GF6_B6_D64	o__Bifidobacteriales	1.33957
order	GF6_B6_D64	o__Tissierellales	0.13206
order	GF6_B6_D64	o__Propionibacteriales	0.02788
order	GF6_B6_D66	o__Clostridiales	89.97388
order	GF6_B6_D66	o__Enterobacterales	9.38723
order	GF6_B6_D66	o__Lactobacillales	0.63889
order	GF6_B6_D87	o__Enterobacterales	100
order	GF6_B6_D90	o__Bifidobacteriales	55.92411
order	GF6_B6_D90	o__Lactobacillales	44.07589
order	GF6_B6_D91	o__Lactobacillales	82.13645
order	GF6_B6_D91	o__Bifidobacteriales	17.86355
order	GF6_B6_D93	o__Clostridiales	39.22171
order	GF6_B6_D93	o__Enterobacterales	38.31445
order	GF6_B6_D93	o__Lactobacillales	21.44608
order	GF6_B6_D93	o__Bifidobacteriales	1.01776
order	GF6_B7_COLON_D105	o__Clostridiales	84.50548
order	GF6_B7_COLON_D105	o__Bifidobacteriales	12.40464
order	GF6_B7_COLON_D105	o__Enterobacterales	2.79152
order	GF6_B7_COLON_D105	o__Lactobacillales	0.29836
order	GF6_B7_D63	o__Enterobacterales	81.78272
order	GF6_B7_D63	o__Lactobacillales	16.88059
order	GF6_B7_D63	o__Bifidobacteriales	1.33669
order	GF6_B7_D66	o__Clostridiales	75.90565
order	GF6_B7_D66	o__Enterobacterales	22.46226
order	GF6_B7_D66	o__Lactobacillales	1.63209
order	GF6_B7_D87	o__Enterobacterales	98.96089
order	GF6_B7_D87	o__Lactobacillales	1.03911
order	GF6_B7_D90	o__Bifidobacteriales	62.42619
order	GF6_B7_D90	o__Lactobacillales	36.89766
order	GF6_B7_D90	o__Tissierellales	0.38536
order	GF6_B7_D90	o__Propionibacteriales	0.2908
order	GF6_B7_D91	o__Bifidobacteriales	100
order	GF6_B7_D93	o__Clostridiales	78.56587
order	GF6_B7_D93	o__Enterobacterales	18.13017
order	GF6_B7_D93	o__Lactobacillales	3.30396
order	GF6_B8_COLON_D105	o__Clostridiales	73.33734
order	GF6_B8_COLON_D105	o__Bifidobacteriales	11.22074
order	GF6_B8_COLON_D105	o__Erysipelotrichales	6.08026
order	GF6_B8_COLON_D105	o__Enterobacterales	5.50015
order	GF6_B8_COLON_D105	o__Lactobacillales	1.55647
order	GF6_B8_COLON_D105	o__Veillonellales	1.51131
order	GF6_B8_COLON_D105	o__Tissierellales	0.42978
order	GF6_B8_COLON_D105	o__Actinomycetales	0.36394
order	GF6_B8_D63	o__Enterobacterales	94.59574
order	GF6_B8_D63	o__Lactobacillales	3.79838
order	GF6_B8_D63	o__Bifidobacteriales	1.32866
order	GF6_B8_D63	o__Clostridiales	0.27722
order	GF6_B8_D66	o__Clostridiales	78.26103
order	GF6_B8_D66	o__Enterobacterales	15.01538
order	GF6_B8_D66	o__Lactobacillales	6.72359
order	GF6_B8_D91	o__Clostridiales	56.07397
order	GF6_B8_D91	o__Lactobacillales	31.81388
order	GF6_B8_D91	o__Enterobacterales	11.46753
order	GF6_B8_D91	o__Bifidobacteriales	0.64463
order	GF6_B9_D66	o__Clostridiales	92.40079
order	GF6_B9_D66	o__Enterobacterales	7.59921
order	GF6_GFPBS1_COLON	o__Clostridiales	100
order	GF6_GFPBS2_COLON	o__Clostridiales	100
order	GF6_GFPBS3_COLON	o__Clostridiales	100
order	GF6_INOC	o__Bifidobacteriales	45.74954
order	GF6_INOC	o__Clostridiales	29.7704
order	GF6_INOC	o__Enterobacterales	8.1364
order	GF6_INOC	o__Veillonellales	5.26107
order	GF6_INOC	o__Lactobacillales	4.35527
order	GF6_INOC	o__Actinomycetales	3.37246
order	GF6_INOC	o__Tissierellales	3.35487
order	GF6_WATER_H11	o__Bifidobacteriales	77.69976
order	GF6_WATER_H11	o__Enterobacterales	9.21464
order	GF6_WATER_H11	o__Clostridiales	7.42563
order	GF6_WATER_H11	o__Lactobacillales	5.65997
order	GF7_A1_COLON_D47	o__Clostridiales	57.52066
order	GF7_A1_COLON_D47	o__Erysipelotrichales	19.60945
order	GF7_A1_COLON_D47	o__Enterobacterales	9.31484
order	GF7_A1_COLON_D47	o__Bacteroidales	6.64368
order	GF7_A1_COLON_D47	o__Tissierellales	3.00251
order	GF7_A1_COLON_D47	o__Lactobacillales	2.22416
order	GF7_A1_COLON_D47	o__Verrucomicrobiales	1.68468
order	GF7_A3_COLON_D47	o__Clostridiales	43.83552
order	GF7_A3_COLON_D47	o__Erysipelotrichales	32.19554
order	GF7_A3_COLON_D47	o__Enterobacterales	21.88013
order	GF7_A3_COLON_D47	o__Lactobacillales	2.08882
order	GF7_A4_COLON_D47	o__Clostridiales	54.78127
order	GF7_A4_COLON_D47	o__Erysipelotrichales	27.15261
order	GF7_A4_COLON_D47	o__Tissierellales	9.88756
order	GF7_A4_COLON_D47	o__Enterobacterales	6.80734
order	GF7_A4_COLON_D47	o__Lactobacillales	1.37121
order	GF7_A5_COLON_D47	o__Clostridiales	75.07914
order	GF7_A5_COLON_D47	o__Erysipelotrichales	19.35101
order	GF7_A5_COLON_D47	o__Enterobacterales	3.87467
order	GF7_A5_COLON_D47	o__Tissierellales	1.69518
order	GF7_A6_COLON_D47	o__Clostridiales	70.93733
order	GF7_A6_COLON_D47	o__Erysipelotrichales	17.84674
order	GF7_A6_COLON_D47	o__Enterobacterales	7.03936
order	GF7_A6_COLON_D47	o__Tissierellales	2.86466
order	GF7_A6_COLON_D47	o__Lactobacillales	1.31192
order	GF7_A7_COLON_D47	o__Erysipelotrichales	42.93163
order	GF7_A7_COLON_D47	o__Clostridiales	40.00612
order	GF7_A7_COLON_D47	o__Enterobacterales	17.06225
order	GF7_ADAM_D0	o__Propionibacteriales	100
order	GF7_ADAM_D5	o__Bifidobacteriales	41.07933
order	GF7_ADAM_D5	o__Clostridiales	34.89952
order	GF7_ADAM_D5	o__Veillonellales	16.14243
order	GF7_ADAM_D5	o__Enterobacterales	5.82924
order	GF7_ADAM_D5	o__Lactobacillales	1.32836
order	GF7_ADAM_D5	o__Tissierellales	0.66697
order	GF7_ADAM_D5	o__Actinomycetales	0.05416
order	GF7_ADAM_D78	o__Bifidobacteriales	45.95058
order	GF7_ADAM_D78	o__Clostridiales	29.98688
order	GF7_ADAM_D78	o__Veillonellales	8.50978
order	GF7_ADAM_D78	o__Enterobacterales	6.44438
order	GF7_ADAM_D78	o__Actinomycetales	4.41353
order	GF7_ADAM_D78	o__Tissierellales	3.15543
order	GF7_ADAM_D78	o__Lactobacillales	1.53942
order	GF7_ASIRE_D36	o__Clostridiales	47.17091
order	GF7_ASIRE_D36	o__Enterobacterales	20.18358
order	GF7_ASIRE_D36	o__Erysipelotrichales	16.77449
order	GF7_ASIRE_D36	o__Veillonellales	6.75266
order	GF7_ASIRE_D36	o__Tissierellales	3.82568
order	GF7_ASIRE_D36	o__Lactobacillales	3.06225
order	GF7_ASIRE_D36	o__Actinomycetales	1.80472
order	GF7_ASIRE_D36	o__Campylobacterales	0.42571
order	GF7_B1_COLON_D47	o__Clostridiales	64.19781
order	GF7_B1_COLON_D47	o__Enterobacterales	12.30923
order	GF7_B1_COLON_D47	o__Erysipelotrichales	9.76863
order	GF7_B1_COLON_D47	o__Veillonellales	6.10125
order	GF7_B1_COLON_D47	o__Lactobacillales	2.53792
order	GF7_B1_COLON_D47	o__Tissierellales	2.43833
order	GF7_B1_COLON_D47	o__Campylobacterales	1.40286
order	GF7_B1_COLON_D47	o__Actinomycetales	1.24397
order	GF7_B1_D30	o__Enterobacterales	92.80833
order	GF7_B1_D30	o__Clostridiales	3.75337
order	GF7_B1_D30	o__Lactobacillales	3.38503
order	GF7_B1_D30	o__Erysipelotrichales	0.05326
order	GF7_B1_D31	o__Enterobacterales	73.4649
order	GF7_B1_D31	o__Erysipelotrichales	12.70193
order	GF7_B1_D31	o__Clostridiales	7.95326
order	GF7_B1_D31	o__Tissierellales	3.97414
order	GF7_B1_D31	o__Lactobacillales	1.90577
order	GF7_B1_D32	o__Clostridiales	43.0466
order	GF7_B1_D32	o__Erysipelotrichales	28.79431
order	GF7_B1_D32	o__Enterobacterales	26.64863
order	GF7_B1_D32	o__Lactobacillales	1.51046
order	GF7_B1_D33	o__Erysipelotrichales	38.38454
order	GF7_B1_D33	o__Clostridiales	36.68328
order	GF7_B1_D33	o__Enterobacterales	24.13219
order	GF7_B1_D33	o__Lactobacillales	0.79999
order	GF7_B1_D36	o__Clostridiales	47.97427
order	GF7_B1_D36	o__Erysipelotrichales	25.96442
order	GF7_B1_D36	o__Enterobacterales	24.3128
order	GF7_B1_D36	o__Lactobacillales	1.74851
order	GF7_B2_COLON_D47	o__Clostridiales	59.13584
order	GF7_B2_COLON_D47	o__Enterobacterales	11.51092
order	GF7_B2_COLON_D47	o__Erysipelotrichales	9.8953
order	GF7_B2_COLON_D47	o__Veillonellales	7.50143
order	GF7_B2_COLON_D47	o__Tissierellales	4.23189
order	GF7_B2_COLON_D47	o__Lactobacillales	3.17198
order	GF7_B2_COLON_D47	o__Campylobacterales	2.69045
order	GF7_B2_COLON_D47	o__Actinomycetales	1.86219
order	GF7_B2_D30	o__Enterobacterales	97.95659
order	GF7_B2_D30	o__Clostridiales	1.1685
order	GF7_B2_D30	o__Lactobacillales	0.82848
order	GF7_B2_D30	o__Erysipelotrichales	0.04643
order	GF7_B2_D34	o__Erysipelotrichales	35.6011
order	GF7_B2_D34	o__Clostridiales	33.04478
order	GF7_B2_D34	o__Enterobacterales	30.11682
order	GF7_B2_D34	o__Lactobacillales	1.2373
order	GF7_B2_D36	o__Clostridiales	41.41124
order	GF7_B2_D36	o__Enterobacterales	36.73992
order	GF7_B2_D36	o__Erysipelotrichales	20.98222
order	GF7_B2_D36	o__Lactobacillales	0.86662
order	GF7_B3_D30	o__Enterobacterales	97.88692
order	GF7_B3_D30	o__Clostridiales	1.06362
order	GF7_B3_D30	o__Lactobacillales	1.04946
order	GF7_B3_D31	o__Enterobacterales	76.90344
order	GF7_B3_D31	o__Clostridiales	19.50083
order	GF7_B3_D31	o__Lactobacillales	2.96331
order	GF7_B3_D31	o__Erysipelotrichales	0.63242
order	GF7_B3_D33	o__Clostridiales	41.7764
order	GF7_B3_D33	o__Erysipelotrichales	28.67273
order	GF7_B3_D33	o__Enterobacterales	24.84376
order	GF7_B3_D33	o__Lactobacillales	4.7071
order	GF7_B3_D36	o__Enterobacterales	33.26587
order	GF7_B3_D36	o__Erysipelotrichales	32.03328
order	GF7_B3_D36	o__Clostridiales	30.54217
order	GF7_B3_D36	o__Lactobacillales	4.15868
order	GF7_B4_COLON_D47	o__Enterobacterales	36.55704
order	GF7_B4_COLON_D47	o__Clostridiales	32.71695
order	GF7_B4_COLON_D47	o__Erysipelotrichales	19.11383
order	GF7_B4_COLON_D47	o__Veillonellales	6.1236
order	GF7_B4_COLON_D47	o__Lactobacillales	3.11124
order	GF7_B4_COLON_D47	o__Tissierellales	2.34542
order	GF7_B4_COLON_D47	o__Campylobacterales	0.03193
order	GF7_B4_D35	o__Erysipelotrichales	58.38157
order	GF7_B4_D35	o__Clostridiales	28.88118
order	GF7_B4_D35	o__Enterobacterales	12.66715
order	GF7_B4_D35	o__Lactobacillales	0.07011
order	GF7_B4_D36	o__Erysipelotrichales	51.66435
order	GF7_B4_D36	o__Enterobacterales	30.96998
order	GF7_B4_D36	o__Clostridiales	16.57385
order	GF7_B4_D36	o__Lactobacillales	0.79182
order	GF7_B5_COLON_D47	o__Clostridiales	49.31449
order	GF7_B5_COLON_D47	o__Enterobacterales	16.28817
order	GF7_B5_COLON_D47	o__Erysipelotrichales	10.60289
order	GF7_B5_COLON_D47	o__Veillonellales	7.15459
order	GF7_B5_COLON_D47	o__Campylobacterales	5.77343
order	GF7_B5_COLON_D47	o__Tissierellales	4.49762
order	GF7_B5_COLON_D47	o__Lactobacillales	4.16548
order	GF7_B5_COLON_D47	o__Actinomycetales	2.20333
order	GF7_B5_D30	o__Enterobacterales	84.93829
order	GF7_B5_D30	o__Clostridiales	9.9897
order	GF7_B5_D30	o__Lactobacillales	3.34235
order	GF7_B5_D30	o__Erysipelotrichales	1.36911
order	GF7_B5_D30	o__Tissierellales	0.36055
order	GF7_B5_D36	o__Erysipelotrichales	36.41707
order	GF7_B5_D36	o__Enterobacterales	35.51571
order	GF7_B5_D36	o__Clostridiales	24.29707
order	GF7_B5_D36	o__Lactobacillales	3.77015
order	GF7_B6_COLON_D47	o__Enterobacterales	100
order	GF7_B8_COLON_D47	o__Sphingomonadales	100
order	GF7_BDAM_D1	o__Enterobacterales	50.65914
order	GF7_BDAM_D1	o__Clostridiales	42.59183
order	GF7_BDAM_D1	o__Lactobacillales	3.43427
order	GF7_BDAM_D1	o__Erysipelotrichales	2.82021
order	GF7_BDAM_D1	o__Veillonellales	0.49455
order	GF7_BDAM_D78	o__Clostridiales	59.83238
order	GF7_BDAM_D78	o__Enterobacterales	20.17845
order	GF7_BDAM_D78	o__Lactobacillales	8.88023
order	GF7_BDAM_D78	o__Veillonellales	6.17624
order	GF7_BDAM_D78	o__Bifidobacteriales	4.00992
order	GF7_BDAM_D78	o__Tissierellales	0.92277
order	GF7_BSIRE_D12	o__Clostridiales	43.03917
order	GF7_BSIRE_D12	o__Erysipelotrichales	22.03933
order	GF7_BSIRE_D12	o__Enterobacterales	15.49984
order	GF7_BSIRE_D12	o__Veillonellales	6.38053
order	GF7_BSIRE_D12	o__Tissierellales	4.60148
order	GF7_BSIRE_D12	o__Lactobacillales	3.23542
order	GF7_BSIRE_D12	o__Actinomycetales	2.67459
order	GF7_BSIRE_D12	o__Campylobacterales	2.52964
order	GF7_BSIRE_D20	o__Clostridiales	57.44282
order	GF7_BSIRE_D20	o__Erysipelotrichales	21.63689
order	GF7_BSIRE_D20	o__Enterobacterales	5.88681
order	GF7_BSIRE_D20	o__Veillonellales	5.61468
order	GF7_BSIRE_D20	o__Tissierellales	2.95225
order	GF7_BSIRE_D20	o__Lactobacillales	2.37318
order	GF7_BSIRE_D20	o__Campylobacterales	2.05388
order	GF7_BSIRE_D20	o__Actinomycetales	2.03949
order	GF7_BSIRE_D36	o__Clostridiales	72.99862
order	GF7_BSIRE_D36	o__Erysipelotrichales	13.02498
order	GF7_BSIRE_D36	o__Veillonellales	4.77706
order	GF7_BSIRE_D36	o__Enterobacterales	4.1454
order	GF7_BSIRE_D36	o__Tissierellales	2.19772
order	GF7_BSIRE_D36	o__Actinomycetales	1.20541
order	GF7_BSIRE_D36	o__Lactobacillales	1.13697
order	GF7_BSIRE_D36	o__Campylobacterales	0.51384
order	GF7_C1_COLON_D47	o__Clostridiales	75.02153
