Sample	Genus	Abundance
GF21_d36_Bdam_Stool	g__Corynebacterium	4.3263
GF21_d36_Bdam_Stool	g__Achromobacter	0.05992
GF21_d58_A10_cwash	g__Achromobacter	96.10359
GF21_d58_A10_cwash	g__Delftia	3.89641
GF21_d58_A1_cwash	g__Achromobacter	91.01855
GF21_d58_A1_cwash	g__Delftia	5.1264
GF21_d58_A1_cwash	g__Enterococcus	3.85505
GF21_d58_A2_cwash	g__Achromobacter	88.59937
GF21_d58_A2_cwash	g__Delftia	11.40063
GF21_d58_A3_cwash	g__Achromobacter	88.88747
GF21_d58_A3_cwash	g__Delftia	10.64536
GF21_d58_A3_cwash	g__Staphylococcus	0.46717
GF21_d58_A4_cwash	g__Achromobacter	87.95024
GF21_d58_A4_cwash	g__Enterococcus	6.73991
GF21_d58_A4_cwash	g__Delftia	5.30985
GF21_d58_A5_cwash	g__Achromobacter	87.3075
GF21_d58_A5_cwash	g__Delftia	12.6925
GF21_d58_A6_cwash	g__Achromobacter	93.51539
GF21_d58_A6_cwash	g__Delftia	6.48461
GF21_d58_A7_cwash	g__Achromobacter	99.19702
GF21_d58_A7_cwash	g__Delftia	0.80298
GF21_d58_A8_cwash	g__Enterococcus	63.84757
GF21_d58_A8_cwash	g__Achromobacter	36.15243
GF21_d58_A9_cwash	g__Achromobacter	93.51818
GF21_d58_A9_cwash	g__Delftia	4.59455
GF21_d58_A9_cwash	g__Staphylococcus	1.88727
GF21_d58_B1_cwash	g__Enterococcus	50.23557
GF21_d58_B1_cwash	g__Achromobacter	49.76443
GF21_d58_B2_cwash	g__Achromobacter	87.7905
GF21_d58_B2_cwash	g__Delftia	7.45393
GF21_d58_B2_cwash	g__Staphylococcus	4.75557
GF21_d58_B3_cwash	g__Achromobacter	89.36646
GF21_d58_B3_cwash	g__Delftia	10.63354
GF21_d58_B4_cwash	g__Achromobacter	66.18172
GF21_d58_B4_cwash	g__Enterococcus	33.81828
GF21_d58_B5_cwash	g__Staphylococcus	67.81318
GF21_d58_B5_cwash	g__Achromobacter	32.18682
GF21_d58_B6_cwash	g__Achromobacter	90.29974
GF21_d58_B6_cwash	g__Delftia	9.70026
GF21_d58_B7_cwash	g__Enterococcus	84.50306
GF21_d58_B7_cwash	g__Achromobacter	15.49694
GF21_d58_B8_cwash	g__Enterococcus	49.75951
GF21_d58_B8_cwash	g__Achromobacter	49.12506
GF21_d58_B8_cwash	g__Staphylococcus	1.11543
GF21_d58_B9_cwash	g__Enterococcus	64.73226
GF21_d58_B9_cwash	g__Achromobacter	34.56194
GF21_d58_B9_cwash	g__Delftia	0.70581
GF21_d62_Bdam_Stool	g__Enterococcus	59.14708
GF21_d62_Bdam_Stool	g__Staphylococcus	35.95822
GF21_d62_Bdam_Stool	g__Corynebacterium	4.87622
GF21_d62_Bdam_Stool	g__Achromobacter	0.01849
GF21_d66_C1_cwash	g__Achromobacter	80.89885
GF21_d66_C1_cwash	g__Enterococcus	16.49722
GF21_d66_C1_cwash	g__Delftia	2.60393
GF21_d66_C2_cwash	g__Achromobacter	100.0
GF21_d66_C3_cwash	g__Achromobacter	84.14037
GF21_d66_C3_cwash	g__Enterococcus	8.75682
GF21_d66_C3_cwash	g__Delftia	7.10281
GF21_d66_C4_cwash	g__Achromobacter	92.76501
GF21_d66_C4_cwash	g__Delftia	4.03815
GF21_d66_C4_cwash	g__Enterococcus	3.19684
GF21_d66_C5_cwash	g__Achromobacter	91.45025
GF21_d66_C5_cwash	g__Delftia	8.54975
GF21_d66_C6_cwash	g__Achromobacter	91.60947
GF21_d66_C6_cwash	g__Enterococcus	4.35001
GF21_d66_C6_cwash	g__Delftia	4.04052
GF21_d66_C7_cwash	g__Achromobacter	91.43758
GF21_d66_C7_cwash	g__Delftia	4.74068
GF21_d66_C7_cwash	g__Enterococcus	3.82174
GF21_d82_A10_Stool	g__Staphylococcus	50.839
GF21_d82_A10_Stool	g__Enterococcus	45.64736
GF21_d82_A10_Stool	g__Achromobacter	3.51365
GF21_d82_A2_Stool	g__Enterococcus	93.62031
GF21_d82_A2_Stool	g__Staphylococcus	6.37969
GF21_d82_A7_Stool	g__Enterococcus	88.11768
GF21_d82_A7_Stool	g__Staphylococcus	9.80281
GF21_d82_A7_Stool	g__Achromobacter	2.07952
GF21_d83_A4_Stool	g__Enterococcus	85.95427
GF21_d83_A4_Stool	g__Staphylococcus	13.73988
GF21_d83_A4_Stool	g__Achromobacter	0.30585
GF21_d83_A5_Stool	g__Enterococcus	95.96786
GF21_d83_A5_Stool	g__Achromobacter	3.22964
GF21_d83_A5_Stool	g__Staphylococcus	0.62542
GF21_d83_A5_Stool	g__Delftia	0.17708
GF21_d83_A8_Stool	g__Enterococcus	98.82564
GF21_d83_A8_Stool	g__Achromobacter	0.64027
GF21_d83_A8_Stool	g__Staphylococcus	0.53409
GF21_d84_A7_Stool	g__Enterococcus	73.15807
GF21_d84_A7_Stool	g__Staphylococcus	26.04336
GF21_d84_A7_Stool	g__Achromobacter	0.79857
GF21_d85_A1_cwash	g__Achromobacter	100.0
GF21_d85_A3_cwash	g__Achromobacter	100.0
GF21_d85_A4_cwash	g__Achromobacter	100.0
GF21_d85_A5_cwash	g__Achromobacter	100.0
GF21_d85_A6_cwash	g__Achromobacter	100.0
GF21_d85_A7_cwash	g__Achromobacter	100.0
GF21_d85_A8_cwash	g__Achromobacter	100.0
GF21_d91_B1_Stool	g__Staphylococcus	98.06647
GF21_d91_B1_Stool	g__Enterococcus	1.87061
GF21_d91_B1_Stool	g__Achromobacter	0.06292
GF21_d91_B2_Stool	g__Staphylococcus	94.27672
GF21_d91_B2_Stool	g__Enterococcus	5.69119
GF21_d91_B2_Stool	g__Achromobacter	0.03209
GF21_d93_B2_Stool	g__Enterococcus	98.9617
GF21_d93_B2_Stool	g__Staphylococcus	1.0158
GF21_d93_B2_Stool	g__Achromobacter	0.0225
GF21_d93_B4_Stool	g__Enterococcus	57.44478
GF21_d93_B4_Stool	g__Staphylococcus	42.55522
GF21_d93_B7_Stool	g__Enterococcus	94.25668
GF21_d93_B7_Stool	g__Staphylococcus	5.66887
GF21_d93_B7_Stool	g__Achromobacter	0.07445
GF21_d93_B8_Stool	g__Enterococcus	67.5231
GF21_d93_B8_Stool	g__Achromobacter	32.4769
GF21_d93_C10_cwash	g__Achromobacter	100.0
GF21_d93_C1_Stool	g__Staphylococcus	94.35143
GF21_d93_C1_Stool	g__Enterococcus	5.64857
GF21_d93_C2_Stool	g__Enterococcus	93.84897
GF21_d93_C2_Stool	g__Staphylococcus	6.15103
GF21_d93_C3_Stool	g__Staphylococcus	93.55907
GF21_d93_C3_Stool	g__Enterococcus	6.38041
GF21_d93_C3_Stool	g__Achromobacter	0.06052
GF21_d93_C4_Stool	g__Staphylococcus	93.23081
GF21_d93_C4_Stool	g__Enterococcus	6.69513
GF21_d93_C4_Stool	g__Achromobacter	0.07406
GF21_d93_C9_Stool	g__Staphylococcus	95.35357
GF21_d93_C9_Stool	g__Enterococcus	4.64643
GF21_d94_B2_Stool	g__Enterococcus	98.63269
GF21_d94_B2_Stool	g__Achromobacter	1.32112
GF21_d94_B2_Stool	g__Staphylococcus	0.04619
GF21_d95_B1_cwash	g__Enterococcus	99.35614
GF21_d95_B1_cwash	g__Achromobacter	0.64386
GF21_d95_B2_cwash	g__Enterococcus	100.0
GF21_d95_B3_cwash	g__Enterococcus	91.6207
GF21_d95_B3_cwash	g__Achromobacter	8.3793
GF21_d95_B4_cwash	g__Achromobacter	94.4457
GF21_d95_B4_cwash	g__Delftia	5.5543
GF21_d95_B6_cwash	g__Enterococcus	87.70254
GF21_d95_B6_cwash	g__Achromobacter	12.29746
