Sample	richness	shannon	simpson	invsimpson
GF16_c1_d67_stool	2	0.679530451072457	0.48644518875	1.94721182256279
GF16_c1_d69_stool	4	0.245876515813758	0.0953992419336875	1.10546005083791
GF16_c10_d105_stool	1	0	0	1
GF16_c10_d106_stool	2	0.0134920577714023	0.00369395203968015	1.00370764791325
GF16_c2_d105_stool	1	0	0	1
GF16_C2_d32	3	0.237699770500635	0.11412248632042	1.12882422745601
GF16_C2_d35_colon	2	0.660704879506142	0.46791008088062	1.8793815933499
GF16_c2_d67_stool	3	0.700804315675628	0.50016449735142	2.00065820595195
GF16_c2_d68_stool	3	0.662594755375261	0.45508044318318	1.83513325497356
GF16_c2_d69_stool	4	0.609795155623738	0.36811506006414	1.58256659844038
GF16_c3_d105_stool	3	0.268702028039108	0.12683995825726	1.14526541778538
GF16_C3_d32	3	0.618124746169166	0.41598408633586	1.71228210842057
GF16_C3_d33	2	0.693147035514958	0.49999985495502	1.99999941982025
GF16_C3_d35_colon	2	0.692063673057952	0.49891688388408	1.99567690037407
GF16_c3_d67_stool	2	0.616322821215368	0.42516409931232	1.73962690709417
GF16_c4_d105_stool	1	0	0	1
GF16_C4_d33	4	0.549550474790837	0.267142914213194	1.36452252341449
GF16_C4_d34	3	0.588744973141235	0.3226473768105	1.47633590801085
GF16_C4_d35_colon	3	0.713522292968926	0.50336046445194	2.01353281086747
GF16_c4_d67_stool	2	0.687043542345801	0.493908790062	1.97592841045887
GF16_c4_d69_stool	2	0.692602799547431	0.49945571777822	1.99782523848094
GF16_c5_d105_stool	1	0	0	1
GF16_C5_d32	2	0.449189020372404	0.27664170726702	1.38244077664724
GF16_C5_d35_colon	2	0.691160356259357	0.498014491872	1.99208938068589
GF16_c5_d67_stool	2	0.651846936413033	0.45927153633822	1.84935705664181
GF16_c5_d68_stool	2	0.635939163808162	0.443891519928	1.79821030578518
GF16_c6_d105_stool	2	0.130625282452959	0.0559837154584801	1.05930376030078
GF16_c7_d105_stool	2	0.00216180827387581	0.000461093647279975	1.00046130635271
GF16_inoc_200622	9	0.815794186551384	0.392640547680447	1.64647145307597
GF17_a1_d31_stool	5	0.28541289772071	0.12434101805868	1.14199707948295
GF17_a2_d31_stool	5	0.872949232948246	0.53825351770118	2.1656905647044
GF17_a3_d31_stool	5	0.71419795701344	0.454727033846209	1.83394384477509
GF17_a4_d31_stool	3	0.439632782473774	0.26276642231432	1.35642221172182
GF17_a5_d31_stool	5	0.633809398407419	0.424050579587412	1.73626357551265
GF17_a6_d31_stool	4	0.572959001301604	0.33544086359866	1.50475698132014
GF17_a7_d31_stool	2	0.67158047532543	0.47858878733918	1.91787206664945
GF17_b2_d31_stool	3	0.474014599356592	0.28466273155512	1.39794198361001
GF17_b3_d31_stool	2	0.333119565678154	0.18587946270222	1.22831933870528
GF17_b6_d31_stool	3	0.465584918684748	0.28622260441282	1.40099701417045
GF17_inoc_200903	5	1.02078722239625	0.579978733596601	2.38083182921404
GF18_a1_d32_stool	6	0.536792148425519	0.28479599210504	1.398202455469
GF18_a1_d33_stool	6	1.3140233088935	0.672829176831338	3.0565072713849
GF18_a1_d35_colon	2	0.177768201446271	0.08254033719168	1.08996617566709
GF18_a2_d33_stool	2	0.00827672969314218	0.0021051794326199	1.00210962056244
GF18_a2_d35_colon	2	0.325028259054718	0.17996015875998	1.21945294571036
GF18_a2_d54_colon	5	0.948135617779693	0.48391557988994	1.9376674842979
GF18_a3_d35_colon	3	0.820263118514068	0.503319887062	2.01336831081221
GF18_a3_d54_colon	5	0.832726305851552	0.42020671124342	1.72475263062219
GF18_a4_d32_stool	4	0.103013967617899	0.0333474192663401	1.03449783296604
GF18_a4_d33_stool	5	1.18835575223512	0.6491184589545	2.84996468329557
GF18_a4_d35_colon	2	0.0206566415527864	0.00606211315181993	1.00609908650433
GF18_a4_d54_colon	3	0.0988213878712711	0.0347356418918398	1.03598562569939
GF18_a5_d54_colon	5	0.666039126216903	0.3086858240729	1.4465203156856
GF18_adam_d33_stoolsoln	6	0.592686513583165	0.30116863381978	1.4309603838562
GF18_b1_d35_colon	0	0	1	Inf
GF18_b3_d32_stool	3	0.0122334961552977	0.00298582027250405	1.00299476209388
GF18_b3_d33_stool	5	0.494358986247577	0.22224711925474	1.28575544335082
GF18_b3_d35_colon	1	0	0	1
GF18_b4_d32_stool	4	0.109987189812951	0.0357235944279584	1.03704704815085
GF18_b4_d35_colon	3	0.341481854621799	0.18193962271688	1.22240366086563
GF18_bdam_d33_stoolsoln	7	0.444528294907681	0.190976126387633	1.23605746704965
GF18_d0_innoculum	8	1.00588233387795	0.52438865768668	2.10255709028324
GF2_A_dam_d33	3	0.570637795391445	0.29734101869056	1.42316547087529
GF2_A_dam_day19	9	1.25288105549742	0.6215730616247	2.64251800966733
GF2_A_dam_day29	3	0.726419796745516	0.50595120439258	2.02409156522794
GF2_A_day1_dad	5	1.0975865418466	0.586265262769522	2.41700758967921
GF2_A_day1_mom	6	1.2702373220258	0.677286031703047	3.09871929398428
GF2_A0	0	0	1	Inf
GF2_A1_d37	11	1.4618687680075	0.7030904032282	3.36802855439053
GF2_A1_d39	7	1.08049450543671	0.53465036062384	2.14892183292671
GF2_A1_day28	3	0.352016343686825	0.194773899033098	1.24188721503093
GF2_A1_day29	6	0.563446615775346	0.27434298456906	1.37806150665565
GF2_A1_day30	2	0.363989663277425	0.20896417736478	1.26416525192076
GF2_A1_day31	6	1.40704461894198	0.68985080192162	3.22425466902959
GF2_A1_day32	4	0.75282767159252	0.393918635989263	1.64994348841633
GF2_A1_day41	8	1.1434821288732	0.601291351019204	2.50809708431523
GF2_A1_day42	6	1.25477006650508	0.683406241614485	3.15862196746881
GF2_A1_day44	5	0.885045413598401	0.538386801609155	2.16631587546876
GF2_A1_Liver	0	0	1	Inf
GF2_A1_Spleen	0	0	1	Inf
GF2_A2_Colon	7	0.994082920393461	0.49106826757168	1.96490007653599
GF2_A2_d36	6	0.748103077922632	0.34438567448578	1.52528698822386
GF2_A2_D37	7	1.25165125701148	0.607347530754764	2.54678138640569
GF2_A2_d39	7	0.856348723789811	0.38755907473676	1.63281054343352
GF2_A2_day28	2	0.312276283143146	0.17074409982062	1.20590037379738
GF2_A2_day29	5	0.452315207007863	0.25799820768422	1.34770563946889
GF2_A2_day30	7	1.3602152701116	0.66927134755248	3.02362674839211
GF2_A2_day31	4	0.734490214509364	0.456376753789985	1.83950926854529
GF2_A2_day32	7	1.27230129513244	0.64214833780366	2.79445397532159
GF2_A2_day34	12	1.89113194043509	0.78972350404798	4.75564325662044
GF2_A2_day41	8	1.06242668692889	0.54948194538736	2.21966686964368
GF2_A2_day42	8	1.27512742920764	0.64832326920734	2.84352051881867
GF2_A2_day44	6	1.50800756672303	0.7565104530698	4.10695248567145
GF2_A2_Liver	0	0	1	Inf
GF2_A2_Spleen	0	0	1	Inf
GF2_A25_N713	11	1.50421389112167	0.65380680471356	2.88856053098502
GF2_A3_Colon	9	1.34505225178133	0.6911890009418	3.23822662745097
GF2_A3_d37	6	1.06223380810584	0.53604023651652	2.15535931929064
GF2_A3_d39	6	1.32072165603351	0.67702808464382	3.09624444867653
GF2_A3_day28	1	0	0	1
GF2_A3_day30	7	1.37738765077173	0.67784592667484	3.10410478339869
GF2_A3_day32	7	1.06733811606047	0.52948460079566	2.12532895138191
GF2_A3_day41	10	1.33716409783305	0.65874843980193	2.93038953263562
GF2_A3_day42	6	0.788648495227096	0.404633900056	1.67963879719396
GF2_A3_Liver	0	0	1	Inf
GF2_A3_Spleen	0	0	1	Inf
GF2_A4_Colon	4	0.526967860834956	0.26559309094382	1.3616429634154
GF2_A4_d36	6	1.00593782813622	0.55872724971442	2.26617211090607
GF2_A4_d37	6	0.98092346559533	0.48104634889314	1.92695435877006
GF2_A4_D39	7	1.05367906090408	0.5125184635655	2.05135974444104
GF2_A4_day28	3	0.516625423210488	0.32615268581256	1.48401570941312
GF2_A4_day29	6	0.74949902863928	0.434354549057266	1.76789188056467
GF2_A4_day30	7	1.22847168207672	0.615517074291499	2.60089573069406
GF2_A4_day31	3	0.657649542816812	0.41094595628672	1.69763710252492
GF2_A4_day32	7	1.23910579323858	0.62960308155392	2.69980647839967
GF2_A4_day41	9	1.2031695445486	0.619929368448027	2.63108990009731
GF2_A4_day42	7	1.32975779239107	0.682995850513603	3.15453284009114
GF2_A4_day44	5	1.08381048590233	0.61175455785178	2.57569025013365
GF2_A4_Liver	0	0	1	Inf
GF2_A4_Spleen	0	0	1	Inf
GF2_A5_Colon	7	0.415581528838979	0.180589397021739	1.22038938276532
GF2_A5_d39	7	1.28790042449861	0.66956663630398	3.02632878476504
GF2_A5_day28	1	0	0	1
GF2_A5_day31	5	1.03965151086987	0.59429533449374	2.46484717830924
GF2_A5_day32	4	0.847906800685745	0.4786027091227	1.91792327558397
GF2_A5_day42	8	1.60017282817563	0.780681420941956	4.55957723369777
GF2_A5_Liver	0	0	1	Inf
GF2_A5_Spleen	0	0	1	Inf
GF2_A6_Colon	2	0.534158810234581	0.349635300728	1.53759882896377
GF2_A6_d33	13	1.78465423207107	0.76992914470054	4.34648707981026
GF2_A6_d36	7	1.08887389320475	0.5930993690749	2.4576024807985
GF2_A6_d37	7	1.07503916813365	0.5325468783951	2.13925194587794
GF2_A6_D39	7	0.931372526961627	0.41964362611366	1.72307920614971
GF2_A6_day28	4	0.444039183961007	0.24963429006024	1.33268349919705
GF2_A6_day29	6	0.684501834154766	0.37742028460776	1.60622001532764
GF2_A6_day30	8	1.2649031730544	0.6307049290402	2.70786175781061
GF2_A6_day31	5	1.33954931112177	0.71199560737974	3.472169264163
GF2_A6_day32	4	0.928904077859572	0.55719788138886	2.25834511166416
GF2_A6_day44	8	1.24342904334418	0.5635498255219	2.29121228143804
GF2_A6_Liver	0	0	1	Inf
GF2_A6_Spleen	0	0	1	Inf
GF2_B_dam_d33	9	1.14893839830676	0.60332635983228	2.52096408417051
GF2_B_dam_day19	10	1.31463822349834	0.673034114010771	3.0584230430478
GF2_B_dam_day37	10	1.29811583602816	0.673729092603635	3.06493768623129
GF2_B_day1_dad	4	0.943502335408546	0.532002098890895	2.13676171972162
GF2_B_day1_mom	5	1.29928290139381	0.688580456145584	3.21110225653495
GF2_B_Sire_day23	11	1.5194065134908	0.711047348218823	3.46077460731282
GF2_B0	0	0	1	Inf
GF2_B1_d34	7	1.1041123813523	0.58688984893738	2.42066189230102
GF2_B1_d35	5	0.717691979401559	0.341415110431439	1.51840714209993
GF2_B1_day29	7	1.44379430199755	0.70725639829004	3.41595851850851
GF2_B1_day32	6	1.11491633000398	0.60137020003954	2.50859318620733
GF2_B1_day37	6	0.919414024370249	0.549629939067202	2.22039626241766
GF2_B1_day41	9	1.29720665625144	0.648760447467904	2.84705977100521
GF2_B1_day44	10	1.48363324940553	0.671553914891276	3.04463973035019
GF2_B1_Liver	0	0	1	Inf
GF2_B1_Spleen	0	0	1	Inf
GF2_B2_d35	7	1.08554359987141	0.582427383941937	2.39479305285898
GF2_B2_day27	6	0.361514072365086	0.13318601886338	1.15365005844592
GF2_B2_day28	6	0.710091657382262	0.34518513317468	1.52714919996886
GF2_B2_day29	7	1.26326808674872	0.661725706750332	2.95618088620744
GF2_B2_day30	8	1.13478117238222	0.516770756993163	2.06941118417755
GF2_B2_day31	7	0.454891360583673	0.18813389226704	1.23173019599547
GF2_B2_day37	9	0.973341364590358	0.56394171486136	2.29327141366449
GF2_B2_day41	7	1.53902818171524	0.730169535553866	3.70603075546952
GF2_B2_day44	10	1.46534107633858	0.7216524340575	3.59263066164758
GF2_B2_Liver	0	0	1	Inf
GF2_B2_Spleen	0	0	1	Inf
GF2_B3_COLON	0	0	1	Inf
GF2_B3_d35	6	0.695635143581103	0.32103053482355	1.4728202832216
GF2_B3_day27	6	0.515868757465223	0.21820553452468	1.27910856901758
GF2_B3_day28	6	0.839195477193127	0.40046910562532	1.66797075744198
GF2_B3_day31	7	0.606516992131975	0.25819320412256	1.34805990664612
GF2_B3_day37	5	0.939319876617672	0.560125483486931	2.27337561613504
GF2_B3_day41	8	1.15008695528305	0.59305402388098	2.45732863496242
GF2_B3_day44	8	1.09780279768386	0.5607850137734	2.27678934316708
GF2_B3_Liver	0	0	1	Inf
GF2_B3_Spleen	0	0	1	Inf
GF2_B4_d35	6	0.583790188850663	0.26967427874008	1.36925206231933
GF2_B4_day27	5	0.426762339481959	0.180377570389164	1.22007398025309
GF2_B4_day28	7	1.27414712047285	0.64297478362323	2.80092260750764
GF2_B4_day29	7	1.23911698364571	0.619299781823198	2.62673871002508
GF2_B4_day32	13	1.52144389177501	0.682782445219591	3.15241065612602
GF2_B4_day37	5	0.860699132918205	0.53016436513234	2.12840390508411
GF2_B4_day41	2	0.00210055691602207	0.000446500274219774	1.00044669972577
GF2_B5_d34	7	1.02759210254979	0.57306633960888	2.34228427686842
GF2_B5_d35	6	1.01145636668605	0.57236183636312	2.33842553128427
GF2_B5_day27	7	1.31357761013517	0.659124234057927	2.93362010419343
GF2_B5_day28	7	1.0220483971769	0.481864644755264	1.92999761525183
GF2_B5_day29	9	1.62565307158404	0.7482438493687	3.97209759321635
GF2_B5_day30	8	0.872785348412402	0.39113902169524	1.64241105216544
GF2_B5_day31	8	0.590859118811728	0.258356681923074	1.34835705469981
GF2_B5_day37	9	1.05864577049223	0.56886598169436	2.31946438355759
GF2_B5_day41	7	1.49918708874406	0.71374303719734	3.49336480835012
GF2_B5_day44	11	1.22614659783585	0.6055670257845	2.53528499230809
GF2_B5_Spleen	0	0	1	Inf
GF2_colon_A1_day45	4	0.494059822413408	0.23869161661222	1.31352815996857
GF2_colon_B1_day44	6	0.950324461453815	0.423718967384349	1.73526446890184
GF2_colon_B2_day44	10	0.999817025065214	0.446928806213537	1.80808548923648
GF2_colon_B3_day44	9	1.32137324371446	0.67544511156124	3.08114293027723
GF2_colon_B5_day44	8	1.08068231145821	0.4939154452775	1.97595439471242
