Sample	Phyla	Abundance
GF24_B4_d73_stool	Firmicutes	0.4387
GF24_B4_d74_cwash	Proteobacteria	93.24081
GF24_B4_d74_cwash	Firmicutes	6.75919
GF24_B5_33_cwash	Proteobacteria	67.23931
GF24_B5_33_cwash	Firmicutes	32.76069
GF24_B6_33_cwash	Proteobacteria	76.43131
GF24_B6_33_cwash	Firmicutes	23.56869
GF24_B7_33_cwash	Proteobacteria	60.30554
GF24_B7_33_cwash	Firmicutes	39.69446
GF24_Bdam_d114_stool	Firmicutes	67.14548
GF24_Bdam_d114_stool	Proteobacteria	32.85452
GF24_C10_d86_cwash	Proteobacteria	87.56828
GF24_C10_d86_cwash	Firmicutes	12.43172
GF24_C1_37_stool	Proteobacteria	96.28582
GF24_C1_37_stool	Firmicutes	3.71418
GF24_C1_39_cwash	Firmicutes	94.39008
GF24_C1_39_cwash	Proteobacteria	5.60992
GF24_C1_d108_cwash	Proteobacteria	100
GF24_C1_d129_cwash	Proteobacteria	99.57547
GF24_C1_d129_cwash	Firmicutes	0.42453
GF24_C2_39_cwash	Firmicutes	94.31879
GF24_C2_39_cwash	Proteobacteria	5.68121
GF24_C2_d108_cwash	Proteobacteria	85.09787
GF24_C2_d108_cwash	Firmicutes	14.90213
GF24_C2_d129_cwash	Proteobacteria	100
GF24_C2_d86_cwash	Proteobacteria	91.23957
GF24_C2_d86_cwash	Firmicutes	8.76043
GF24_C3_37_stool	Proteobacteria	96.63909
GF24_C3_37_stool	Firmicutes	3.36091
GF24_C3_38_cwash	Firmicutes	90.05915
GF24_C3_38_cwash	Proteobacteria	9.94085
GF24_C3_d108_cwash	Proteobacteria	100
GF24_C3_d129_cwash	Proteobacteria	97.12744
GF24_C3_d129_cwash	Firmicutes	2.87256
GF24_C3_d85_stool	Proteobacteria	98.7291
GF24_C3_d85_stool	Firmicutes	1.2709
GF24_C3_d86_cwash	Proteobacteria	80.98785
GF24_C3_d86_cwash	Firmicutes	19.01215
GF24_C4_37_stool	Proteobacteria	88.71129
GF24_C4_37_stool	Firmicutes	11.28871
GF24_C4_38_cwash	Firmicutes	96.43107
GF24_C4_38_cwash	Proteobacteria	3.56893
GF24_C4_38_stool	Firmicutes	71.69424
GF24_C4_38_stool	Proteobacteria	28.30576
GF24_C4_d108_cwash	Proteobacteria	98.57537
GF24_C4_d108_cwash	Firmicutes	1.42463
GF24_C4_d129_cwash	Proteobacteria	97.59476
GF24_C4_d129_cwash	Firmicutes	2.40524
GF24_C4_d86_cwash	Proteobacteria	93.11362
GF24_C4_d86_cwash	Firmicutes	6.88638
GF24_C5_36_stool	Proteobacteria	99.15305
GF24_C5_36_stool	Firmicutes	0.84695
GF24_C5_38_stool	Firmicutes	100
GF24_C5_d108_cwash	Proteobacteria	99.86374
GF24_C5_d108_cwash	Firmicutes	0.13626
GF24_C5_d129_cwash	Proteobacteria	97.2653
GF24_C5_d129_cwash	Firmicutes	2.7347
GF24_C5_d85_stool	Proteobacteria	98.80882
GF24_C5_d85_stool	Firmicutes	1.19118
GF24_C5_d86_cwash	Proteobacteria	96.69904
GF24_C5_d86_cwash	Firmicutes	3.30096
GF24_C6_36_stool	Proteobacteria	93.70801
GF24_C6_36_stool	Firmicutes	6.29199
GF24_C6_37_stool	Proteobacteria	89.26752
GF24_C6_37_stool	Firmicutes	10.73248
GF24_C6_38_stool	Firmicutes	98.41947
GF24_C6_38_stool	Proteobacteria	1.58053
GF24_C6_d108_cwash	Proteobacteria	91.31842
GF24_C6_d108_cwash	Firmicutes	8.68158
GF24_C6_d129_cwash	Proteobacteria	98.53832
GF24_C6_d129_cwash	Firmicutes	1.46168
GF24_C6_d85_stool	Proteobacteria	100
GF24_C6_d86_cwash	Proteobacteria	89.02763
GF24_C6_d86_cwash	Firmicutes	10.97237
GF24_C7_d108_cwash	Proteobacteria	100
GF24_C7_d129_cwash	Proteobacteria	98.77205
GF24_C7_d129_cwash	Firmicutes	1.22795
GF24_C7_d85_stool	Proteobacteria	97.81491
GF24_C7_d85_stool	Firmicutes	2.18509
GF24_C7_d86_cwash	Proteobacteria	85.59645
GF24_C7_d86_cwash	Firmicutes	14.40355
GF24_C8_d108_cwash	Proteobacteria	99.77958
GF24_C8_d108_cwash	Firmicutes	0.22042
GF24_C8_d85_stool	Proteobacteria	96.9472
GF24_C8_d85_stool	Firmicutes	3.0528
GF24_C8_d86_cwash	Proteobacteria	84.78689
GF24_C8_d86_cwash	Firmicutes	15.21311
GF24_C9_d108_cwash	Proteobacteria	87.47137
GF24_C9_d108_cwash	Firmicutes	12.52863
GF24_C9_d85_stool	Proteobacteria	97.20916
GF24_C9_d85_stool	Firmicutes	2.79084
GF24_C9_d86_cwash	Proteobacteria	78.83195
GF24_C9_d86_cwash	Firmicutes	21.16805
GF24_Cdam_d108_stool	Firmicutes	62.63855
GF24_Cdam_d108_stool	Proteobacteria	23.07936
GF24_Cdam_d108_stool	Actinobacteria	14.28209
GF24_damA_18_stool	Firmicutes	50.03409
GF24_damA_18_stool	Proteobacteria	25.89119
GF24_damA_18_stool	Actinobacteria	24.07472
GF24_damA_3_stool	Firmicutes	52.06681
GF24_damA_3_stool	Proteobacteria	47.93319
GF24_damA_8_stool	Firmicutes	50.43344
GF24_damA_8_stool	Proteobacteria	40.17257
GF24_damA_8_stool	Actinobacteria	9.39399
GF24_damB_3_stool	Firmicutes	85.47567
GF24_damB_3_stool	Proteobacteria	14.52433
GF24_damB_8_stool	Firmicutes	53.57075
GF24_damB_8_stool	Proteobacteria	26.75993
GF24_damB_8_stool	Actinobacteria	19.66932
GF24_damC_30_stool	Proteobacteria	42.9408
GF24_damC_30_stool	Actinobacteria	39.39149
GF24_damC_30_stool	Firmicutes	17.66771
GF24_damC_3_stool	Firmicutes	78.06987
GF24_damC_3_stool	Proteobacteria	21.93013
GF24_damC_51_stool	Firmicutes	79.55385
GF24_damC_51_stool	Proteobacteria	20.44615
GF24_Inoc_0	Proteobacteria	71.10906
GF24_Inoc_0	Firmicutes	28.84105
GF24_Inoc_0	Actinobacteria	0.04989
