Sample	Species	Abundance
GF21_B3_d91_stool	s__Staphylococcus_epidermidis	84.3997
GF21_B3_d91_stool	s__Enterococcus_faecalis	15.41695
GF21_B3_d91_stool	s__Achromobacter_xylosoxidans	0.18335
GF21_B4_d91_stool	s__Enterococcus_faecalis	95.89362
GF21_B4_d91_stool	s__Achromobacter_xylosoxidans	4.10638
GF21_B6_d93_stool	s__Staphylococcus_epidermidis	96.05721
GF21_B6_d93_stool	s__Enterococcus_faecalis	3.94279
GF21_B7_d94_stool	s__Enterococcus_faecalis	100.0
GF21_B9_d93_stool	s__Staphylococcus_epidermidis	94.47885
GF21_B9_d93_stool	s__Enterococcus_faecalis	5.52115
GF21_C1_d116_stool	s__Staphylococcus_epidermidis	100.0
GF21_C1_d91_stool	s__Enterococcus_faecalis	98.2256
GF21_C1_d91_stool	s__Staphylococcus_epidermidis	1.5876
GF21_C1_d91_stool	s__Achromobacter_xylosoxidans	0.1868
GF21_C2_d115_stool	s__Achromobacter_xylosoxidans	100.0
GF21_C2_d118_cwash	s__Achromobacter_xylosoxidans	97.54296
GF21_C2_d118_cwash	s__Ruthenibacterium_lactatiformans	2.45704
GF21_C2_d91_stool	s__Staphylococcus_epidermidis	82.93094
GF21_C2_d91_stool	s__Enterococcus_faecalis	17.02576
GF21_C2_d91_stool	s__Staphylococcus_warneri	0.02657
GF21_C2_d91_stool	s__Achromobacter_xylosoxidans	0.01674
GF21_C3_d116_stool	s__Enterococcus_faecalis	100.0
GF21_C3_d117_stool	s__Staphylococcus_epidermidis	77.76605
GF21_C3_d117_stool	s__Achromobacter_xylosoxidans	13.7196
GF21_C3_d117_stool	s__Achromobacter_insuavis	8.51435
GF21_C3_d118_cwash	s__Achromobacter_xylosoxidans	65.20444
GF21_C3_d118_cwash	s__Achromobacter_insuavis	34.79556
GF21_C3_d91_stool	s__Staphylococcus_epidermidis	97.6639
GF21_C3_d91_stool	s__Enterococcus_faecalis	2.3361
GF21_C4_d118_cwash	s__Staphylococcus_epidermidis	100.0
GF21_C5_d117_stool	s__Staphylococcus_epidermidis	74.54455
GF21_C5_d117_stool	s__Enterococcus_faecalis	25.45545
GF21_C5_d93_stool	s__Enterococcus_faecalis	98.57744
GF21_C5_d93_stool	s__Achromobacter_xylosoxidans	1.42256
