Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
B6-d39,54.93361,8.39632,24.60738,8.58325,2.37694,0.24722,0.85528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d40,52.67065,13.42402,17.52628,8.81944,2.57808,3.91026,1.07128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d48,58.19296,5.07816,16.60002,7.24616,1.36818,6.37887,0.81078,1.85976,1.53435,0.79154,0.13922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d29,0,99.59761,0,0,0.40239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7-d33,14.25428,77.81216,0.54056,2.11734,5.27567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d40,36.50636,19.03296,25.2548,9.64702,4.71936,4.06799,0.77151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d48,54.88173,4.70235,19.04269,7.71774,1.17204,6.16162,0.71429,2.27787,1.45257,1.8771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,75.98501,12.71412,6.0592,3.74031,1.257,0.14154,0.10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d33,0,96.69348,0,0.11089,3.19563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d44,57.65121,14.52072,17.6158,8.60713,1.26775,0,0.33739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d45,67.75241,3.74931,9.9528,18.1058,0.43969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d53,58.00655,7.30562,16.9789,9.53333,1.46484,5.88135,0.82942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19,66.49619,3.2253,14.51288,6.22421,1.54636,3.66717,0.71221,1.58305,1.11509,0.91754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-colon,65.17113,3.8752,15.92951,9.24325,0.80869,4.34394,0.57164,0,0,0.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d37,11.06001,69.08031,4.3921,3.82149,11.64609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d44,66.08278,10.55184,13.46237,7.84836,1.43903,0,0.61562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d45,44.67912,8.581,33.57691,9.29811,3.23379,0,0.63107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d49,58.36206,9.2586,23.59549,2.96095,1.92929,2.61558,1.27804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
