Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF15_B9_d97_colon,0,89.79733,0,0,0,0,10.20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_bdam_d18_stool,20.77603,3.8883,0,4.08736,3.98613,0.46012,0.53098,0.52792,0,8.15404,0,0,0,0,0,0,0,0,0,0,57.58911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c_d18_stool,14.25133,3.69203,0,2.15001,4.94038,0.24183,0.10092,1.63481,0,8.85879,0,0,0,0,0,0,0,0,0,0,64.12989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c1_d105_stool,0,98.1717,0,0,1.8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c1_d108_colon,0,89.98966,0,0,0.20128,0,9.05417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C1_d36,0,53.2484,0,0,42.93361,0,3.24449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C1_d37,0,77.06393,0,0,11.87903,0,8.92363,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C1_d39_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c1_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c2_d105_stool,0,95.43287,0,0,4.48893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c2_d108_colon,0,92.87091,0,0,0.1436,0,5.94907,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C2_d36,0,90.78979,0,0,9.21021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C2_d37,0.08891,88.7058,0,0.33382,8.73129,0,0.86838,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C2_d39_colon,0,98.48788,0,0,0,0,1.51212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c2_d73_16_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c2_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c3_d108_colon,0,91.0777,0,0,0,0,8.10183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C3_d36,0,91.88862,0,0,7.48336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C3_d39_colon,0,97.39678,0,0,0,0,2.60322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c4_d105_stool,2.64739,86.1993,0,0.76179,9.97681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c4_d108_colon,0,91.50732,0,0,0.01964,0,7.56501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8676,0.04043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C4_d36,0,96.88458,0,0,2.46018,0,0.06298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C4_d37,0.14394,95.96592,0,0.12729,2.15759,0,0.18451,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C4_d38,0,98.21343,0,0,0,0,1.78657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C4_d39_colon,0,94.83013,0,0,0,0,5.16987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c4_d73_stool,0,99.66445,0,0,0.25995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c4_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c5_d105_stool,0,92.40176,0,0.10842,6.16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c5_d108_colon,0,84.79011,0,0,0,0,13.18964,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C5_d36,0,65.20024,0,0,29.15074,0,5.54038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C5_d37,0,68.04368,0,0,20.72677,0,10.35275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C5_d39_colon,0,99.17635,0,0,0,0,0.82365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c5_d71_stool,0,20.0779,0,0.04034,6.72639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.15538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c5_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c6_d105_stool,0,94.4705,0,0.10229,5.31141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c6_d108_colon,0,93.2184,0,0,0,0,4.20019,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C6_d36,0,90.43445,0,0,8.03343,0,1.13542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C6_d39_colon,0,89.49206,0,0,0,0,10.50794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c6_d71_stool,0,97.17756,0,0,0.38699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_C6_d72_stool,0,98.0767,0,0,0.74597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c6_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c7_d105_stool,0,99.32134,0,0,0.67866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c7_d108_colon,0,72.30955,0,0,0,0,25.69923,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c7_d72_stool,0,97.22642,0,0,0.6453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c7_d74_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c8_d108_colon,0,96.05291,0,0,0,0,3.31247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c8_d74_colon,0,81.44946,0,0,0,0,18.55054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_c9_d108_colon,0,74.95247,0,0,16.14859,0,8.64956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_cdam_d11_stool,12.51901,2.82839,0,1.80948,2.03868,0.63803,0.58223,0.77249,0,7.37443,0,0,0,0,0,0,0,0,0,0,71.43727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_cdam_d23_stool,10.25448,0.64481,0,2.6427,1.77449,0.77977,0.14184,1.49294,0,8.72609,0,0,0,0,0,0,0,0,0,0,73.54288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_cdam_d5_stool,10.80691,6.72847,0,2.76113,2.05436,0.66964,1.34358,0.25962,0,4.40516,0,0,0,0,0,0,0,0,0,0,70.97114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_cdam_d59_stool,37.28474,4.55764,0,7.13295,3.93378,0,0.9386,0,0,0.3786,0,0,0,0,0,0,0,0,0,0,45.77369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B1_stool,0,95.23164,0,0,4.45422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B2_stool,0,99.26968,0,0,0.04833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B3_stool,0.23715,95.56444,0,0.17619,2.23032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B4_stool,0,99.08134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B5_stool,0,97.64,0,0.0038,0.44385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B6_stool,0,99.90756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B7_stool,0,99.9118,0,0,0.0882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d67_B8_stool,0,99.41998,0,0.02786,0.30087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d68_B1_colon,2.64581,94.90827,0,0.06551,2.3804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d68_B2_stool,0,99.49678,0,0,0.05543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d68_B5_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d68_B8_stool,0.17669,98.04813,0,0.51121,0.85831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d69_B2_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d69_B9_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B2_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B4_colon,0,98.24283,0,0,0,0,1.75717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B6_colon,0,97.60026,0,0,0,0,2.39974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B7_colon,0,95.62052,0,0,0,0,4.37948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B8_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d70_B9_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A1_stool,0,99.19541,0,0,0.11866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A3_stool,0,87.59486,0,0,11.51468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A4_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A5_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A6_stool,0,97.7925,0,0,1.37374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A7_stool,0,98.56711,0,0.02993,0.68107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_A8_stool,0,95.21037,0,0,2.48143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_C2_stool,0,91.02612,0,0,8.23437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_C3_stool,0,82.68131,0,0.23003,16.52142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_d71_C4_stool,0,99.77378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF15_INOC,1.63877,3.65098,0,0,29.53727,0.63018,0,34.17622,0,19.2124,0,0,0,0,0,0,0,2.03977,0.20551,0,8.9089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A1_d32,0,48.59238,0,0,0,0,0,0,0,0,0,0,0,51.40762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A1_d35_colon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A2_d32,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A2_d35_colon,0,43.94071,0,0,0,0,0,0,0,0,0,0,0,56.05929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A3_d32,0,10.89183,0,0,0.13897,0,0,0,0,0,0,0,0,88.9692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A3_d34,0,15.19859,0,0,0,0,0,0,0,0,0,0,0,64.9185,19.88291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A3_d35_colon,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_a4_d100_stool,0,33.57036,0,0,2.94721,0,0,0,0,0,0,0,0,58.82974,4.65269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A4_d32,0,41.36695,0,0,0,0,0,0,0,0,0,0,0,58.63305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A5_d32,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A6_d32,0,20.53897,0,0,0,0,0,0,0,0,0,0,0,79.46103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A6_d33,0,12.82756,0,0,0.26259,0,0,0,0,0,0,0,0,86.90985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A6_d35_colon,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A7_d32,0,26.98626,0,0,1.5768,0,0,0,0,0,0,0,0,71.43693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_A7_d34,0,3.53153,0,0,30.1143,0,0,0,0,0,0,0,0,66.35417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_Adam_d21,2.67101,0,0,0,0,0,0,0,0,0,0,5.53117,0,18.42038,64.97339,0,0,0,0,0,0,0,0,0,7.18644,0.88331,0.3343,0,0,0,0,0,0,0,0,0
GF16_B1_d32,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_B2_d32,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_B2_d34,18.96446,67.71461,0,2.85289,6.23082,0,0,0.14211,0,0,0,0,0,0,0,0,0,0,0,0,4.09511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_B5_d32,0,44.39051,0,0,0,0,0,0,0,0,0,0,0,55.60949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_B5_d33_colon,0,29.27045,0,0,0,0,0,0,0,0,0,0,0,70.72955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_B6_d32,0,17.16373,0,0,0.38575,0,0,0,0,0,0,0,0,82.45052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c1_d105_stool,0,0.4632,0,0,0,0,0,0,0,0,0,0,0,99.5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C1_d34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.06012,0,0,0,0,0,0,0,0,0,0.93988,0,0,0,0,0,0,0,0,0,0,0
GF16_C1_d35_colon,0,1.27653,0,0,98.52817,0,0,0,0,0,0,0,0,0,0.19531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c1_d67_stool,0,41.7675,0,0,0,0,0,0,0,0,0,0,0,58.2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c1_d69_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,95.05831,0,0,0,0,0,0,0.90106,2.70888,0,0,0,1.33174,0,0,0,0,0,0,0,0,0,0
GF16_c10_d105_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c10_d106_stool,0,0,0,0,0.18504,0,0,0,0,0,0,0,0,99.81496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c2_d105_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C2_d32,0,5.8537,0,0,0.20767,0,0,0,0,0,0,0,0,93.93863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C2_d35_colon,0,37.33313,0,0,62.66687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c2_d67_stool,0,47.60953,0,0,0,0,0,0,0,0,0,0.12507,0,52.2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c2_d68_stool,0,34.37544,0,0,0.29895,0,0,0,0,0,0,0,0,65.32561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c2_d69_stool,0,21.96918,0,0,0.08157,0,0,0,0,0,0,1.57038,0,76.37887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c3_d105_stool,0,6.11221,0,0,0,0,0,0,0,0,0,0.64712,0,93.24067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C3_d32,0,29.13137,0,0,0.21826,0,0,0,0,0,0,0,0,70.65037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C3_d33,0,49.97307,0,0,0,0,0,0,0,0,0,0,0,50.02693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C3_d35_colon,0,52.32714,0,0,47.67286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c3_d67_stool,0,69.34372,0,0,0,0,0,0,0,0,0,0,0,30.65628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c4_d105_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C4_d33,0,9.9767,0,0,0,0,0,0,0,0,0,3.76533,0,84.92995,1.32803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C4_d34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10685,80.80165,0,0,0,0,0,0,0,0,0,15.0915,0,0,0,0,0,0,0,0,0,0,0
GF16_C4_d35_colon,0,50.22141,0,0,49.43773,0,0,0,0,0,0,0,0,0.34086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c4_d67_stool,0,55.5187,0,0,0,0,0,0,0,0,0,0,0,44.4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c4_d69_stool,0,51.64967,0,0,0,0,0,0,0,0,0,0,0,48.35033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c5_d105_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C5_d32,0,16.58157,0,0,0,0,0,0,0,0,0,0,0,83.41843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_C5_d35_colon,0,46.8492,0,0,53.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c5_d67_stool,0,35.72967,0,0,0,0,0,0,0,0,0,0,0,64.27033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c5_d68_stool,0,33.2506,0,0,0,0,0,0,0,0,0,0,0,66.7494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c6_d105_stool,0,2.88226,0,0,0,0,0,0,0,0,0,0,0,97.11774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_c7_d105_stool,0,0,0,0,0.02306,0,0,0,0,0,0,0,0,99.97694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF16_inoc_200622,0.48976,0,0.00562,0,0,0,0,0,0,0,0,12.1128,0,76.52548,8.54448,0,0,0,0,0,1.7771,0,0,0,0.25601,0.28876,0,0,0,0,0,0,0,0,0,0
GF17_a1_d31_stool,0.24287,98.80712,0,0.25721,0.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a2_d31_stool,2.22322,95.99259,0,0.78598,0.99821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a3_d31_stool,0.43113,98.49462,0,0.72986,0.3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a4_d31_stool,0,99.86258,0,0,0.13742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a5_d31_stool,0.01863,99.64987,0,0.03221,0.29929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a6_d31_stool,0,98.24473,0,0,0.05218,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_a7_d31_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_b2_d31_stool,0,99.66418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_b3_d31_stool,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF17_b6_d31_stool,0,99.91782,0,0.08218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
