Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
B6-d48	0.79154	0	0.13922	0	0	1.53435	58.19296	0	0	0	5.07816	1.36818	16.60002	0	0	0	0.81078	0	0	1.85976	7.24616	0	0	0	0	0	0	0	0	6.37887	0
B7-d29	0	0	0	0	0	0	0	0	0	0	99.59761	0.40239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7-d33	0	0	0	0	0	0	14.25428	0	0	0	77.81216	5.27567	0.54056	0	0	0	0	0	0	0	2.11734	0	0	0	0	0	0	0	0	0	0
B7-d40	0	0	0	0	0	0	36.50636	0	0	0	19.03296	4.71936	25.2548	0	0	0	0.77151	0	0	0	9.64702	0	0	0	0	0	0	0	0	4.06799	0
B7-d48	1.8771	0	0	0	0	1.45257	54.88173	0	0	0	4.70235	1.17204	19.04269	0	0	0	0.71429	0	0	2.27787	7.71774	0	0	0	0	0	0	0	0	6.16162	0
C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1	0	0	0	0	0	0	75.98501	0	0	0	12.71412	1.257	6.0592	0	0	0	0.10282	0	0	0	3.74031	0	0	0	0	0	0	0	0	0.14154	0
C1-d33	0	0	0	0	0	0	0	0	0	0	96.69348	3.19563	0	0	0	0	0	0	0	0	0.11089	0	0	0	0	0	0	0	0	0	0
C1-d44	0	0	0	0	0	0	57.65121	0	0	0	14.52072	1.26775	17.6158	0	0	0	0.33739	0	0	0	8.60713	0	0	0	0	0	0	0	0	0	0
C1-d45	0	0	0	0	0	0	67.75241	0	0	0	3.74931	0.43969	9.9528	0	0	0	0	0	0	0	18.1058	0	0	0	0	0	0	0	0	0	0
