Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
GF14_A7_d34	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_A7_d35_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_A7_d94_stool	0	0	0	0	0	0	0	0	0	0	98.2903	1.47639	0	0	0	0	0	0	0	0	0.23331	0	0	0	0	0	0	0	0	0	0
GF14_A7_d95_stool	0	0	0	0	0	0	0	0	0	0	95.99543	3.49862	0	0	0	0	0	0	0	0.06908	0.43687	0	0	0	0	0	0	0	0	0	0
GF14_a7_d97_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_A8_d94_stool	0	0	0	0	0	0	0.53312	0	0	0	97.91688	1.21742	0	0	0	0	0	0	0	0	0.33258	0	0	0	0	0	0	0	0	0	0
GF14_A8_d96_16_stool	0	0	0	0	0	0	3.78781	0	0	0	88.138	5.75819	0	0	0	0	0	0	0	0	2.316	0	0	0	0	0	0	0	0	0	0
GF14_A8_d96_stool	0	0	0	0	0	0	0.28418	0	0	0	92.983	4.85701	0	0	0	0	0	0	0	0.31565	1.56016	0	0	0	0	0	0	0	0	0	0
GF14_a8_d97_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d18_stool	0	0	0	0	0	0	42.8017	0	0	0	14.05918	6.77855	26.91145	0	0	0	3.98759	0	0	0.87973	4.58181	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d5_stool	0	0	0	0	0	0	61.62178	0	0	0	11.09418	5.1	16.39493	0	0	0	2.89289	0	0	0.668	2.22822	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d51_stool	0	0	0	0	0	0	49.10988	0	0	0	9.37184	6.03345	27.62716	0	0	0	3.28313	0	0	0	4.57454	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d59_stool	0	0	0	0	0	0	57.79272	0	0	0	9.31823	6.21892	18.08584	0	0	0	2.87529	0	0	0.38067	5.32832	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d78_stool	0	0	0	0	0	0	40.03623	0	0	0	7.09174	6.5562	35.02377	0	0	0	4.35172	0	0	0	6.94034	0	0	0	0	0	0	0	0	0	0
GF14_Adam_d9_stool	0	0	0	0	0	0	46.59312	0	0	0	23.90099	3.52683	17.95051	0	0	0	3.62835	0	0	0.00354	4.39667	0	0	0	0	0	0	0	0	0	0
GF14_B_d0_stool	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_B_d66_stool	0	0	0	0	0	0	40.5898	0	0	0	8.72137	5.73874	35.24264	0	0	0	2.07501	0	0	0	7.63244	0	0	0	0	0	0	0	0	0	0
GF14_B_d78_stool	0	0	0	0	0	0	38.89998	0	0	0	6.00632	4.43228	39.48616	0	0	0	2.4339	0	0	0	8.74136	0	0	0	0	0	0	0	0	0	0
GF14_b1_d95_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_b2_d95_colon	0	0	0	0	0	0	12.35318	0	0	0	32.49755	5.94076	37.69838	0	0	0	0	0	0	0	11.51013	0	0	0	0	0	0	0	0	0	0
GF14_b3_d95_colon	0	0	0	0	0	0	32.47775	0	0	0	48.2305	0	8.63203	0	0	0	0	0	0	0	10.65972	0	0	0	0	0	0	0	0	0	0
GF14_Bdam_d18_stool	0	0	0	0	0	0	41.58484	0	0	0	8.31652	9.03343	23.43233	0	0	0	6.96416	0	0	0.75837	9.91037	0	0	0	0	0	0	0	0	0	0
GF14_Bdam_d5_stool	0	0	0	0	0	0	29.60438	0	0	0	27.44477	6.94894	30.35385	0	0	0	2.4707	0	0	0	3.17737	0	0	0	0	0	0	0	0	0	0
GF14_Bdam_d51_stool	0	0	0	0	0	0	42.74403	0	0	0	16.34415	7.37848	28.53039	0	0	0	1.80524	0	0	0	3.1977	0	0	0	0	0	0	0	0	0	0
GF14_Bdam_d59_stool	0	0	0	0	0	0	48.3813	0	0	0	8.49469	5.20796	27.14232	0	0	0	1.09234	0	0	0	9.68139	0	0	0	0	0	0	0	0	0	0
GF14_Bdam_d9_stool	0	0	0	0	0	0	50.00452	0	0	0	16.51439	8.90012	16.34638	0	0	0	2.65755	0	0	0.01433	5.56272	0	0	0	0	0	0	0	0	0	0
GF14_C_d66_stool	7.84573	0	0	0	0	0	24.62136	0	0	0	13.85093	7.21346	39.7526	0	0	0	3.9221	0	0	0.65364	2.14018	0	0	0	0	0	0	0	0	0	0
GF14_c_d78_stool	4.35464	0	0	0	0	0	38.07421	0	0	0	7.60701	5.29997	36.15565	0	0	0	3.00886	0	0	0	5.49967	0	0	0	0	0	0	0	0	0	0
GF14_c1_d130_colon	0	0	0	0	0	0	0	0	0	0	99.43245	0.33654	0	0	0	0	0	0	0	0	0.23102	0	0	0	0	0	0	0	0	0	0
GF14_c2_d130_colon	0	0	0	0	0	0	0	0	0	0	96.39885	0.16994	0	0	0	0	3.4312	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_c3_d130_colon	0	0	0	0	0	0	0	0	0	0	99.96666	0.03334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_Cdam_d18_stool	5.58039	0	0	0	0	0	32.7715	0	0	0	7.03101	6.1202	35.31689	0	0	0	2.84631	0	0	0.0235	10.31021	0	0	0	0	0	0	0	0	0	0
GF14_cdam_d5_stool	0	0	0	0	0	0	44.73751	0	0	0	10.90137	9.95007	17.50428	0	0	0	8.57699	0	0	0.01807	8.31171	0	0	0	0	0	0	0	0	0	0
GF14_Cdam_d51_stool	1.52863	0	0	0	0	0	32.40084	0	0	0	10.5792	6.12291	42.7824	0	0	0	2.21572	0	0	0.5365	3.8338	0	0	0	0	0	0	0	0	0	0
GF14_Cdam_d59_stool	3.0847	0	0	0	0	0	51.27871	0	0	0	4.46698	4.19106	28.73868	0	0	0	3.8904	0	0	0.27361	4.07586	0	0	0	0	0	0	0	0	0	0
GF14_Cdam_d9_stool	0.31647	0	0	0	0	0	37.88167	0	0	0	11.84187	10.76301	25.97501	0	0	0	6.81397	0	0	0.81865	5.58936	0	0	0	0	0	0	0	0	0	0
GF14_d67_A1_stool	0	0	0	0	0	0	0	0	0	0	95.83378	0.18321	0	0	0	0	3.98301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A2_stool	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A3_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A4_stool	0	0	0	0	0	0	0	0	0	0	99.16521	0	0	0	0	0	0.83479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A5_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A6_stool	0	0	0	0	0	0	0	0	0	0	92.29955	0	0	0	0	0	7.70045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A7_stool	0	0	0	0	0	0	0	0	0	0	57.30991	0	0	0	0	0	42.69009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A8_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d67_A9_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A1_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A10_colon	0	0	0	0	0	0	0	0	0	0	99.26074	0.58004	0	0	0	0	0	0	0	0	0.15921	0	0	0	0	0	0	0	0	0	0
GF14_d68_A2_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A3_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A4_colon	0	0	0	0	0	0	0	0	0	0	98.00824	1.28748	0	0	0	0	0.70428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A5_colon	0	0	0	0	0	0	0	0	0	0	96.90111	0	0	0	0	0	3.09889	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A6_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A7_colon	0	0	0	0	0	0	0	0	0	0	80.52224	0	0	0	0	0	19.47776	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A8_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d68_A9_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF14_d89_B1_stool	0	0	0	0	0	0	0	0	0	0	96.01039	3.04599	0	0	0	0	0	0	0	0	0.94362	0	0	0	0	0	0	0	0	0	0
GF14_d89_B2_stool	0	0	0	0	0	0	0	0	0	0	97.56582	1.35039	0	0	0	0	0	0	0	0	1.08379	0	0	0	0	0	0	0	0	0	0
GF14_d89_B3_stool	0	0	0	0	0	0	0	0	0	0	97.47673	1.33721	0	0	0	0	0	0	0	0	1.18606	0	0	0	0	0	0	0	0	0	0
GF14_d90_B2_stool	0	0	0	0	0	0	0	0	0	0	95.57156	3.39684	0	0	0	0	0	0	0	0	1.0316	0	0	0	0	0	0	0	0	0	0
GF14_d90_B3_stool	0	0	0	0	0	0	0	0	0	0	95.21931	2.19814	0.55081	0	0	0	0	0	0	0	2.03174	0	0	0	0	0	0	0	0	0	0
GF14_d91_B2_stool	0	0	0	0	0	0	0.05535	0	0	0	98.46693	0.93926	0	0	0	0	0	0	0	0	0.53846	0	0	0	0	0	0	0	0	0	0
GF14_INOC	0.07584	0	0	0	0	0	5.89817	0	0	0	66.42928	7.39196	6.1927	0	0	0	0.26793	0	0	0	2.27819	0	0	0	0	0	0	0.19114	0	11.2748	0
GF15_A_Dam_d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A_Dam_d21	7.98748	0	0	0	61.25992	0	23.45158	0	0	0	2.36049	0.81905	0	0	0	0	0	0	0	1.05869	2.79447	0	0	0	0	0	0	0	0	0.26832	0
GF15_a1_d106_stool	0	0	0	0	2.36014	0	0.31706	0	0	0	92.50055	4.41948	0	0	0	0	0	0	0	0	0.40276	0	0	0	0	0	0	0	0	0	0
GF15_A1_d108_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A1_d32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A1_d35_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A1_d72_stool	0	0	0	0	1.83142	0	6.74183	0	0	0	85.4184	4.5672	0	0	0	0	0	0	0	0	1.44116	0	0	0	0	0	0	0	0	0	0
GF15_a1_d74_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a2_d105_stool	0	0	0	0	9.05494	0	0.7381	0	0	0	81.25841	8.60455	0	0	0	0	0	0	0	0	0.344	0	0	0	0	0	0	0	0	0	0
GF15_a2_d106_stool	0	0	0	0	5.92582	0	12.23492	0	0	0	67.08513	13.16808	0	0	0	0	0	0	0	0	1.58604	0	0	0	0	0	0	0	0	0	0
GF15_A2_d108_colon	0	0	0	0	0.99325	0	0	0	0	0	99.00675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A2_d32	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a3_d105_stool	0	0	0	0	11.68336	0	0	0	0	0	84.95119	3.36545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A3_d108_colon	0	0	0	0	1.71166	0	0	0	0	0	87.8533	0	0	0	0	0	10.43503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A3_d32	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A3_d33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A3_d35_colon	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a3_d74_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a4_d105_stool	0	0	0	0	0.77304	0	0	0	0	0	98.71458	0.51238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A4_d108_colon	0	0	0	0	1.39055	0	0	0	0	0	17.61284	0	0	0	0	0	80.9966	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A4_d32	0	0	0	0	2.47262	0	0.68785	0	0	0	92.30685	3.45339	0	0	0	0	0	0	0	0.00641	1.07288	0	0	0	0	0	0	0	0	0	0
GF15_a5_d105_stool	0	0	0	0	2.12712	0	3.00856	0	0	0	82.63935	11.3649	0	0	0	0	0	0	0	0	0.86007	0	0	0	0	0	0	0	0	0	0
GF15_A5_d108_colon	0	0	0	0	1.34013	0	0	0	0	0	98.65987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A5_d32	0	0	0	0	1.40356	0	1.39342	0	0	0	95.62298	0.45719	0	0	0	0	0	0	0	0	1.12285	0	0	0	0	0	0	0	0	0	0
GF15_A5_d35_colon	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a5_d71_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a6_d105_stool	0	0	0	0	0.57734	0	0	0	0	0	94.32022	5.05005	0	0	0	0	0	0	0	0	0.0524	0	0	0	0	0	0	0	0	0	0
GF15_A6_d108_colon	0	0	0	0	0	0	0	0	0	0	97.13518	0	0	0	0	0	2.86482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A6_d32_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a6_d74_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_A7_d108_colon	0	0	0	0	5.3241	0	0	0	0	0	94.6759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a7_d74_colon	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a8_d105_stool	0	0	0	0	0.48668	0	6.3485	0	0	0	85.81328	6.05234	0	0	0	0	0	0	0	0	1.29921	0	0	0	0	0	0	0	0	0	0
GF15_A8_d108_colon	0	0	0	0	1.24545	0	0	0	0	0	44.71665	0	0	0	0	0	54.0379	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a8_d74_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_a9_d105_stool	0	0	0	0	0.425	0	0.29383	0	0	0	97.35575	1.7087	0	0	0	0	0	0	0	0	0.21671	0	0	0	0	0	0	0	0	0	0
GF15_a9_d106_stool	0	0	0	0	2.18737	0	5.25043	0	0	0	82.55986	8.86175	0	0	0	0	0	0	0	0	1.1406	0	0	0	0	0	0	0	0	0	0
GF15_A9_d108_colon	0	0	0	0	1.29161	0	0	0	0	0	98.70839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_adam_d11_stool	7.16306	0	0	0	75.43778	0	8.62372	0	0	0	2.72679	2.95342	0	0	0	0	0	0	0	1.03901	2.05621	0	0	0	0	0	0	0	0	0	0
GF15_adam_d18_stool	6.8009	0	0	0	68.65905	0	13.80111	0	0	0	3.5294	2.66475	0	0	0	0	0.03817	0	0	0.88379	2.95245	0	0	0	0	0	0	0	0	0.67038	0
GF15_Adam_d5_stool	7.28403	0	0	0	73.70994	0	10.61676	0	0	0	3.08409	1.77612	0	0	0	0	0.75482	0	0	0.92458	1.84964	0	0	0	0	0	0	0	0	0	0
GF15_b_d5_stool	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B1_d32	0	0	0	0	2.61814	0	3.23806	0	0	0	89.43693	3.31209	0	0	0	0	0	0	0	0	1.39478	0	0	0	0	0	0	0	0	0	0
GF15_B1_d35_colon	0	0	0	0	0	0	0	0	0	0	80.80822	0	0	0	0	0	19.19178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B1_d94_stool	0	0	0	0	0.12142	0	0	0	0	0	98.91072	0.96787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b1_d97_colon	0	0	0	0	0	0	0	0	0	0	90.79587	0	0	0	0	0	9.20413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b10_d94_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B10_d97_colon	0	0	0	0	0	0	0	0	0	0	91.36118	0	0	0	0	0	8.63882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B2_d32	0	0	0	0	2.10322	0	2.53416	0	0	0	91.90997	2.10123	0	0	0	0	0	0	0	0	1.35143	0	0	0	0	0	0	0	0	0	0
GF15_B2_d33	0	0	0	0	2.97421	0	4.00589	0	0	0	90.10683	2.33712	0	0	0	0	0	0	0	0	0.57595	0	0	0	0	0	0	0	0	0	0
GF15_B2_d35_colon	0	0	0	0	0	0	0	0	0	0	70.05452	0	0	0	0	0	29.94548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b2_d94_stool	0	0	0	0	0.30691	0	0	0	0	0	95.71565	3.97744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b2_d95_stool	0	0	0	0	1.10231	0	1.09603	0	0	0	80.46473	16.94407	0	0	0	0	0	0	0	0	0.39285	0	0	0	0	0	0	0	0	0	0
GF15_b2_d97_colon	0	0	0	0	0	0	0	0	0	0	80.30445	0	0	0	0	0	19.69555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B3_d34	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B3_d35_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b3_d94_stool	0	0	0	0	0	0	0	0	0	0	99.90739	0.09261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b3_d97_colon	0	0	0	0	0	0	0	0	0	0	92.16345	0	0	0	0	0	7.83655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b4_d106_stool	0	0	0	0	1.63526	0	6.28735	0	0	0	80.60567	8.98246	0	0	0	0	0.73243	0	0	0	1.75683	0	0	0	0	0	0	0	0	0	0
GF15_B4_d32	0	0	0	0	1.20736	0	1.33209	0	0	0	92.68832	3.94313	0	0	0	0	0	0	0	0	0.82911	0	0	0	0	0	0	0	0	0	0
GF15_B4_d33	0	0	0	0	1.44397	0	2.14687	0	0	0	92.1294	3.66062	0	0	0	0	0	0	0	0	0.61914	0	0	0	0	0	0	0	0	0	0
GF15_B4_d34	0	0	0	0	0	0	0	0	0	0	87.05681	0	0	0	0	0	12.94319	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B4_d35_colon	0	0	0	0	0.09888	0	0	0	0	0	66.39107	0	0	0	0	0	33.51004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b4_d96_stool	0	0	0	0	0	0	0	0	0	0	95.00385	0.16208	0	0	0	0	4.65751	0	0	0	0.17656	0	0	0	0	0	0	0	0	0	0
GF15_b4_d97_colon	0	0	0	0	0	0	0	0	0	0	33.63712	51.62486	0	0	0	0	14.73802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b5_d107_stool	0	0	0	0	1.71679	0	0.3784	0	0	0	90.51324	6.31782	0	0	0	0	0	0	0	0	1.07375	0	0	0	0	0	0	0	0	0	0
GF15_B5_d32	0	0	0	0	1.35107	0	0	0	0	0	98.14024	0.50869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B5_d35_colon	0	0	0	0	0	0	0	0	0	0	73.22817	0	0	0	0	0	26.77183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b5_d94_stool	0	0	0	0	0.13788	0	0	0	0	0	99.79318	0.06894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b5_d95_stool	0	0	0	0	0.99496	0	4.58545	0	0	0	89.04004	4.24791	0	0	0	0	0	0	0	0	1.13163	0	0	0	0	0	0	0	0	0	0
GF15_b5_d97_colon	0	0	0	0	0	0	0	0	0	0	89.26843	0	0	0	0	0	10.73157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B6_d32	0	0	0	0	0.11474	0	0	0	0	0	99.88526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B6_d34_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b6_d94_stool	0	0	0	0	0.1402	0	0	0	0	0	99.74027	0.11953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b6_d95_stool	0	0	0	0	0.13277	0	0	0	0	0	99.09885	0.76838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b6_d97_colon	0	0	0	0	0	0	0	0	0	0	81.66084	0	0	0	0	0	18.33916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B7_d32	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B7_d33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B7_d35_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b7_d97_colon	0	0	0	0	0	0	0	0	0	0	95.66303	0	0	0	0	0	4.33697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b8_d94_stool	0	0	0	0	1.79888	0	0	0	0	0	97.50349	0.69763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b8_d97_colon	0	0	0	0	0	0	0	0	0	0	81.36153	0	0	0	0	0	18.63847	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_b9_d106_stool	0	0	0	0	1.33937	0	0	0	0	0	98.56422	0	0	0	0	0	0	0	0	0	0.09641	0	0	0	0	0	0	0	0	0	0
GF15_b9_d94_stool	0	0	0	0	1.27245	0	0	0	0	0	95.69458	3.03297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_B9_d97_colon	0	0	0	0	0	0	0	0	0	0	89.79733	0	0	0	0	0	10.20267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_bdam_d18_stool	8.15404	0	0	0	57.58911	0	20.77603	0	0	0	3.8883	3.98613	0	0	0	0	0.53098	0	0	0.52792	4.08736	0	0	0	0	0	0	0	0	0.46012	0
GF15_c_d18_stool	8.85879	0	0	0	64.12989	0	14.25133	0	0	0	3.69203	4.94038	0	0	0	0	0.10092	0	0	1.63481	2.15001	0	0	0	0	0	0	0	0	0.24183	0
GF15_c1_d105_stool	0	0	0	0	0	0	0	0	0	0	98.1717	1.8283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c1_d108_colon	0	0	0	0	0.75489	0	0	0	0	0	89.98966	0.20128	0	0	0	0	9.05417	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_C1_d36	0	0	0	0	0.57349	0	0	0	0	0	53.2484	42.93361	0	0	0	0	3.24449	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_C1_d37	0	0	0	0	2.13341	0	0	0	0	0	77.06393	11.87903	0	0	0	0	8.92363	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_C1_d39_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c1_d74_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c2_d105_stool	0	0	0	0	0.0782	0	0	0	0	0	95.43287	4.48893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c2_d108_colon	0	0	0	0	1.03642	0	0	0	0	0	92.87091	0.1436	0	0	0	0	5.94907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_C2_d36	0	0	0	0	0	0	0	0	0	0	90.78979	9.21021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_C2_d37	0	0	0	0	1.27179	0	0.08891	0	0	0	88.7058	8.73129	0	0	0	0	0.86838	0	0	0	0.33382	0	0	0	0	0	0	0	0	0	0
GF15_C2_d39_colon	0	0	0	0	0	0	0	0	0	0	98.48788	0	0	0	0	0	1.51212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c2_d73_16_stool	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF15_c2_d74_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
