Sample	taxa	abundance
B6-d39	c__Gammaproteobacteria	9.2516
B6-d39	c__Bacilli	2.37694
B6-d39	c__Negativicutes	0.24722
B6-d40	c__Clostridia	61.49008
B6-d40	c__Erysipelotrichia	17.52628
B6-d40	c__Gammaproteobacteria	14.4953
B6-d40	c__Negativicutes	3.91026
B6-d40	c__Bacilli	2.57808
B6-d48	c__Clostridia	65.43913
B6-d48	c__Erysipelotrichia	16.60002
B6-d48	c__Negativicutes	6.37887
B6-d48	c__Gammaproteobacteria	5.88894
B6-d48	c__Tissierellia	1.85976
B6-d48	c__Epsilonproteobacteria	1.53435
B6-d48	c__Bacilli	1.50739
B6-d48	c__Actinobacteria	0.79154
B7-d29	c__Gammaproteobacteria	99.59761
B7-d29	c__Bacilli	0.40239
b7-d33	c__Gammaproteobacteria	77.81216
b7-d33	c__Clostridia	16.37161
b7-d33	c__Bacilli	5.27567
b7-d33	c__Erysipelotrichia	0.54056
B7-d40	c__Clostridia	46.15338
B7-d40	c__Erysipelotrichia	25.2548
B7-d40	c__Gammaproteobacteria	19.80448
B7-d40	c__Bacilli	4.71936
B7-d40	c__Negativicutes	4.06799
B7-d48	c__Clostridia	62.59947
B7-d48	c__Erysipelotrichia	19.04269
B7-d48	c__Negativicutes	6.16162
B7-d48	c__Gammaproteobacteria	5.41664
B7-d48	c__Tissierellia	2.27787
B7-d48	c__Actinobacteria	1.8771
B7-d48	c__Epsilonproteobacteria	1.45257
B7-d48	c__Bacilli	1.17204
C1	c__Clostridia	79.72532
C1	c__Gammaproteobacteria	12.81694
C1	c__Erysipelotrichia	6.0592
C1	c__Bacilli	1.257
C1	c__Negativicutes	0.14154
C1-d33	c__Gammaproteobacteria	96.69348
C1-d33	c__Bacilli	3.19563
C1-d33	c__Clostridia	0.11089
C1-d44	c__Clostridia	66.25834
C1-d44	c__Erysipelotrichia	17.6158
C1-d44	c__Gammaproteobacteria	14.85811
C1-d44	c__Bacilli	1.26775
C1-d45	c__Clostridia	85.85821
C1-d45	c__Erysipelotrichia	9.9528
C1-d45	c__Gammaproteobacteria	3.74931
C1-d45	c__Bacilli	0.43969
C1-d53	c__Clostridia	67.53988
C1-d53	c__Erysipelotrichia	16.9789
C1-d53	c__Gammaproteobacteria	8.13504
C1-d53	c__Negativicutes	5.88135
C1-d53	c__Bacilli	1.46484
C19	c__Clostridia	72.72041
C19	c__Erysipelotrichia	14.51288
C19	c__Gammaproteobacteria	3.93751
C19	c__Negativicutes	3.66717
C19	c__Tissierellia	1.58305
C19	c__Bacilli	1.54636
C19	c__Epsilonproteobacteria	1.11509
C19	c__Actinobacteria	0.91754
C2-colon	c__Clostridia	74.41438
C2-colon	c__Erysipelotrichia	15.92951
C2-colon	c__Gammaproteobacteria	4.44684
C2-colon	c__Negativicutes	4.34394
C2-colon	c__Bacilli	0.80869
C2-colon	c__Actinobacteria	0.05664
C2-d33	c__Gammaproteobacteria	100
C2-d37	c__Gammaproteobacteria	69.08031
C2-d37	c__Clostridia	14.88151
C2-d37	c__Bacilli	11.64609
C2-d37	c__Erysipelotrichia	4.3921
C2-d44	c__Clostridia	73.93114
C2-d44	c__Erysipelotrichia	13.46237
C2-d44	c__Gammaproteobacteria	11.16746
C2-d44	c__Bacilli	1.43903
C2-d45	c__Clostridia	53.97723
C2-d45	c__Erysipelotrichia	33.57691
C2-d45	c__Gammaproteobacteria	9.21207
C2-d45	c__Bacilli	3.23379
C2-d49	c__Clostridia	61.323
C2-d49	c__Erysipelotrichia	23.59549
C2-d49	c__Gammaproteobacteria	10.53664
C2-d49	c__Negativicutes	2.61558
C2-d49	c__Bacilli	1.92929
C2-d53	c__Clostridia	69.69687
C2-d53	c__Erysipelotrichia	16.25061
C2-d53	c__Gammaproteobacteria	7.19481
C2-d53	c__Negativicutes	5.69433
C2-d53	c__Bacilli	1.16338
C3	c__Clostridia	63.90964
C3	c__Gammaproteobacteria	19.58402
C3	c__Erysipelotrichia	12.8492
C3	c__Bacilli	2.04457
C3	c__Negativicutes	1.61258
C3-colon	c__Clostridia	74.81502
C3-colon	c__Erysipelotrichia	18.51596
C3-colon	c__Negativicutes	3.17716
C3-colon	c__Gammaproteobacteria	2.33101
C3-colon	c__Bacilli	1.16085
C3-d33	c__Gammaproteobacteria	97.0409
C3-d33	c__Bacilli	2.77912
C3-d33	c__Clostridia	0.17999
C3-d44	c__Clostridia	69.05729
C3-d44	c__Erysipelotrichia	19.78618
C3-d44	c__Gammaproteobacteria	10.03222
C3-d44	c__Bacilli	1.1243
C3-d45	c__Clostridia	69.64693
C3-d45	c__Erysipelotrichia	16.33307
C3-d45	c__Gammaproteobacteria	12.79533
C3-d45	c__Bacilli	1.22467
C3-d53	c__Clostridia	64.89535
C3-d53	c__Erysipelotrichia	20.6894
C3-d53	c__Gammaproteobacteria	6.82437
C3-d53	c__Negativicutes	6.45614
C3-d53	c__Bacilli	1.13475
C4-d33	c__Gammaproteobacteria	55.13516
C4-d33	c__Bacilli	39.26759
C4-d33	c__Clostridia	5.59725
C4-d44	c__Clostridia	72.98907
C4-d44	c__Erysipelotrichia	15.82774
C4-d44	c__Gammaproteobacteria	9.63148
C4-d44	c__Bacilli	1.52302
C4-d44	c__Negativicutes	0.02869
C4-d45	c__Clostridia	66.96884
C4-d45	c__Erysipelotrichia	30.62652
C4-d45	c__Gammaproteobacteria	2.40464
C4-d53	c__Clostridia	70.86327
C4-d53	c__Erysipelotrichia	14.67526
C4-d53	c__Gammaproteobacteria	7.05318
C4-d53	c__Negativicutes	6.13363
C4-d53	c__Bacilli	1.27466
C5-d34	c__Bacilli	71.29989
C5-d34	c__Gammaproteobacteria	17.46433
C5-d34	c__Clostridia	10.99422
C5-d34	c__Erysipelotrichia	0.24155
C5-d44	c__Clostridia	71.48558
C5-d44	c__Erysipelotrichia	19.02976
C5-d44	c__Gammaproteobacteria	7.81436
C5-d44	c__Bacilli	1.6703
C5-d45	c__Clostridia	76.69648
C5-d45	c__Erysipelotrichia	16.02173
C5-d45	c__Gammaproteobacteria	5.70595
C5-d45	c__Bacilli	1.57584
C5-d53	c__Clostridia	71.1498
C5-d53	c__Erysipelotrichia	15.24924
C5-d53	c__Gammaproteobacteria	6.60598
C5-d53	c__Negativicutes	5.78406
C5-d53	c__Bacilli	1.21093
C6-d33	c__Bacilli	86.44359
C6-d33	c__Gammaproteobacteria	13.45539
C6-d33	c__Clostridia	0.10102
C6-d37	c__Gammaproteobacteria	60.15451
C6-d37	c__Bacilli	34.09464
C6-d37	c__Clostridia	4.7698
C6-d37	c__Erysipelotrichia	0.98104
C6-d44	c__Clostridia	53.23836
C6-d44	c__Erysipelotrichia	22.64526
C6-d44	c__Gammaproteobacteria	21.39518
C6-d44	c__Bacilli	2.72121
C6-d49	c__Clostridia	75.09269
C6-d49	c__Erysipelotrichia	15.67005
C6-d49	c__Negativicutes	4.08214
C6-d49	c__Gammaproteobacteria	3.84863
C6-d49	c__Bacilli	1.30648
C6-d53	c__Clostridia	75.19974
C6-d53	c__Erysipelotrichia	12.22493
C6-d53	c__Gammaproteobacteria	5.92764
C6-d53	c__Negativicutes	5.34375
C6-d53	c__Bacilli	1.14587
C6-d53	c__Tissierellia	0.15807
C7-d33	c__Bacilli	58.84773
C7-d33	c__Gammaproteobacteria	39.77232
C7-d33	c__Clostridia	1.37995
C7-d38	c__Gammaproteobacteria	62.78046
C7-d38	c__Bacilli	16.63315
C7-d38	c__Clostridia	11.42444
C7-d38	c__Erysipelotrichia	9.16195
C7-d44	c__Clostridia	62.99491
C7-d44	c__Erysipelotrichia	20.0141
C7-d44	c__Gammaproteobacteria	15.46695
C7-d44	c__Bacilli	1.52403
C7-d45	c__Clostridia	73.35022
C7-d45	c__Erysipelotrichia	15.03512
C7-d45	c__Gammaproteobacteria	10.02705
C7-d45	c__Bacilli	1.58762
C7-d53	c__Clostridia	61.6641
C7-d53	c__Erysipelotrichia	19.81234
C7-d53	c__Gammaproteobacteria	10.62078
C7-d53	c__Negativicutes	6.03236
C7-d53	c__Bacilli	1.79079
C7-d53	c__Actinobacteria	0.07964
C8-d35	c__Gammaproteobacteria	93.05069
C8-d35	c__Bacilli	5.67263
C8-d35	c__Clostridia	1.27668
