Sample	Genus	Abundance
GF20_d0_inoc	Enterococcus	34.77182
GF20_d0_inoc	Anaerococcus	28.40982
GF20_d0_inoc	Varibaculum	13.35631
GF20_d0_inoc	Finegoldia	8.00946
GF20_d0_inoc	Bifidobacterium	6.23767
GF20_d0_inoc	Escherichia	3.15082
GF20_d0_inoc	Streptococcus	2.47017
GF20_d0_inoc	Clostridium	1.57718
GF20_d0_inoc	Citrobacter	1.3836
GF20_d0_inoc	Staphylococcus	0.37415
GF20_d0_inoc	Veillonella	0.25901
GF20_d161_b6	Escherichia	91.24548
GF20_d161_b6	Citrobacter	8.70335
GF20_d161_b6	Bifidobacterium	0.05118
GF20_d35_a3	Escherichia	68.87012
GF20_d35_a3	Morganella	24.68436
GF20_d35_a3	Citrobacter	6.20198
GF20_d35_a3	Pseudomonas	0.24354
GF23_d19_dama	Clostridium	59.98579
GF23_d19_dama	Clostridioides	15.08686
GF23_d19_dama	Erysipelatoclostridium	7.55259
GF23_d19_dama	Varibaculum	5.03338
GF23_d19_dama	Enterococcus	4.32707
GF23_d19_dama	Escherichia	3.78747
GF23_d19_dama	Proteus	1.90364
GF23_d19_dama	Morganella	0.90098
GF23_d19_dama	Bifidobacterium	0.47033
GF23_d19_dama	Citrobacter	0.44737
GF23_d19_dama	Finegoldia	0.37881
GF23_d19_dama	Klebsiella	0.06516
GF23_d19_dama	Anaerococcus	0.06055
GF23_d35_c1	Klebsiella	99.1755
GF23_d35_c1	Escherichia	0.8245
GF23_d47_dama	Varibaculum	50.32305
GF23_d47_dama	Clostridium	14.54251
GF23_d47_dama	Escherichia	9.84813
GF23_d47_dama	Morganella	6.52505
GF23_d47_dama	Enterococcus	5.00091
GF23_d47_dama	Bifidobacterium	3.68239
GF23_d47_dama	Erysipelatoclostridium	3.1011
GF23_d47_dama	Clostridioides	2.56214
GF23_d47_dama	Citrobacter	2.21644
GF23_d47_dama	Klebsiella	1.12291
GF23_d47_dama	Proteus	0.85861
GF23_d47_dama	Finegoldia	0.21676
GF23_d47_damc	Varibaculum	32.19154
GF23_d47_damc	Erysipelatoclostridium	15.43613
GF23_d47_damc	Enterococcus	12.68241
GF23_d47_damc	Escherichia	11.33379
GF23_d47_damc	Clostridium	8.37576
GF23_d47_damc	Morganella	5.25822
GF23_d47_damc	Clostridioides	3.48915
GF23_d47_damc	Citrobacter	3.37564
GF23_d47_damc	Proteus	2.92759
GF23_d47_damc	Bifidobacterium	2.91932
GF23_d47_damc	Klebsiella	1.02867
GF23_d47_damc	Finegoldia	0.84491
GF23_d47_damc	Anaerococcus	0.13687
GF23_d52_a1	Klebsiella	72.77727
GF23_d52_a1	Escherichia	27.22273
GF23_d52_a6	Klebsiella	94.3887
GF23_d52_a6	Escherichia	3.72419
GF23_d52_a6	Citrobacter	1.50268
GF23_d52_a6	Proteus	0.29416
GF23_d52_a6	Enterococcus	0.09027
GF23_d56_c2	Klebsiella	86.89282
GF23_d56_c2	Escherichia	12.65785
GF23_d56_c2	Enterococcus	0.44933
GF23_d57_c4	Escherichia	90.12424
GF23_d57_c4	Klebsiella	9.87576
GF23_d57_c5	Escherichia	100
GF23_damA_32_stool	Varibaculum	46.85998
GF23_damA_32_stool	Escherichia	13.29059
GF23_damA_32_stool	Clostridium	10.89855
GF23_damA_32_stool	Morganella	6.84241
GF23_damA_32_stool	Enterococcus	6.66451
GF23_damA_32_stool	Erysipelatoclostridium	5.40589
GF23_damA_32_stool	Citrobacter	4.43937
GF23_damA_32_stool	Klebsiella	1.83607
GF23_damA_32_stool	Clostridioides	1.58928
GF23_damA_32_stool	Proteus	1.18115
GF23_damA_32_stool	Bifidobacterium	0.98403
GF23_damA_32_stool	Finegoldia	0.00817
GF23_damC_10_stool	Bifidobacterium	37.25817
GF23_damC_10_stool	Clostridium	27.65855
GF23_damC_10_stool	Clostridioides	20.19753
GF23_damC_10_stool	Enterococcus	3.85513
GF23_damC_10_stool	Erysipelatoclostridium	3.70466
GF23_damC_10_stool	Proteus	2.92418
GF23_damC_10_stool	Escherichia	1.88358
GF23_damC_10_stool	Morganella	1.63256
GF23_damC_10_stool	Citrobacter	0.42063
GF23_damC_10_stool	Finegoldia	0.21733
GF23_damC_10_stool	Klebsiella	0.17245
GF23_damC_10_stool	Anaerococcus	0.07523
GF23_damC_32_stool	Varibaculum	55.23432
GF23_damC_32_stool	Escherichia	10.33187
GF23_damC_32_stool	Clostridium	9.50382
GF23_damC_32_stool	Morganella	5.09226
