Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae,Campylobacteraceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Sphingomonadaceae,Corynebacteriaceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF24_A3_39_cwash,0,0,0,0,57.47634,0,23.33109,0,0,0,0,0.08189,19.11068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_d108_cwash,0,0.28492,0,0,85.45194,0,10.44087,0,0,0,0,1.36142,0.93959,1.52126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_d131_cwash,0,0,0,0,91.90315,0,5.40634,0,0,0,0,0,1.34389,1.34662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_38_stool,0.63703,1.34371,0,0,47.81437,0,39.84593,0,0,0.00811,0,3.90359,6.44724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_39_cwash,0,2.58502,0,0,19.92799,0,59.81052,0,0,0,0,7.4607,10.21578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d108_cwash,0,0,0,0,86.4956,0,5.96435,0,0,0,0,0,0,7.54005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d131_cwash,0,2.44073,0,0,91.95874,0,2.78975,0,0,0,0,0.01349,0,2.79728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d74_cwash,0,2.14616,0,0,86.70327,0,0.70412,0,0,0,0,0,0,10.44646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A5_d108_cwash,0,0.28981,0,0,88.21968,0,8.6685,0,0,0,0,0.51196,0.85849,1.45155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A5_d131_cwash,0,2.14237,0,0,85.1713,0,0,0,0,11.6068,0,0.72201,0,0.35751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
