Sample	Order	Abundance
GF24_A4_39_cwash	Enterobacterales	19.92799
GF24_A4_39_cwash	Erysipelotrichales	10.21578
GF24_A4_39_cwash	Lactobacillales	2.58502
GF24_A4_d108_cwash	Enterobacterales	86.4956
GF24_A4_d108_cwash	Burkholderiales	7.54005
GF24_A4_d108_cwash	Clostridiales	5.96435
GF24_A4_d131_cwash	Enterobacterales	91.95874
GF24_A4_d131_cwash	Clostridiales	2.80325
GF24_A4_d131_cwash	Burkholderiales	2.79728
GF24_A4_d131_cwash	Lactobacillales	2.44073
GF24_A4_d74_cwash	Enterobacterales	86.70327
GF24_A4_d74_cwash	Burkholderiales	10.44646
GF24_A4_d74_cwash	Lactobacillales	2.14616
GF24_A4_d74_cwash	Clostridiales	0.70412
GF24_A5_d108_cwash	Enterobacterales	88.21968
GF24_A5_d108_cwash	Clostridiales	9.18046
GF24_A5_d108_cwash	Burkholderiales	1.45155
GF24_A5_d108_cwash	Erysipelotrichales	0.85849
GF24_A5_d108_cwash	Lactobacillales	0.28981
GF24_A5_d131_cwash	Enterobacterales	96.77811
GF24_A5_d131_cwash	Lactobacillales	2.14237
GF24_A5_d131_cwash	Clostridiales	0.72201
GF24_A5_d131_cwash	Burkholderiales	0.35751
GF24_A5_d74_cwash	Enterobacterales	87.22889
GF24_A5_d74_cwash	Clostridiales	8.72613
GF24_A5_d74_cwash	Erysipelotrichales	3.65708
GF24_A5_d74_cwash	Lactobacillales	0.30118
GF24_A5_d74_cwash	Burkholderiales	0.08672
GF24_A6_36_stool	Enterobacterales	100
GF24_A6_39_cwash	Clostridiales	58.85932
GF24_A6_39_cwash	Enterobacterales	32.67839
GF24_A6_39_cwash	Erysipelotrichales	7.09301
GF24_A6_39_cwash	Lactobacillales	1.36928
GF24_A6_d108_cwash	Enterobacterales	98.73138
GF24_A6_d108_cwash	Burkholderiales	1.10109
GF24_A6_d108_cwash	Clostridiales	0.16753
GF24_A6_d131_cwash	Enterobacterales	85.83034
GF24_A6_d131_cwash	Clostridiales	10.87601
GF24_A6_d131_cwash	Erysipelotrichales	2.36883
GF24_A6_d131_cwash	Burkholderiales	0.92482
GF24_A6_d74_cwash	Enterobacterales	98.34325
GF24_A6_d74_cwash	Burkholderiales	1.65675
GF24_A7_36_stool	Enterobacterales	100
GF24_A7_37_stool	Enterobacterales	100
GF24_A7_39_cwash	Clostridiales	47.37209
GF24_A7_39_cwash	Enterobacterales	42.20771
GF24_A7_39_cwash	Erysipelotrichales	8.4463
GF24_A7_39_cwash	Lactobacillales	1.9739
GF24_A7_d108_cwash	Enterobacterales	94.61528
GF24_A7_d108_cwash	Erysipelotrichales	2.38316
GF24_A7_d108_cwash	Burkholderiales	1.64576
GF24_A7_d108_cwash	Clostridiales	1.32774
GF24_A7_d108_cwash	Lactobacillales	0.02807
GF24_A7_d131_cwash	Enterobacterales	88.38884
GF24_A7_d131_cwash	Burkholderiales	10.62517
GF24_A7_d131_cwash	Clostridiales	0.986
GF24_A7_d74_cwash	Enterobacterales	99.63955
GF24_A7_d74_cwash	Burkholderiales	0.36045
GF24_A8_d108_cwash	Enterobacterales	92.99341
GF24_A8_d108_cwash	Burkholderiales	7.00659
GF24_A8_d131_cwash	Enterobacterales	90.52903
GF24_A8_d131_cwash	Burkholderiales	9.47097
GF24_A9_d108_cwash	Enterobacterales	96.30511
GF24_A9_d108_cwash	Lactobacillales	2.19589
GF24_A9_d108_cwash	Clostridiales	1.45036
GF24_A9_d108_cwash	Burkholderiales	0.04864
GF24_A9_d131_cwash	Enterobacterales	98.95977
GF24_A9_d131_cwash	Burkholderiales	0.57456
GF24_A9_d131_cwash	Lactobacillales	0.41796
GF24_A9_d131_cwash	Clostridiales	0.0477
GF24_Adam_d100_stool	Enterobacterales	39.25376
GF24_Adam_d100_stool	Clostridiales	25.81957
GF24_Adam_d100_stool	Lactobacillales	14.36591
GF24_Adam_d100_stool	Actinomycetales	10.66965
GF24_Adam_d100_stool	Erysipelotrichales	6.96767
GF24_Adam_d100_stool	Tissierellales	2.92344
GF24_B1_33_cwash	Enterobacterales	73.67745
GF24_B1_33_cwash	Clostridiales	13.34926
GF24_B1_33_cwash	Erysipelotrichales	12.97329
GF24_B1_64_cwash	Clostridiales	50.16676
GF24_B1_64_cwash	Enterobacterales	39.56651
GF24_B1_64_cwash	Erysipelotrichales	6.94088
GF24_B1_64_cwash	Lactobacillales	3.32586
GF24_B2_33_cwash	Enterobacterales	73.51365
GF24_B2_33_cwash	Clostridiales	20.87748
GF24_B2_33_cwash	Erysipelotrichales	5.50348
GF24_B2_33_cwash	Lactobacillales	0.10538
GF24_B2_64_cwash	Clostridiales	55.68899
GF24_B2_64_cwash	Enterobacterales	28.77639
GF24_B2_64_cwash	Erysipelotrichales	11.91985
GF24_B2_64_cwash	Lactobacillales	3.61477
GF24_B2_d74_cwash	Enterobacterales	88.02068
GF24_B2_d74_cwash	Clostridiales	8.82557
GF24_B2_d74_cwash	Lactobacillales	2.82407
GF24_B2_d74_cwash	Burkholderiales	0.32969
GF24_B3_33_cwash	Enterobacterales	72.52749
GF24_B3_33_cwash	Clostridiales	20.50085
GF24_B3_33_cwash	Erysipelotrichales	6.55996
GF24_B3_33_cwash	Lactobacillales	0.41171
GF24_B3_64_cwash	Clostridiales	59.16276
GF24_B3_64_cwash	Enterobacterales	24.34786
GF24_B3_64_cwash	Erysipelotrichales	14.98928
GF24_B3_64_cwash	Lactobacillales	1.5001
GF24_B3_d74_cwash	Enterobacterales	98.91517
GF24_B3_d74_cwash	Lactobacillales	0.477
GF24_B3_d74_cwash	Erysipelotrichales	0.38916
GF24_B3_d74_cwash	Clostridiales	0.21867
GF24_B4_33_cwash	Enterobacterales	75.9623
GF24_B4_33_cwash	Clostridiales	18.31976
GF24_B4_33_cwash	Erysipelotrichales	4.49591
GF24_B4_33_cwash	Lactobacillales	1.22202
GF24_B4_d73_stool	Enterobacterales	99.5613
GF24_B4_d73_stool	Lactobacillales	0.4387
GF24_B4_d74_cwash	Enterobacterales	93.20183
