Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter,Peptoniphilus,Campylobacter,Gemella,Bacteroides,Akkermansia,Lactobacillus,Blautia,Lachnoclostridium,Parasutterella,Proteobacteria_unclassified,Turicimonas,Sphingomonas,Negativicoccus,Actinomyces,Corynebacterium,Aeriscardovia,Mycobacteroides,Lachnospiraceae_unclassified,Acutalibacter,Anaerotruncus,Dorea,Enterorhabdus,Oscillibacter,Cutibacterium,Fusobacterium,Serratia,Leclercia,Pedobacter,Delftia,Paenibacillus,Acinetobacter
GF24_A1_d74_cwash,1.27674,0,0,0,0,0.90137,0,5.80864,0,0,0,0,0,0.7034,0.3969,0,90.19115,0.72182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A2_36_stool,3.12937,0,0,0,0,0.18359,0,2.11395,0,0,0,0,0,1.63314,0,0.89383,92.04611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A2_39_cwash,0.40511,0,0,0,0,5.97828,0,42.54257,0,0,0,0,0,4.59068,17.22617,0,29.25719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A2_d108_cwash,0.87623,0,0,0,0,0,0,2.48584,0,0,0,0,0,0.55795,0.97106,0,76.46441,18.64452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A2_d131_cwash,0.39337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.63788,3.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A2_d73_stool,1.24658,0,0,0,0,0,0,0,0,0,0,0,0,0.13054,0,0,98.62288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_37_stool,0.65955,0,0,0,0,0.22657,0,0,0,0,0,0,0,0,0,0,99.11388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_38_stool,2.44983,0,0,0.07579,0,23.52833,0,0.28434,0,0,0,0,0,0.91485,0,0,72.74686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_39_cwash,0,0,0,0,0,50.96611,0,23.33109,0,0,0,0,0,0.08189,19.11068,0,6.51023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_d108_cwash,0.28492,0,0,0,0,0,0,10.44087,0,0,0,0,0,1.36142,0.93959,0,85.45194,1.52126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A3_d131_cwash,0,0,0,0,0,0,0,5.40634,0,0,0,0,0,0,1.34389,0,91.90315,1.34662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_38_stool,1.34371,0,0,0.63703,0,2.30292,0,39.84593,0,0,0,0,0,3.90359,6.44724,0.00811,45.51146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_39_cwash,2.58502,0,0,0,0,10.61904,0,59.81052,0,0,0,0,0,7.4607,10.21578,0,9.30895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d108_cwash,0,0,0,0,0,0,0,5.96435,0,0,0,0,0,0,0,0,86.4956,7.54005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d131_cwash,2.44073,0,0,0,0,0,0,2.78975,0,0,0,0,0,0.01349,0,0,91.95874,2.79728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_A4_d74_cwash,2.14616,0,0,0,0,0,0,0.70412,0,0,0,0,0,0,0,0,86.70327,10.44646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
