Sample	Class	Abundance
GF24_A2_39_cwash	Gammaproteobacteria	35.23547
GF24_A2_39_cwash	Erysipelotrichia	17.22617
GF24_A2_39_cwash	Bacilli	0.40511
GF24_A2_d108_cwash	Gammaproteobacteria	76.46441
GF24_A2_d108_cwash	Betaproteobacteria	18.64452
GF24_A2_d108_cwash	Clostridia	3.04379
GF24_A2_d108_cwash	Erysipelotrichia	0.97106
GF24_A2_d108_cwash	Bacilli	0.87623
GF24_A2_d131_cwash	Gammaproteobacteria	95.63788
GF24_A2_d131_cwash	Betaproteobacteria	3.96875
GF24_A2_d131_cwash	Bacilli	0.39337
GF24_A2_d73_stool	Gammaproteobacteria	98.62288
GF24_A2_d73_stool	Bacilli	1.24658
GF24_A2_d73_stool	Clostridia	0.13054
GF24_A3_37_stool	Gammaproteobacteria	99.34045
GF24_A3_37_stool	Bacilli	0.65955
GF24_A3_38_stool	Gammaproteobacteria	96.27519
GF24_A3_38_stool	Bacilli	2.44983
GF24_A3_38_stool	Clostridia	1.19919
GF24_A3_38_stool	Tissierellia	0.07579
GF24_A3_39_cwash	Gammaproteobacteria	57.47634
GF24_A3_39_cwash	Clostridia	23.41298
GF24_A3_39_cwash	Erysipelotrichia	19.11068
GF24_A3_d108_cwash	Gammaproteobacteria	85.45194
GF24_A3_d108_cwash	Clostridia	11.80229
GF24_A3_d108_cwash	Betaproteobacteria	1.52126
GF24_A3_d108_cwash	Erysipelotrichia	0.93959
GF24_A3_d108_cwash	Bacilli	0.28492
GF24_A3_d131_cwash	Gammaproteobacteria	91.90315
GF24_A3_d131_cwash	Clostridia	5.40634
GF24_A3_d131_cwash	Betaproteobacteria	1.34662
GF24_A3_d131_cwash	Erysipelotrichia	1.34389
GF24_A4_38_stool	Gammaproteobacteria	47.82249
GF24_A4_38_stool	Clostridia	43.74952
GF24_A4_38_stool	Erysipelotrichia	6.44724
GF24_A4_38_stool	Bacilli	1.34371
GF24_A4_38_stool	Tissierellia	0.63703
GF24_A4_39_cwash	Clostridia	67.27122
GF24_A4_39_cwash	Gammaproteobacteria	19.92799
GF24_A4_39_cwash	Erysipelotrichia	10.21578
GF24_A4_39_cwash	Bacilli	2.58502
GF24_A4_d108_cwash	Gammaproteobacteria	86.4956
GF24_A4_d108_cwash	Betaproteobacteria	7.54005
GF24_A4_d108_cwash	Clostridia	5.96435
GF24_A4_d131_cwash	Gammaproteobacteria	91.95874
GF24_A4_d131_cwash	Clostridia	2.80325
GF24_A4_d131_cwash	Betaproteobacteria	2.79728
GF24_A4_d131_cwash	Bacilli	2.44073
GF24_A4_d74_cwash	Gammaproteobacteria	86.70327
GF24_A4_d74_cwash	Betaproteobacteria	10.44646
GF24_A4_d74_cwash	Bacilli	2.14616
GF24_A4_d74_cwash	Clostridia	0.70412
GF24_A5_d108_cwash	Gammaproteobacteria	88.21968
GF24_A5_d108_cwash	Clostridia	9.18046
GF24_A5_d108_cwash	Betaproteobacteria	1.45155
GF24_A5_d108_cwash	Erysipelotrichia	0.85849
GF24_A5_d108_cwash	Bacilli	0.28981
GF24_A5_d131_cwash	Gammaproteobacteria	96.77811
GF24_A5_d131_cwash	Bacilli	2.14237
GF24_A5_d131_cwash	Clostridia	0.72201
GF24_A5_d131_cwash	Betaproteobacteria	0.35751
GF24_A5_d74_cwash	Gammaproteobacteria	87.22889
GF24_A5_d74_cwash	Clostridia	8.72613
GF24_A5_d74_cwash	Erysipelotrichia	3.65708
GF24_A5_d74_cwash	Bacilli	0.30118
GF24_A5_d74_cwash	Betaproteobacteria	0.08672
GF24_A6_36_stool	Gammaproteobacteria	100
GF24_A6_39_cwash	Clostridia	58.85932
GF24_A6_39_cwash	Gammaproteobacteria	32.67839
GF24_A6_39_cwash	Erysipelotrichia	7.09301
GF24_A6_39_cwash	Bacilli	1.36928
GF24_A6_d108_cwash	Gammaproteobacteria	98.73138
GF24_A6_d108_cwash	Betaproteobacteria	1.10109
GF24_A6_d108_cwash	Clostridia	0.16753
GF24_A6_d131_cwash	Gammaproteobacteria	85.83034
GF24_A6_d131_cwash	Clostridia	10.87601
GF24_A6_d131_cwash	Erysipelotrichia	2.36883
GF24_A6_d131_cwash	Betaproteobacteria	0.92482
GF24_A6_d74_cwash	Gammaproteobacteria	98.34325
GF24_A6_d74_cwash	Betaproteobacteria	1.65675
GF24_A7_36_stool	Gammaproteobacteria	100
GF24_A7_37_stool	Gammaproteobacteria	100
GF24_A7_39_cwash	Clostridia	47.37209
GF24_A7_39_cwash	Gammaproteobacteria	42.20771
GF24_A7_39_cwash	Erysipelotrichia	8.4463
GF24_A7_39_cwash	Bacilli	1.9739
GF24_A7_d108_cwash	Gammaproteobacteria	94.61528
GF24_A7_d108_cwash	Erysipelotrichia	2.38316
GF24_A7_d108_cwash	Betaproteobacteria	1.64576
GF24_A7_d108_cwash	Clostridia	1.32774
GF24_A7_d108_cwash	Bacilli	0.02807
GF24_A7_d131_cwash	Gammaproteobacteria	88.38884
GF24_A7_d131_cwash	Betaproteobacteria	10.62517
GF24_A7_d131_cwash	Clostridia	0.986
GF24_A7_d74_cwash	Gammaproteobacteria	99.63955
GF24_A7_d74_cwash	Betaproteobacteria	0.36045
GF24_A8_d108_cwash	Gammaproteobacteria	92.99341
GF24_A8_d108_cwash	Betaproteobacteria	7.00659
GF24_A8_d131_cwash	Gammaproteobacteria	90.52903
GF24_A8_d131_cwash	Betaproteobacteria	9.47097
GF24_A9_d108_cwash	Gammaproteobacteria	96.30511
