feature	Klebsiella	Escherichia	Enterococcus	Clostridium	Clostridioides	Veillonella	Citrobacter	Finegoldia	Bifidobacterium	Morganella	Dysgonomonas	Collinsella
Gn3_B15_Cwash	-1.75171097729003	-0.508299568118695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gn3_B16_Cwash	-3.49041562608088	-0.134441409424726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF2_A1_day29	NA	-0.283085083858528	-6.09697915574079	-7.10851998443092	-6.6565645770097	NA	-2.87515537871344	NA	-6.62927251341882	NA	NA	NA
GF2_A1_day30	NA	-0.235159611612693	NA	NA	NA	NA	-2.73303719896961	NA	NA	NA	NA	NA
GF2_A1_day31	NA	-0.254343583340634	-5.48438846050796	NA	NA	NA	-2.84379497877642	NA	NA	NA	NA	NA
GF2_A1_day32	NA	-0.393661964497701	-3.76309833305231	NA	NA	NA	-2.89174468110331	NA	-6.74846063861386	NA	-5.56591608706728	NA
GF2_A2_day29	NA	-0.241249797398924	-7.67356205628258	NA	NA	NA	-2.75201028496168	NA	-10.5964015593231	NA	NA	NA
GF2_A2_day30	NA	-0.616579588726882	-4.9321850868566	-4.67132527370702	-5.94064029184899	NA	-1.98480961405037	NA	-7.31479001532403	NA	NA	-10.7603917716724
GF2_A2_day31	NA	-0.591305600578476	-5.60776773310019	NA	NA	NA	-1.6631388198716	NA	NA	NA	NA	NA
GF2_A2_day32	NA	-0.352534067233103	-5.1371476259312	NA	NA	NA	-2.40830756344646	NA	NA	NA	NA	NA
GF2_A3_day30	NA	-0.47970790792465	-5.64446224897324	-4.7510066831451	-6.18561069160732	NA	-2.32598488095917	NA	-6.36604993125275	NA	NA	-11.1235697307011
GF2_A3_day32	NA	-0.329870711778951	-3.36442189490744	NA	NA	NA	-3.29228566280191	NA	-8.05095176735376	NA	-9.43162290777627	NA
GF2_A4_day29	NA	-0.571480230917811	-5.93396565883573	-7.70989082935761	-6.23058707527792	NA	-1.81202251376803	NA	-6.99631142006576	NA	NA	NA
GF2_A4_day30	NA	-0.691791145523306	-6.0635175713095	NA	-6.0455480154905	NA	-1.53722799223925	NA	-7.31570893147158	NA	NA	NA
GF2_A4_day31	NA	-0.331239840130991	-7.65396150989912	NA	NA	NA	-2.32061728076999	NA	NA	NA	NA	NA
GF2_A4_day32	NA	-0.939240094040689	-3.03169008557803	-10.0587398097893	-7.22401530773066	NA	-1.91467379302618	NA	-4.25516792736484	NA	-5.01243522461318	NA
GF2_A5_day31	NA	-0.564662427688282	-3.94681413201585	NA	NA	NA	-1.9487571027132	NA	NA	NA	NA	NA
GF2_A5_day32	NA	-0.475762167934447	-3.0969864179279	NA	NA	NA	-2.60787868715549	NA	NA	NA	NA	NA
GF2_A6_day29	-8.02208781306614	-0.244161300569241	-6.1830715511339	NA	-9.66806446834906	NA	-2.97742097188269	NA	-6.66086429556468	NA	NA	NA
GF2_A6_day30	NA	-0.423627049055402	-6.30547171173883	-8.90290273239535	-7.69143315671927	NA	-2.12448538578979	NA	-7.49355648167304	NA	NA	NA
GF2_A6_day31	NA	-0.645941181539307	-3.50986381169374	NA	NA	NA	-2.00354313356633	NA	-8.79291292857931	NA	-5.53973441691449	NA
GF2_A6_day32	NA	-0.827402142380868	-3.19398980159021	NA	NA	NA	-1.81778418829851	NA	NA	NA	-4.52192902839407	NA
GF2_B1_day29	-10.523876064928	-1.24024877296371	-5.97805428136022	-1.25375549357855	-5.75976642491069	-9.32128205651265	-3.62395875290245	NA	-6.32802349930515	NA	NA	-5.19897727762866
GF2_B2_day28	NA	-0.299973029402282	-8.45441731091302	-6.0658351542029	-6.14967599638522	NA	-2.73931221789366	NA	-7.35409238918393	NA	NA	NA
GF2_B2_day29	NA	-1.42927774863451	-7.74440195921007	-1.35790903469906	-5.90410297375275	NA	-2.71753110814988	-6.25205533747269	-5.19614461899053	NA	NA	-5.33692307643748
GF2_B2_day30	-6.4376004259794	-3.66540229170737	-6.52984890623231	-0.438618774478699	-4.38514718598772	NA	-5.52701889684432	-10.6540485384133	-6.072062756869	NA	-5.90058237259847	-4.07780566165864
GF2_B2_day31	-7.73702715046783	-5.34081195189331	-8.6212966220264	-0.220434498514001	-5.01688446399579	NA	-8.53919747585324	NA	-8.87587941624075	NA	-7.71968027477817	-3.85007680929418
GF2_B3_day28	NA	-0.589783160432009	-6.65895321871946	-2.2049344809333	-5.3548301881617	NA	-3.75179925836983	NA	-6.62982932445548	NA	NA	NA
GF2_B3_day31	-7.650015487211	-5.30266201159675	-8.9769363145321	-0.319457900908043	-4.88246481543536	NA	-8.02013941736355	NA	-7.9460470810211	NA	-11.2844702505997	-3.01020324253509
GF2_B4_day28	NA	-0.677479858062864	-3.09200936506888	-3.04554830402951	-5.74206842698297	NA	-3.49339414015687	NA	-5.11410533806178	NA	NA	NA
GF2_B4_day29	NA	-1.18386137424525	-5.41026258720753	-1.37444820082908	-5.22309893779781	NA	-3.91469283095472	-6.39409534105807	-5.37902554504412	NA	-6.67820856365916	-6.39916393807017
GF2_B5_day28	NA	-0.612078281499356	-2.54669560711797	-4.1130789043045	-5.78260760707438	-9.13666553258232	-3.77779305932016	NA	-5.51503505339409	NA	NA	-8.899798599433
GF2_B5_day29	NA	-1.82476503736628	-3.66330817446794	-1.39849035836078	-5.66802074432803	NA	-4.41023512352317	-3.50371901858801	-4.11628049307495	NA	-6.06878608659267	-5.61851563920755
GF2_B5_day30	-7.06523594426628	-4.47790216895431	-6.48762757651285	-0.379336922298359	-4.34903521050474	NA	-5.95974634516423	-11.5002796264935	-7.91932785997896	NA	-7.26612132299641	-3.44830356814505
GF2_B5_day31	-7.25420127718813	-5.30795566683814	-14.8441057280738	-0.282713180499077	-4.26279990038803	NA	-8.4112445468431	-9.10018214574982	-9.92328002153312	NA	-5.62656849453388	-3.87818566673847
