Sample,Patient_ID,Microbiota,DNA_concentration,Experiment,Plate,Well_nextera,Adapter_plate,AdapterN,AdapterS,Tissue,Mouse,Sex,Survived,DEAD_DOL,Collection,Date of Extraction,Antibiotic,DOL,Antibiotic_day,Abx_relative,Abx_relativeinfxn,Infection,DPI,Adult,Notes,Total_Preprocessed_Reads,Total_Postprocessed_Reads,retainedreads,Resequence_DNA_concentration,Reseq_total_preprocessed_reads,Reseq_total_postprocessed_reads,Reseq_retainedreads,original_preprocessed_reads,original_postprocessed_reads,Resequence_Nextera,Resequence_nextera_plate,AdapterN2,AdapterS3
GF14_c3_d130_colon,37.02 (11/5/2009),A,30.634,GF14,tubes,D10,6,AM-F0551,AM-R0551,colon,C3,F,yes,NA,130,,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,2311996,548457,23.72222962,,,,,,,,,,
GF21_d35_B5_cwash,357.01 (11/25/12),C,0.212,GF21,,A12,UDI plate 01,AM-F0037,AM-R0037,colon,B5,F,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3448506,310882,9.01497634,,,,,,,,,,
GF21_d35_B6_cwash,357.01 (11/25/12),C,0.164,GF21,,B01,UDI plate 01,AM-F0038,AM-R0038,colon,B6,F,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3197344,205307,6.421173324,,,,,,,,,,
GF21_d35_B7_cwash,357.01 (11/25/12),C,0.146,GF21,,B02,UDI plate 01,AM-F0039,AM-R0039,colon,B7,M,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,2901321,213989,7.375571335,,,,,,,,,,
GF21_d35_B8_cwash,357.01 (11/25/12),C,0.186,GF21,,B03,UDI plate 01,AM-F0040,AM-R0040,colon,B8,M,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3637288,226909,6.238411696,,,,,,,,,,
GF24_A5_d108_cwash,,A,0.24,GF24,,C08,UDI Plate 05,AM-F0441,AM-R0441,colon,A5,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5862609,913791,15.5867635,,,,,,,,,,
GF24_A6_d108_cwash,,A,0.35,GF24,,C09,UDI Plate 05,AM-F0442,AM-R0442,colon,A6,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6983958,589337,8.43843849,,,,,,,,,,
GF24_A7_d108_cwash,,A,0.26,GF24,,C10,UDI Plate 05,AM-F0443,AM-R0443,colon,A7,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5970011,915412,15.33350609,,,,,,,,,,
GF24_A8_d108_cwash,,A,0.13,GF24,,C11,UDI Plate 05,AM-F0444,AM-R0444,colon,A8,F,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5728335,526616,9.193177424,,,,,,,,,,
GF24_A8_d131_cwash,,A,0.09,GF24,,F02,UDI Plate 05,AM-F0471,AM-R0471,colon,A8,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6127696,632789,10.32670354,,,,,,,,,,
GF24_A9_d108_cwash,,A,0.42,GF24,,C12,UDI Plate 05,AM-F0445,AM-R0445,colon,A9,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6709640,3138444,46.7751474,,,,,,,,,,
GF24_A9_d131_cwash,,A,0.42,GF24,,F03,UDI Plate 05,AM-F0472,AM-R0472,colon,A9,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,13241494,2108816,15.92581623,,,,,,,,,,
GF24_B3_33_cwash,,A,0.05,GF24,,A03,UDI Plate 06,AM-F0508,AM-R0508,colon,B3,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5498097,598219,10.88047373,,,,,,,,,,
GF24_B4_33_cwash,,A,0.044563,GF24,,A04,UDI Plate 06,AM-F0509,AM-R0509,colon,B4,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3931053,351641,8.945211372,,,,,,,,,,
GF24_B5_33_cwash,,A,0.003256,GF24,,A05,UDI Plate 06,AM-F0510,AM-R0510,colon,B5,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5002522,296557,5.928149841,,,,,,,,,,
GF24_B6_33_cwash,,A,0.067094,GF24,,A06,UDI Plate 06,AM-F0511,AM-R0511,colon,B6,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,4618435,333394,7.218765664,,,,,,,,,,
GF24_B7_33_cwash,,A,0.258607,GF24,,A07,UDI Plate 06,AM-F0512,AM-R0512,colon,B7,M,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5934777,229213,3.86220072,,,,,,,,,,
GF27_A1_d33_cwash,,AC,0.36,GF27,,H10,UDI Plate 05,AM-F0503,AM-R0503,colon,A1,F,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6846587,439414,6.418000677,,,,,,,,,,
GF27_A2_d33_cwash,,AC,0.14,GF27,,H11,UDI Plate 05,AM-F0504,AM-R0504,colon,A2,F,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5894938,551152,9.349580946,,,,,,,,,,
GF27_A3_d33_cwash,,AC,0.13,GF27,,H12,UDI Plate 05,AM-F0505,AM-R0505,colon,A3,M,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5127414,523569,10.21117078,,,,,,,,,,
GF18_a2_d54_colon,37.02+DJS41,A+DJS41,3.88,GF18,tubes,B03,8,AM-F0712,AM-R0712,colon,A_2_2,M,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2111870,130177,6.164063129,,,,,,,,,,
GF18_a3_d54_colon,37.02+DJS41,A+DJS41,11.8,GF18,tubes,G07,7,AM-F0680,AM-R0680,colon,A_2_3,M,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,1107285,113472,10.24776819,,,,,,,,,,
GF18_a4_d54_colon,37.02+DJS41,A+DJS41,17.3,GF18,tubes,A10,8,AM-F0707,AM-R0707,colon,A_2_4,F,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2594411,175668,6.77101662,,,,,,,,,,
GF20_d40_c4,40.01 (11/14/09),B,0.481,GF20,,C03,3,AM-F0244,AM-R0244,colon,c4,F,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,4148,3,0.072324012,,,,,,,,,,
GF20_d40_c5,40.01 (11/14/09),B,0.528,GF20,,C02,3,AM-F0243,AM-R0243,colon,c5,F,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5554436,59917,1.078723384,,,,,,,,,,
GF20_d40_c6,40.01 (11/14/09),B,0.226,GF20,,C01,3,AM-F0242,AM-R0242,colon,c6,M,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,71074,17029,23.95953513,,,,,,,,,,
GF20_d66_c6,40.01 (11/14/09),B,0.117,GF20,,H05,2,,,colon,c6,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,1802971,680378,37.7364916,,,,,,,,,,
GF20_d66_c7,40.01 (11/14/09),B,0.416,GF20,,H04,2,,,colon,c7,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3214139,221180,6.881469656,,,,,,,,,,
GF20_d66_c8,40.01 (11/14/09),B,0.562,GF20,,H03,2,,,colon,c8,F,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3065658,233296,7.609981283,,,,,,,,,,
GF20_d66_c9,40.01 (11/14/09),B,1.196,GF20,,H02,2,,,colon,c9,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2092281,172506,8.244877242,,,,,,,,,,
GF20_d68_b5,40.01 (11/14/09),B,0.351,GF20,,A06,3,AM-F0223,AM-R0223,colon,b5,F,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,32009,42468,132.6751851,,,,,,,,,,
GF20_d68_b6,40.01 (11/14/09),B,0.575,GF20,,A07,3,AM-F0224,AM-R0224,colon,b6,M,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,22824,81089,355.2795303,,,,,,,,,,
GF20_d68_b7,40.01 (11/14/09),B,1.006,GF20,,A08,3,AM-F0225,AM-R0225,colon,b7,F,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,626831,52918,8.442147884,,,,,,,,,,
GF20_d68_b8,40.01 (11/14/09),B,0.523,GF20,,A09,3,AM-F0226,AM-R0226,colon,b8,M,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,145603,35103,24.10870655,,,,,,,,,,
GF20_d81_a5,40.01 (11/14/09),B,0.928,GF20,,B04,3,AM-F0233,AM-R0233,colon,a5,M,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3655190,223150,6.105017797,,,,,,,,,,
GF20_d81_a6,40.01 (11/14/09),B,0.856,GF20,,B05,3,AM-F0234,AM-R0234,colon,a6,F,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,204882,85721,41.83920501,,,,,,,,,,
GF20_d81_a7,40.01 (11/14/09),B,1.178,GF20,,B06,3,AM-F0235,AM-R0235,colon,a7,M,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3659004,582946,15.93182188,,,,,,,,,,
GF21_d35_B1_cwash,357.01 (11/25/12),C,0.347,GF21,,A08,UDI plate 01,AM-F0033,AM-R0033,colon,B1,F,yes,NA,2/23/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3475192,68226,1.963229658,,,,,,,,,,
GF21_d35_B2_cwash,357.01 (11/25/12),C,0.171,GF21,,A09,UDI plate 01,AM-F0034,AM-R0034,colon,B2,F,yes,NA,2/23/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3726528,260123,6.980304455,,,,,,,,,,
GF21_d35_B3_cwash,357.01 (11/25/12),C,0.263,GF21,,A10,UDI plate 01,AM-F0035,AM-R0035,colon,B3,M,yes,NA,2/23/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2579828,80640,3.125789781,,,,,,,,,,
GF21_d35_B4_cwash,357.01 (11/25/12),C,0.237,GF21,,A11,UDI plate 01,AM-F0036,AM-R0036,colon,B4,M,yes,NA,2/23/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2327698,117607,5.052502515,,,,,,,,,,
GF21_d58_A10_cwash,357.01 (11/25/12),C,0.15,GF21,,C10,UDI plate 01,AM-F0059,AM-R0059,colon,A10,NA,yes,NA,3/18/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,Paper with sex thrown out,2994321,271868,9.079454073,,,,,,,,,,
GF21_d58_A7_cwash,357.01 (11/25/12),C,0.27,GF21,,C07,UDI plate 01,AM-F0056,AM-R0056,colon,A7,NA,yes,NA,3/18/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,Paper with sex thrown out,3031154,134302,4.430721765,,,,,,,,,,
GF21_d58_A8_cwash,357.01 (11/25/12),C,0.352,GF21,,C08,UDI plate 01,AM-F0057,AM-R0057,colon,A8,NA,yes,NA,3/18/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,Paper with sex thrown out,2348110,44370,1.889604831,,,,,,,,,,
GF21_d58_A9_cwash,357.01 (11/25/12),C,0.21,GF21,,C09,UDI plate 01,AM-F0058,AM-R0058,colon,A9,NA,yes,NA,3/18/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,Paper with sex thrown out,3493574,258202,7.390769453,,,,,,,,,,
GF21_d66_C4_cwash,357.01 (11/25/12),C,0.211,GF21,,E10,UDI plate 01,AM-F0083,AM-R0083,colon,C4,M,yes,NA,3/26/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3184895,188752,5.926474813,,,,,,,,,,
GF21_d66_C5_cwash,357.01 (11/25/12),C,0.212,GF21,,E11,UDI plate 01,AM-F0084,AM-R0084,colon,C5,M,yes,NA,3/26/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2426173,88752,3.658106821,,,,,,,,,,
GF21_d66_C6_cwash,357.01 (11/25/12),C,0.304,GF21,,E12,UDI plate 01,AM-F0085,AM-R0085,colon,C6,M,yes,NA,3/26/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3190053,87616,2.74653744,,,,,,,,,,
GF21_d66_C7_cwash,357.01 (11/25/12),C,0.242,GF21,,F01,UDI plate 01,AM-F0086,AM-R0086,colon,C7,F,yes,NA,3/26/21,6/12/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,4733567,184347,3.894462675,,,,,,,,,,
GF23_d36_c3,37.02 + 40.01,AB,0.507,GF23,,D07,2,AM-F0164,AM-R0164,colon,c3,M,yes,NA,36,,meropenem/probenecid,11,0,after1xmeropro,after1xmeropro,NA,NA,no,treatment on dol11,1672,30889,1847.42823,,,,,,,,,,
GF23_d36_c4,37.02 + 40.01,AB,0.711,GF23,,D08,2,AM-F0165,AM-R0165,colon,c4,F,yes,NA,36,,meropenem/probenecid,11,0,after1xmeropro,after1xmeropro,NA,NA,no,treatment on dol11,1521835,87802,5.769482237,,,,,,,,,,
GF24_A5_d131_cwash,,A,0.34,GF24,,E11,UDI Plate 05,AM-F0468,AM-R0468,colon,A5,F,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,6004656,1168112,19.45343747,,,,,,,,,,
GF24_A6_d131_cwash,,A,0.17,GF24,,E12,UDI Plate 05,AM-F0469,AM-R0469,colon,A6,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5821235,353267,6.068591974,,,,,,,,,,
GF24_A7_d131_cwash,,A,0.17,GF24,,F01,UDI Plate 05,AM-F0470,AM-R0470,colon,A7,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,6788047,448303,6.604300176,,,,,,,,,,
GF24_C1_d129_cwash,,A,0.09,GF24,,D12,UDI Plate 05,AM-F0457,AM-R0457,colon,C1,F,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,6917387,1396030,20.18146447,,,,,,,,,,
GF24_C2_d129_cwash,,A,0.16,GF24,,E01,UDI Plate 05,AM-F0458,AM-R0458,colon,C2,F,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5060238,580814,11.47799768,,,,,,,,,,
GF24_C3_d129_cwash,,A,0.25,GF24,,E02,UDI Plate 05,AM-F0459,AM-R0459,colon,C3,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5908298,424842,7.190598714,,,,,,,,,,
GF24_C4_d129_cwash,,A,0.29,GF24,,E03,UDI Plate 05,AM-F0460,AM-R0460,colon,C4,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,7611508,1580747,20.76785573,,,,,,,,,,
GF24_C5_d108_cwash,,A,0.21,GF24,,D05,UDI Plate 05,AM-F0450,AM-R0450,colon,C5,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5916697,552833,9.343608436,,,,,,,,,,
GF24_C6_d108_cwash,,A,0.63,GF24,,D06,UDI Plate 05,AM-F0451,AM-R0451,colon,C6,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,6504526,359841,5.532163297,,,,,,,,,,
GF24_C7_d108_cwash,,A,0.07,GF24,,D07,UDI Plate 05,AM-F0452,AM-R0452,colon,C7,F,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5899353,559392,9.482260173,,,,,,,,,,
GF24_C8_d108_cwash,,A,0.19,GF24,,D08,UDI Plate 05,AM-F0453,AM-R0453,colon,C8,M,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,7127456,1064573,14.93622689,,,,,,,,,,
GF24_C9_d108_cwash,,A,0.35,GF24,,D09,UDI Plate 05,AM-F0454,AM-R0454,colon,C9,F,yes,NA,,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,6331954,299811,4.734889104,,,,,,,,,,
GF26_A1_d101_cwash,308.01 (5/19/12),D,0.26,GF26,,G05,UDI Plate 05,AM-F0486,AM-R0486,colon,A1,NA,yes,,12/4/21,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,"Missing from Sack Tracker, present in birth tracker and colony counter",4712859,1512364,32.09016013,,,,,,,,,,
GF26_A2_d101_cwash,308.01 (5/19/12),D,0.22,GF26,,G06,UDI Plate 05,AM-F0487,AM-R0487,colon,A2,NA,yes,,12/4/21,4/7/23,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,"Missing from Sack Tracker, present in birth tracker and colony counter",6880455,1287390,18.71082654,,,,,,,,,,
GF14_c1_d130_colon,37.02 (11/5/2009),A,6.716,GF14,tubes,E04,6,AM-F0557,AM-R0557,colon,C1,F,yes,NA,130,,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,1656769,606073,36.58162363,,,,,,,,,,
GF20_d81_a1,40.01 (11/14/09),B,0.642,GF20,,A12,3,AM-F0229,AM-R0229,colon,a1,M,yes,NA,81,,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,1857834,75252,4.050523351,,,,,,,,,,
GF20_d81_a2,40.01 (11/14/09),B,1.1,GF20,,B01,3,AM-F0230,AM-R0230,colon,a2,F,yes,NA,81,,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,873482,80134,9.174087159,,,,,,,,,,
GF21_d35_A1_cwash,357.01 (11/25/12),C,0.237,GF21,,A01,UDI plate 01,AM-F0026,AM-R0026,colon,A1,M,yes,NA,2/23/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,3461243,121689,3.51576009,,,,,,,,,,
GF21_d35_A2_cwash,357.01 (11/25/12),C,0.194,GF21,,A02,UDI plate 01,AM-F0027,AM-R0027,colon,A2,F,yes,NA,2/23/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,3494995,179835,5.145500923,,,,,,,,,,
GF21_d35_A3_cwash,357.01 (11/25/12),C,0.372,GF21,,A03,UDI plate 01,AM-F0028,AM-R0028,colon,A3,M,yes,NA,2/23/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,3096387,45535,1.470584911,,,,,,,,,,
GF21_d58_A1_cwash,357.01 (11/25/12),C,0.21,GF21,,C01,UDI plate 01,AM-F0050,AM-R0050,colon,A1,NA,yes,NA,3/18/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,Paper with sex thrown out,3346251,147896,4.419752135,,,,,,,,,,
GF21_d58_A2_cwash,357.01 (11/25/12),C,0.245,GF21,,C02,UDI plate 01,AM-F0051,AM-R0051,colon,A2,NA,yes,NA,3/18/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,Paper with sex thrown out,4235491,174400,4.117586367,,,,,,,,,,
GF21_d58_A3_cwash,357.01 (11/25/12),C,0.164,GF21,,C03,UDI plate 01,AM-F0052,AM-R0052,colon,A3,NA,yes,NA,3/18/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,Paper with sex thrown out,3553235,505924,14.23840528,,,,,,,,,,
GF21_d66_C1_cwash,357.01 (11/25/12),C,0.287,GF21,,E07,UDI plate 01,AM-F0080,AM-R0080,colon,C1,M,yes,NA,3/26/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,2903673,119181,4.104491105,,,,,,,,,,
GF21_d66_C2_cwash,357.01 (11/25/12),C,0.434,GF21,,E08,UDI plate 01,AM-F0081,AM-R0081,colon,C2,M,yes,NA,3/26/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,2993035,65835,2.199606754,,,,,,,,,,
GF21_d66_C3_cwash,357.01 (11/25/12),C,0.286,GF21,,E09,UDI plate 01,AM-F0082,AM-R0082,colon,C3,M,yes,NA,3/26/21,6/12/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,2969421,98122,3.304415238,,,,,,,,,,
GF24_A1_d131_cwash,,A,0.26,GF24,,E07,UDI Plate 05,AM-F0464,AM-R0464,colon,A1,F,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,5912865,309399,5.232641029,,,,,,,,,,
GF24_A10_d131_cwash,,A,0.23,GF24,,F04,UDI Plate 05,AM-F0473,AM-R0473,colon,A10,F,no,10,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,5906810,246732,4.177076967,,,,,,,,,,
GF24_A2_d131_cwash,,A,0.2,GF24,,E08,UDI Plate 05,AM-F0465,AM-R0465,colon,A2,F,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,6615072,584575,8.837016438,,,,,,,,,,
GF24_B1_33_cwash,,A,0.085869,GF24,,A01,UDI Plate 06,AM-F0506,AM-R0506,colon,B1,M,yes,,,N/A,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,4955076,281028,5.67151745,,,,,,,,,,
GF24_B2_33_cwash,,A,0.397548,GF24,,A02,UDI Plate 06,AM-F0507,AM-R0507,colon,B2,F,yes,,,N/A,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,4183234,256449,6.130400547,,,,,,,,,,
GF24_C1_d108_cwash,,A,0.17,GF24,,D01,UDI Plate 05,AM-F0446,AM-R0446,colon,C1,M,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,6045118,543604,8.992446467,,,,,,,,,,
GF24_C2_d108_cwash,,A,0.47,GF24,,D02,UDI Plate 05,AM-F0447,AM-R0447,colon,C2,M,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,7188945,429420,5.97333823,,,,,,,,,,
GF24_C3_d108_cwash,,A,0.57,GF24,,D03,UDI Plate 05,AM-F0448,AM-R0448,colon,C3,F,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,10164729,496635,4.885865624,,,,,,,,,,
GF24_C4_d108_cwash,,A,0.12,GF24,,D04,UDI Plate 05,AM-F0449,AM-R0449,colon,C4,F,yes,NA,,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,5909110,692656,11.7218329,,,,,,,,,,
GF26_A3_d101_cwash,308.01 (5/19/12),D,0.25,GF26,,G07,UDI Plate 05,AM-F0488,AM-R0488,colon,A3,NA,yes,,12/4/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,"Missing from Sack Tracker, present in birth tracker and colony counter",5783906,2437137,42.13652504,,,,,,,,,,
GF26_A4_d101_cwash,308.01 (5/19/12),D,0.26,GF26,,G08,UDI Plate 05,AM-F0489,AM-R0489,colon,A4,NA,yes,,12/4/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,"Missing from Sack Tracker, present in birth tracker and colony counter",6423186,3125095,48.65334742,,,,,,,,,,
GF26_A5_d101_cwash,308.01 (5/19/12),D,0.37,GF26,,G09,UDI Plate 05,AM-F0490,AM-R0490,colon,A5,NA,yes,,12/4/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,"Missing from Sack Tracker, present in birth tracker and colony counter",6967219,3056684,43.87236859,,,,,,,,,,
GF27_A6_d33_cwash,,AC,0.31,GF27,,H09,UDI Plate 05,AM-F0502,AM-R0502,colon,A4,M,yes,NA,9/27/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,5698408,313482,5.501220692,,,,,,,,,,
GF27_A7_d33_cwash,,AC,0.13,GF27,,H08,UDI Plate 05,AM-F0501,AM-R0501,colon,A5,F,yes,NA,9/27/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,6823160,867483,12.71380123,,,,,,,,,,
GF27_A8_d33_cwash,,AC,0.12,GF27,,H07,UDI Plate 05,AM-F0500,AM-R0500,colon,A6,F,yes,NA,9/27/21,4/7/23,PBS,10,0,after1xPBS,after1xPBS,NA,NA,no,,6607859,506127,7.659470337,,,,,,,,,,
GF14_c2_d130_colon,37.02 (11/5/2009),A,48.11,GF14,tubes,E02,7,AM-F0651,AM-R0651,colon,C2,M,yes,NA,130,,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,1358210,305083,22.46213767,,,,,,,,,,
GF20_d81_a3,40.01 (11/14/09),B,1.043,GF20,,B02,3,AM-F0231,AM-R0231,colon,a3,F,yes,NA,81,,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,5532545,193219,3.492407201,,,,,,,,,,
GF20_d81_a4,40.01 (11/14/09),B,1.012,GF20,,B03,3,AM-F0232,AM-R0232,colon,a4,M,yes,NA,81,,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,385612,162876,42.23831209,,,,,,,,,,
GF21_d35_A4_cwash,357.01 (11/25/12),C,0.144,GF21,,A04,UDI plate 01,AM-F0029,AM-R0029,colon,A4,F,yes,NA,2/23/21,6/12/23,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,2388907,275168,11.51857314,,,,,,,,,,
GF21_d35_A5_cwash,357.01 (11/25/12),C,0.176,GF21,,A05,UDI plate 01,AM-F0030,AM-R0030,colon,A5,F,yes,NA,2/23/21,6/12/23,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,3379492,222556,6.585486813,,,,,,,,,,
GF21_d35_A6_cwash,357.01 (11/25/12),C,0.128,GF21,,A06,UDI plate 01,AM-F0031,AM-R0031,colon,A6,M,yes,NA,2/23/21,6/12/23,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,2731097,304112,11.13515924,,,,,,,,,,
GF21_d35_A7_cwash,357.01 (11/25/12),C,0.246,GF21,,A07,UDI plate 01,AM-F0032,AM-R0032,colon,A7,F,yes,NA,2/23/21,6/12/23,probenecid,10,0,after1xpro,after1xpro,NA,NA,no,,2636739,120403,4.56636019,,,,,,,,,,
